"n","ID","SL","CAV","MDS1","DS1","MDS1NA","MDS2","DS2","MDS2NA","MDS3","DS3","MDS3NA","MDF","MAF","MCV","MAV","MPT","LPT","MPSP","PSP.L","PSP.R","MPSPNA","TPG","ECT","CLE","PMX","Scale_10mm","fish_id","bin","part_type"
63,"V330461_L101_1_P.jpg",NA,NA,0,NA,0,0,NA,1,0,NA,1,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,719.9806,"V330461","L0101","P"
64,"V330462_L102_1_C.jpg",NA,397.5113,0,NA,0,0,NA,0,1,68,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,"V330462","L0102","C"
65,"V330462_L102_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,5,86.8304,0,NA,NA,0,133.0198,292.7267,NA,NA,704.409,"V330462","L0102","C"
66,"V330462_L102_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,725.887,"V330462","L0102","P"
67,"V330464_L104_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,708.8074,"V330464","L0104","C"
68,"V330464_L104_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,5,126.5701,0,NA,NA,0,172.7078,327.7682,NA,NA,687.5173,"V330464","L0104","P"
69,"V330466_L106_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,155.0629,NA,588.8022,NA,702.519,"V330466","L0106","C"
70,"V330466_L106_1_P.jpg",4012.4849,NA,0,NA,0,0,NA,0,1,101.8234,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,"V330466","L0106","P"
71,"V330466_L106_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,9,9,17,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,"V330466","L0106","P"
72,"V330466_L106_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,5,142.2252,0,NA,NA,0,160.4244,413.4731,NA,NA,NA,"V330466","L0106","P"
73,"V330466_L106_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,143.0245,619.9481,"V330466","L0106","P"
74,"V330468_L108_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,713.2685,"V330468","L0108","C"
75,"V330468_L108_1_P.jpg",3063.8903,371.5762,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,"V330468","L0108","P"
76,"V330468_L108_1_P.jpg",NA,NA,0,NA,0,0,NA,0,1,120.075,0,9,8,17,12,5,99.7246,0,NA,NA,0,NA,479.4372,300.3748,49.6588,714.6363,"V330468","L0108","P"
77,"V330470_L110_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,708.0113,"V330470","L0110","C"
78,"V330470_L110_1_P.jpg",NA,NA,0,NA,0,0,NA,1,0,NA,1,0,0,0,0,0,NA,2,229.0589,289.0329,0,NA,502.9075,359.5608,NA,694.2881,"V330470","L0110","P"
79,"V330473_L113_1_C.jpg",NA,535.8274,0,NA,0,0,NA,0,1,120.8119,0,0,0,0,12,4,89.4427,0,NA,NA,0,589.5354,NA,NA,NA,NA,"V330473","L0113","C"
80,"V330473_L113_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,2,NA,NA,0,NA,NA,636.5532,116.4818,689.4055,"V330473","L0113","C"
81,"V330473_L113_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,688,"V330473","L0113","P"
82,"V330474_L114_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,707.6722,"V330474","L0114","C"
83,"V330474_L114_1_P.jpg",NA,404.9763,0,NA,0,1,277.2003,0,1,116.8418,0,0,0,0,13,5,110.3087,0,NA,NA,0,169.2572,400.7842,323.444,67.9117,702.2535,"V330474","L0114","P"
84,"V330476_L116_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,89.958,707.6298,"V330476","L0116","C"
85,"V330476_L116_1_P.jpg",NA,388.5271,0,NA,1,0,NA,1,1,115.4777,0,0,0,0,0,0,NA,0,NA,NA,1,NA,NA,NA,145.2446,712.8646,"V330476","L0116","P"
86,"V330480_L120_1_P.jpg",NA,476.8604,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,"V330480","L0120","P"
87,"V330480_L120_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,16,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,"V330480","L0120","P"
88,"V330480_L120_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,12,0,NA,0,NA,NA,0,550.1309,612.0163,NA,NA,NA,"V330480","L0120","P"
89,"V330480_L120_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,192.333,708.0113,"V330480","L0120","P"
90,"V330481_L122_1_C.jpg",NA,496.1181,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,708.6353,"V330481","L0122","C"
91,"V330481_L122_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,13,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,694.0576,"V330481","L0122","P"
92,"V330483_L125_1_C.jpg",NA,NA,0,NA,0,1,243.3927,0,1,109.3435,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,691.238,"V330483","L0125","C"
93,"V330483_L125_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,13,5,172.7021,0,NA,NA,0,141.5097,407.8787,NA,NA,690.1043,"V330483","L0125","P"
94,"V330484_L126_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,709.1629,"V330484","L0126","C"
95,"V330484_L126_1_P.jpg",NA,568.7825,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,"V330484","L0126","P"
96,"V330484_L126_1_P.jpg",NA,NA,0,NA,0,0,NA,0,1,137.884,0,10,9,18,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,679.0346,"V330484","L0126","P"
97,"V330488_L130_1_P.jpg",NA,540.0207,0,NA,0,0,NA,0,1,163.2176,0,0,0,0,0,5,149.3452,0,NA,NA,0,NA,632.5694,596.8584,NA,720.8994,"V330488","L0130","P"
98,"V330489_L131_1_P.jpg",2782.6306,330.8426,0,NA,0,0,NA,0,1,109.2016,0,9,8,17,12,4,138,0,NA,NA,0,120.1499,354,388.2074,61.8466,707.2652,"V330489","L0131","P"
99,"V330490_L132_1_C.jpg",1954.96,327.7899,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,697.6506,"V330490","L0132","C"
100,"V330490_L132_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,16,13,4,NA,0,NA,NA,0,NA,NA,NA,NA,NA,"V330490","L0132","P"
101,"V330490_L132_1_P.jpg",NA,NA,0,NA,0,0,NA,0,1,70.4557,0,0,0,0,0,0,NA,0,NA,NA,0,NA,269.0725,201.1368,50.9902,708.0706,"V330490","L0132","P"
102,"V330492_L134_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,697.1485,"V330492","L0134","C"
103,"V330492_L134_1_C.jpg",NA,NA,0,NA,0,0,NA,0,1,105.7458,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,"V330492","L0134","C"
104,"V330492_L134_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,6,134.7264,0,287.1167,NA,0,NA,NA,NA,NA,NA,"V330492","L0134","C"
105,"V330492_L134_1_P.jpg",3340.7893,395.9624,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,"V330492","L0134","P"
106,"V330492_L134_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,17,14,0,NA,2,NA,234.3075,0,489.6897,349.1361,302.1672,88.2836,686.3709,"V330492","L0134","P"
107,"V330493_L135_1_C.jpg",NA,466.2384,0,NA,0,0,NA,0,1,135.3514,0,0,0,0,12,0,NA,0,NA,NA,0,227.4379,412.0777,423.7924,88.3629,NA,"V330493","L0135","C"
108,"V330493_L135_1_C.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,696.7819,"V330493","L0135","C"
109,"V330493_L135_1_P.jpg",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,700.5826,"V330493","L0135","P"
