"fish_id","P_SL","P_CAV","P_MDS1","P_DS1","P_MDS1NA","P_MDS2","P_DS2","P_MDS2NA","P_MDS3","P_DS3","P_MDS3NA","P_MDF","P_MAF","P_MCV","P_MAV","P_MPT","P_LPT","P_MPSP","P_PSP.L","P_PSP.R","P_MPSPNA","P_TPG","P_ECT","P_CLE","P_PMX","P_Scale_10mm","C_SL","C_CAV","C_MDS1","C_DS1","C_MDS1NA","C_MDS2","C_DS2","C_MDS2NA","C_MDS3","C_DS3","C_MDS3NA","C_MDF","C_MAF","C_MCV","C_MAV","C_MPT","C_LPT","C_MPSP","C_PSP.L","C_PSP.R","C_MPSPNA","C_TPG","C_ECT","C_CLE","C_PMX","C_Scale_10mm","flag_SL","flag_CAV","flag_MDS1","flag_DS1","flag_MDS1NA","flag_MDS2","flag_DS2","flag_MDS2NA","flag_MDS3","flag_DS3","flag_MDS3NA","flag_MDF","flag_MAF","flag_MCV","flag_MAV","flag_MPT","flag_LPT","flag_MPSP","flag_PSP.L","flag_PSP.R","flag_MPSPNA","flag_TPG","flag_ECT","flag_CLE","flag_PMX","flag_Scale_10mm","keep_SL","keep_CAV","keep_MDS1","keep_DS1","keep_MDS1NA","keep_MDS2","keep_DS2","keep_MDS2NA","keep_MDS3","keep_DS3","keep_MDS3NA","keep_MDF","keep_MAF","keep_MCV","keep_MAV","keep_MPT","keep_LPT","keep_MPSP","keep_PSP.L","keep_PSP.R","keep_MPSPNA","keep_TPG","keep_ECT","keep_CLE","keep_PMX","keep_Scale_10mm"
"V330494_L136_1",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,685.9738,NA,353.2949,0,NA,0,0,NA,0,1,110.4975,0,0,0,0,0,5,93.1428,0,NA,NA,0,NA,NA,NA,55.0727,713.9811,NA,NA,"FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG","FLAG","FLAG","FLAG","FLAG",NA,"FLAG",NA,NA,"FLAG",NA,NA,NA,NA,"FLAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V330495_L137_1",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,702.2307,NA,360.448,0,NA,0,0,NA,0,1,124.4508,0,0,0,18,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,691.6676,NA,NA,"FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG","FLAG","FLAG","FLAG","FLAG",NA,"FLAG",NA,NA,"FLAG",NA,NA,NA,NA,"FLAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V330496_L138_1",NA,NA,0,NA,0,0,NA,0,1,146.697,0,0,0,0,0,6,112.6055,0,NA,NA,0,NA,613.4175,456.0395,NA,695.0489,NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,195,429.0105,545.8351,68.4105,721.4049,NA,NA,"FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG","FLAG","FLAG","FLAG","FLAG",NA,"FLAG",NA,NA,"FLAG",NA,"FLAG","FLAG",NA,"FLAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V330502_L144_1",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,704.0455,3024.6443,404.4059,0,NA,0,0,NA,0,1,90.4489,0,9,6,17,13,4,84.4808,0,NA,NA,0,148.9463,360.9986,356.7856,77.4209,714.0567,NA,NA,"FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG","FLAG","FLAG","FLAG","FLAG",NA,"FLAG",NA,NA,"FLAG",NA,NA,NA,NA,"FLAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V330504_L146_1",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,686.1873,NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,704.1818,NA,NA,"FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG","FLAG","FLAG","FLAG","FLAG",NA,"FLAG",NA,NA,"FLAG",NA,NA,NA,NA,"FLAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V330507_L149_1",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,8,82.3772,0,NA,NA,0,NA,NA,NA,NA,709.2447,NA,435.9136,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,715.3978,NA,NA,"FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG","FLAG","FLAG","FLAG","FLAG",NA,"FLAG",NA,NA,"FLAG",NA,NA,NA,NA,"FLAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V330509_L151_1",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,715.6312,4502.8963,548.429,0,NA,0,0,NA,0,1,123.4828,0,9,8,17,11,4,104.3072,0,NA,NA,0,189.0608,340.5877,495.9032,160.9969,707.6722,NA,NA,"FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG","FLAG","FLAG","FLAG","FLAG",NA,"FLAG",NA,NA,"FLAG",NA,NA,NA,NA,"FLAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V330513_L155_1",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,202.4253,719.5248,NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,5,150.12,0,NA,NA,0,124.3101,676.4983,657.1918,113.2078,717.7527,NA,NA,"FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG","FLAG","FLAG","FLAG","FLAG",NA,"FLAG",NA,NA,"FLAG",NA,NA,NA,"FLAG","FLAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V330523_L166_1",2125.586,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,94.255,239.8833,222.5039,57.7235,701.6438,NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,77.2528,705.6005,NA,NA,"FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG","FLAG","FLAG","FLAG","FLAG",NA,"FLAG",NA,NA,"FLAG",NA,NA,NA,"FLAG","FLAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V330525_L169_1",NA,540.0084,0,NA,0,0,NA,0,1,164.195,0,0,0,0,0,5,81.5843,0,NA,NA,0,137.6372,443.0621,497.9317,118.9285,713.448,NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,533.1866,104.3072,688.7438,NA,NA,"FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG","FLAG","FLAG","FLAG","FLAG",NA,"FLAG",NA,NA,"FLAG",NA,NA,"FLAG","FLAG","FLAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V330526_L170_1",NA,NA,0,NA,0,0,NA,1,1,127.059,0,0,0,0,0,5,100.9752,0,NA,NA,0,NA,NA,NA,NA,698.1805,NA,420.028,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,702.4101,NA,NA,"FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG","FLAG","FLAG","FLAG","FLAG",NA,"FLAG",NA,NA,"FLAG",NA,NA,NA,NA,"FLAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V330533_L177_1",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,429.7953,NA,693.951,NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,2,214.4015,224.1428,0,514.389,333.7664,NA,NA,703.1472,NA,NA,"FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG","FLAG","FLAG","FLAG","FLAG",NA,"FLAG",NA,NA,"FLAG",NA,NA,NA,NA,"FLAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V330534_L178_1",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,407.3046,NA,NA,702.0256,3178.021,395.527,0,NA,0,0,NA,0,1,93.723,0,0,0,17,0,4,87.2067,0,NA,NA,0,160.8011,NA,394.4515,165.4358,695.4632,NA,NA,"FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG","FLAG","FLAG","FLAG","FLAG",NA,"FLAG",NA,NA,"FLAG",NA,NA,NA,NA,"FLAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V330536_L180_1",NA,257.4936,0,NA,0,0,NA,0,1,78,0,0,0,0,0,5,76,0,NA,NA,0,110.6345,223.6605,231.7585,51.8845,706.25,1993.0931,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,682.302,NA,NA,"FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG","FLAG","FLAG","FLAG","FLAG",NA,"FLAG",NA,NA,"FLAG",NA,NA,NA,NA,"FLAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V330538_L182_1",2784.6285,365.9392,0,NA,0,1,275.7716,0,1,138.0326,0,0,0,16,13,5,121.4907,0,NA,NA,0,NA,469.8808,NA,77.4209,715.2342,NA,362.8283,0,NA,0,0,NA,0,1,121.6224,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,703.1472,NA,"FLAG","FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG","FLAG","FLAG","FLAG","FLAG","FLAG","FLAG","FLAG",NA,"FLAG",NA,NA,"FLAG",NA,NA,NA,NA,"FLAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V330541_L186_1",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,575.013,448.8786,NA,NA,693.8386,NA,429.8542,0,NA,0,1,268.3431,0,1,121.0785,0,9,6,13,12,5,87.3613,2,268.6634,333.9281,1,213.7756,421.4356,NA,NA,698.5242,NA,NA,"FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG","FLAG","FLAG","FLAG","FLAG",NA,"FLAG",NA,NA,"FLAG","FLAG","FLAG",NA,NA,"FLAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V330542_L187_1",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,636.088,123.4828,691.9075,4613.0563,560.0582,0,NA,0,0,NA,0,0,NA,0,0,0,17,10,4,130.2306,0,NA,NA,0,231.8965,540.7254,NA,222.1711,688.7438,NA,NA,"FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG","FLAG","FLAG","FLAG","FLAG",NA,"FLAG",NA,NA,"FLAG",NA,NA,NA,"FLAG","FLAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V330548_L193_1",2973.0658,NA,0,NA,0,0,NA,0,1,118.8486,0,0,0,0,0,3,61.6604,0,NA,NA,0,NA,NA,NA,NA,704.8659,NA,416.316,0,NA,0,0,NA,0,0,NA,0,0,0,0,12,0,NA,0,NA,NA,0,67.8823,346.8833,311.1913,90.6201,694.2881,NA,NA,"FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG","FLAG","FLAG","FLAG","FLAG",NA,"FLAG",NA,NA,"FLAG",NA,NA,NA,NA,"FLAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V330549_L194_1",NA,NA,0,NA,0,1,257.6199,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,350.8219,NA,NA,734,3979.4874,491.098,0,NA,0,0,NA,0,1,153.8831,0,10,8,17,12,4,NA,0,NA,NA,0,NA,534.161,NA,139.1402,710.5378,NA,NA,"FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG","FLAG","FLAG","FLAG","FLAG",NA,"FLAG",NA,NA,"FLAG",NA,"FLAG",NA,NA,"FLAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V330555_L201_1",NA,NA,0,NA,0,1,261.3963,0,0,NA,0,0,0,0,0,5,135.8308,0,NA,NA,0,173.9224,NA,NA,NA,704.8723,4817.1029,557.2685,0,NA,0,1,255.8124,0,1,210.2189,0,0,0,0,0,0,NA,0,NA,NA,0,NA,668.766,749.8907,118.4567,731.1689,NA,NA,"FLAG",NA,"FLAG","FLAG","FLAG","FLAG","FLAG",NA,"FLAG","FLAG","FLAG","FLAG","FLAG","FLAG",NA,"FLAG",NA,NA,"FLAG",NA,NA,NA,NA,"FLAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V330557_L203_1",4448.8866,585.1762,0,NA,0,1,240.6657,0,0,144.0555,0,0,0,0,0,0,144.5545,0,NA,NA,0,185.2998,543.0727,524.1832,101.2719,704.5566,NA,592.2059,0,NA,0,1,301.7018,0,1,122.4418,0,0,0,0,0,0,NA,0,NA,NA,0,NA,597.1265,NA,154.5057,682.7825,NA,"FLAG","FLAG",NA,"FLAG","FLAG","FLAG","FLAG","FLAG","FLAG","FLAG","FLAG","FLAG","FLAG","FLAG","FLAG",NA,"FLAG",NA,NA,"FLAG",NA,"FLAG",NA,"FLAG","FLAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V330558_L204_1",4297.4077,520.7138,0,NA,0,0,NA,0,1,117.6435,0,0,0,18,11,5,156.205,0,NA,NA,0,180.0444,400.4997,539.2291,124.0645,711.6516,NA,499.7226,0,NA,0,0,NA,1,1,126.4911,0,0,0,0,10,3,172.0465,0,NA,NA,0,184.3909,NA,461.5106,118.1863,715.5977,NA,"FLAG","FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG","FLAG","FLAG","FLAG","FLAG","FLAG","FLAG","FLAG","FLAG","FLAG",NA,NA,"FLAG","FLAG",NA,"FLAG","FLAG","FLAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V330559_L205_1",NA,440.1035,0,NA,0,1,247.4773,0,1,101.8676,0,9,7,18,11,0,NA,0,NA,NA,0,NA,386.6277,NA,NA,723,NA,410.3997,1,202.8694,0,0,NA,1,1,103.3247,0,0,0,0,12,5,76.4199,0,NA,NA,0,108.0185,331.8795,280.8558,NA,721.224,NA,"FLAG","FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG","FLAG","FLAG","FLAG","FLAG","FLAG","FLAG","FLAG",NA,"FLAG",NA,NA,"FLAG",NA,"FLAG",NA,NA,"FLAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V330560_L206_1",4940.753,577.0612,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,5,128.0625,0,NA,NA,0,214.4015,NA,NA,97.4064,712.6402,NA,610.6034,0,NA,0,1,262.7206,0,1,136.4177,0,0,0,0,0,5,176.0202,0,NA,NA,0,180.0197,309.6377,450.4733,NA,701.2886,NA,"FLAG","FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG","FLAG","FLAG","FLAG","FLAG","FLAG","FLAG",NA,NA,"FLAG","FLAG",NA,NA,NA,"FLAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V330561_L209_1",NA,476.688,0,NA,0,0,NA,0,0,NA,0,9,9,0,0,0,NA,0,NA,NA,0,180.4882,NA,NA,NA,700.3456,NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,706.2691,NA,NA,"FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG","FLAG","FLAG","FLAG","FLAG",NA,"FLAG",NA,NA,"FLAG",NA,NA,NA,NA,"FLAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V330562_L210_1",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,701.2589,NA,NA,0,NA,0,0,NA,0,1,91.0824,0,0,0,0,0,4,76.0263,0,NA,NA,0,80.6226,360.0889,342.5318,NA,672.7258,NA,NA,"FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG","FLAG","FLAG","FLAG","FLAG",NA,"FLAG",NA,NA,"FLAG",NA,NA,NA,NA,"FLAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V330565_L214_1",NA,439.0368,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,561.0321,560.4463,150.2698,702.5447,NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,6,NA,0,NA,NA,0,148.1891,NA,NA,NA,702.9097,NA,NA,"FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG","FLAG","FLAG","FLAG","FLAG",NA,"FLAG",NA,NA,"FLAG",NA,NA,NA,NA,"FLAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V330567_L216_1",NA,383.7982,0,NA,0,0,NA,0,0,68.4105,1,0,0,0,0,4,NA,0,NA,NA,0,107.0794,336.0268,399.845,165.3269,717.6211,2986.9048,377.2653,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,4,140.4564,0,NA,NA,0,NA,NA,NA,72,689.9623,NA,"FLAG","FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG","FLAG","FLAG","FLAG","FLAG",NA,"FLAG",NA,NA,"FLAG",NA,NA,NA,"FLAG","FLAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V330568_L217_1",2939.4397,363.2813,0,NA,0,1,245.5239,0,1,117.1537,0,7,0,17,11,5,110.0227,0,NA,NA,0,121.5648,342.4865,337.2432,NA,693.3181,NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,111.3239,711.7654,NA,NA,"FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG","FLAG","FLAG","FLAG","FLAG",NA,"FLAG",NA,NA,"FLAG",NA,NA,NA,NA,"FLAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V330569_L218_1",NA,421.8085,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,706.2308,NA,NA,0,NA,0,1,256.3201,0,1,127.122,0,9,8,0,12,4,96.0833,0,NA,NA,0,138.9244,NA,NA,NA,704.3437,NA,NA,"FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG","FLAG","FLAG","FLAG","FLAG",NA,"FLAG",NA,NA,"FLAG",NA,NA,NA,NA,"FLAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V330570_L219_1",3107.8385,386.7396,0,NA,0,1,206.6495,0,1,107.629,0,8,8,17,9,4,121.6553,0,NA,NA,0,NA,325.9939,388.8033,115.1694,706.9031,NA,NA,0,NA,0,1,233.0322,0,0,NA,0,0,0,0,0,0,169.1656,0,NA,NA,0,NA,NA,NA,NA,709.9866,NA,NA,"FLAG",NA,"FLAG","FLAG","FLAG","FLAG","FLAG",NA,"FLAG","FLAG","FLAG","FLAG","FLAG","FLAG","FLAG","FLAG",NA,NA,"FLAG",NA,NA,NA,NA,"FLAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V330571_L220_1",1911.3983,238.1184,0,NA,0,1,174.631,0,1,98.7927,0,9,7,17,11,5,63.561,0,NA,NA,0,NA,280.5851,297.8456,70.9366,708.3784,NA,231.158,0,NA,0,0,NA,0,1,83.5703,0,10,7,17,0,5,50.9902,0,NA,NA,0,NA,320.0062,276.8465,NA,685.3816,NA,"FLAG","FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG","FLAG","FLAG","FLAG","FLAG","FLAG","FLAG","FLAG","FLAG","FLAG",NA,NA,"FLAG",NA,"FLAG","FLAG",NA,"FLAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V330572_L221_1",3725.8929,452.879,0,NA,0,0,NA,0,0,NA,0,6,7,15,10,3,184.0435,0,NA,NA,0,152.3155,376.0851,NA,118.9285,710.2112,NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,733.4303,NA,NA,"FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG","FLAG","FLAG","FLAG","FLAG",NA,"FLAG",NA,NA,"FLAG",NA,NA,NA,NA,"FLAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V330576_L225_1",NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,97.949,731.225,NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,717.5514,NA,NA,"FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG","FLAG","FLAG","FLAG","FLAG",NA,"FLAG",NA,NA,"FLAG",NA,NA,NA,NA,"FLAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V330578_L227_1",3887.4132,513.953,0,NA,0,0,NA,0,1,141.4214,0,8,8,16,12,5,117.7115,0,NA,NA,0,79.196,538.5908,436.8066,95.4149,712.1011,NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,745.5468,NA,NA,"FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG","FLAG","FLAG","FLAG","FLAG",NA,"FLAG",NA,NA,"FLAG",NA,NA,NA,NA,"FLAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V330579_L228_1",NA,540.9906,0,NA,0,0,NA,0,1,128.8604,0,9,7,16,12,5,99.363,0,NA,NA,0,123.1463,NA,NA,NA,710.2908,NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,704.9539,NA,NA,"FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG","FLAG","FLAG","FLAG","FLAG",NA,"FLAG",NA,NA,"FLAG",NA,NA,NA,NA,"FLAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V330583_L232_1",NA,355.4152,0,NA,0,0,NA,0,1,87.4643,0,0,0,0,0,5,75,0,NA,NA,0,NA,320.0031,NA,NA,657.493,NA,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,59.1692,723.1556,NA,NA,"FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG",NA,"FLAG","FLAG","FLAG","FLAG","FLAG","FLAG",NA,"FLAG",NA,NA,"FLAG",NA,NA,NA,NA,"FLAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
