"X","n","ID","SL","CAV","MDS1","DS1","MDS1NA","MDS2","DS2","MDS2NA","MDS3","DS3","MDS3NA","MDF","MAF","MCV","MAV","MPT","LPT","MPSP","PSP.L","PSP.R","MPSPNA","TPG","ECT","CLE","PMX","Scale_10mm","PGNA","fish_id","bin","part_type","CSTRAT","ISTRAT","YEAR","INT"
1409,1409,"V331548_L1265_1_C.jpg",NA,NA,0,0,0,0,0,0,1,136.0588,0,8,7,18,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,690.3506,0,"V331548","L1265","C",405.4,381.85,12506.889,12750
1410,1410,"V331548_L1265_1_P.jpg",NA,NA,0,0,0,1,254.3108,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,252.4639,701.0506,0,"V331548","L1265","P",405.4,381.85,12506.889,12750
1514,1514,"V331644_L1364_1_C.jpg",NA,399.6864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,550.6042,0,"V331644","L1364","C",453.95,333.3,10934.699,11000
1515,1515,"V331644_L1364_1_P.jpg",NA,NA,0,0,0,0,0,0,1,79.2023,0,9,6,18,12,5,126.0357,2,NA,NA,0,595.0899,NA,NA,NA,552.3993,NA,"V331644","L1364","P",453.95,333.3,10934.699,11000
1562,1562,"V331682_L1404_1_C.jpg",NA,352.5503,0,0,0,1,212.9037,0,1,91.3017,0,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,557.3545,0,"V331682","L1404","C",578.2,209.05,6911.124,7000
1563,1563,"V331682_L1404_1_P.jpg",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2,254.5034,NA,0,466.0172,407.5929,340,97.6524,564.0319,NA,"V331682","L1404","P",578.2,209.05,6911.124,7000
1590,1590,"V331693_L1416_1_C.jpg",NA,591.5966,0,0,0,1,349.285,0,0,0,0,0,0,0,0,NA,NA,2,NA,NA,0,823.5144,NA,NA,NA,689.6376,NA,"V331693","L1416","C",577.4,209.85,6937.03,7000
1591,1591,"V331693_L1416_1_P.jpg",NA,NA,0,0,0,0,0,0,1,153.1013,0,0,0,0,0,NA,NA,0,NA,NA,0,NA,660.521,NA,309.8903,684.4209,0,"V331693","L1416","P",577.4,209.85,6937.03,7000
1612,1612,"V331712_L1438_1_C.jpg",NA,463.1705,0,0,0,0,0,0,1,124.0202,0,0,0,17,0,NA,141.8908,2,287.2647,273,0,NA,NA,NA,NA,687.5304,NA,"V331712","L1438","C",458.75,328.5,10779.262,11000
1613,1613,"V331712_L1438_1_P.jpg",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,471.3767,384.0052,86.764,702.9225,0,"V331712","L1438","P",458.75,328.5,10779.262,11000
1628,1628,"V331726_L1452_1_C.jpg",NA,505.1392,0,NA,1,0,NA,1,0,NA,1,0,0,0,0,0,NA,2,298.2247,NA,0,564.0319,475.4219,534.0506,NA,697.066,NA,"V331726","L1452","C",460.25,327,10730.687,10750
1629,1629,"V331726_L1452_1_P.jpg",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,682.6302,NA,NA,680.2941,0,"V331726","L1452","P",460.25,327,10730.687,10750
1654,1654,"V331752_L1479_1_C.jpg",NA,545.6186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,680.4234,0,"V331752","L1479","C",493.8,293.45,9644.241,9750
1655,1655,"V331752_L1479_1_P.jpg",NA,NA,0,0,0,1,265.9361,0,1,123.6932,0,9,8,17,11,5,144.1249,2,369.9257,347.301,0,593.4619,502.3545,NA,NA,695.9095,NA,"V331752","L1479","P",493.8,293.45,9644.241,9750
1755,1755,"V331854_L1581_1_C.jpg",NA,532.1104,0,0,0,0,0,0,1,132.2422,0,7,6,0,14,4,113.7717,0,NA,NA,0,NA,NA,NA,NA,730.3369,0,"V331854","L1581","C",464.05,323.2,10607.632,10750
1756,1756,"V331854_L1581_1_P.jpg",NA,603.2811,0,NA,1,0,NA,1,1,127.122,0,0,0,0,0,NA,NA,2,323.2337,NA,0,713.448,447.3209,549.749,NA,755.7566,NA,"V331854","L1581","P",464.05,323.2,10607.632,10750
1769,1769,"V331864_L1592_1_C.jpg",4195.5596,477.4109,0,0,0,0,0,0,1,203.2142,0,8,6,18,11,5,164.7786,0,NA,NA,0,410.7749,596.1208,524.9762,104.9952,760.9888,NA,"V331864","L1592","C",420.45,366.8,12019.527,12250
1770,1770,"V331864_L1592_1_P.jpg",NA,509.0597,0,0,0,0,0,0,0,0,0,10,9,18,0,5,114.0395,0,NA,NA,0,NA,NA,NA,NA,761.6101,0,"V331864","L1592","P",420.45,366.8,12019.527,12250
1778,1778,"V331871_L1600_1_C.jpg",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2,NA,255.1549,0,528.0758,NA,NA,100.4988,755.145,NA,"V331871","L1600","C",420.25,367,12026.003,12250
1779,1779,"V331871_L1600_1_P.jpg",NA,384.5844,0,0,0,0,0,0,1,98.0816,0,9,7,17,12,6,132.8157,2,279.4351,NA,0,539.7481,488.2131,NA,NA,756.9016,NA,"V331871","L1600","P",420.25,367,12026.003,12250
1810,1810,"V331906_L1635A_1_P.jpg",3458.7931,453.5691,0,0,0,1,219.7385,0,1,110.1454,0,9,7,17,12,4,151.344,2,315.0571,299.1739,0,862.2169,579.6447,468.2499,150.4792,663.7597,NA,"V331906","L1635A","P",NA,NA,NA,NA
1811,1811,"V331906_L1635C_1_C.jpg",3959.1049,463.4018,0,0,0,1,299.8133,0,1,141.5344,0,7,8,17,0,4,NA,2,308.9336,345.5083,0,601.6644,536.8054,464.7236,NA,668.3352,NA,"V331906","L1635C","C",NA,NA,NA,NA
1812,1812,"V331906_L1635C_1_P.jpg",NA,NA,0,NA,1,0,NA,1,0,NA,1,0,0,0,0,0,NA,0,NA,NA,0,NA,579.8345,472.6309,NA,658.4588,0,"V331906","L1635C","P",NA,NA,NA,NA
1813,1813,"V331906_L1635D_1_P.jpg",NA,394.8091,0,0,0,0,0,0,1,91.2414,0,0,0,0,15,6,88.6397,2,231.7002,232.3984,0,487.8114,NA,322.343,NA,672.5957,NA,"V331906","L1635D","P",NA,NA,NA,NA
1842,1842,"V331934_L1664_1_P.jpg",NA,NA,1,241.085,0,1,209.571,0,1,NA,0,0,0,0,0,NA,NA,2,285.8199,NA,0,636,564.4865,535.3298,107.5407,657.9377,NA,"V331934","L1664","P",NA,NA,NA,NA
1843,1843,"V331934_L1664A_1_P.jpg",NA,487.2438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,491.9268,NA,211.8136,657.4382,0,"V331934","L1664A","P",NA,NA,NA,NA
1844,1844,"V331934_L1664B_1_C.jpg",3810.5244,530.982,0,0,0,0,0,0,0,0,0,8,8,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,"V331934","L1664B","C",NA,NA,NA,NA
1845,1845,"V331934_L1664B_1_C.jpg",NA,NA,0,0,0,0,0,0,0,0,0,0,0,18,0,5,117.3456,2,249.0181,NA,0,675.4865,NA,390.2884,207.1521,661.4507,0,"V331934","L1664B","C",NA,NA,NA,NA
1846,1846,"V331934_L1664C_1_P.jpg",1342.7152,171.0853,0,0,0,1,93.723,0,1,67.2309,0,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,"V331934","L1664C","P",NA,NA,NA,NA
1847,1847,"V331934_L1664C_1_P.jpg",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,15,4,49.3964,2,80.6226,77.2528,0,NA,151.182,135.4843,NA,666.8433,0,"V331934","L1664C","P",NA,NA,NA,NA
1889,1889,"V331977_L1707_1_C.jpg",NA,299.1661,0,0,0,0,0,0,1,145.6468,0,0,0,0,0,6,87.8237,2,NA,NA,0,317.9717,315.1285,264.6979,114.826,640.3788,NA,"V331977","L1707","C",597.05,190.2,6300.706,6500
1890,1890,"V331977_L1707_1_P.jpg",NA,324.3982,0,NA,1,0,NA,1,1,126.0357,0,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,648.5623,0,"V331977","L1707","P",597.05,190.2,6300.706,6500
1902,1902,"V331989_L1719_1_C.jpg",NA,359.2758,0,0,0,0,0,0,1,100.6231,0,8,6,18,12,4,149.1878,2,208.9043,NA,0,NA,NA,NA,NA,640.0625,NA,"V331989","L1719","C",520,267.25,8795.809,9000
1903,1903,"V331989_L1719_1_P.jpg",NA,NA,0,0,0,0,NA,1,0,NA,1,0,0,0,0,0,NA,2,NA,NA,0,349.1246,NA,NA,NA,642.1472,NA,"V331989","L1719","P",520,267.25,8795.809,9000
1949,1949,"V332040_L1773_1_C.jpg",NA,NA,0,0,0,0,0,0,1,79.925,0,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,"V332040","L1773","C",498.2,289.05,9501.756,9750
1950,1950,"V332040_L1773_1_C.jpg",NA,NA,0,0,0,0,0,0,0,0,0,7,7,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,646.1114,0,"V332040","L1773","C",498.2,289.05,9501.756,9750
1951,1951,"V332040_L1773_1_C.jpg",NA,395.285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,"V332040","L1773","C",498.2,289.05,9501.756,9750
1952,1952,"V332040_L1773_1_P.jpg",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,5,NA,2,382.697,401.1596,0,646.0248,711.6832,396.6926,124.3101,700.2607,NA,"V332040","L1773","P",498.2,289.05,9501.756,9750
1981,1981,"V332071_L1804_1_C.jpg",NA,344.9945,1,104.3552,0,1,NA,0,1,NA,0,0,0,0,0,NA,NA,2,311.899,304.245,0,393.0801,318.6926,382.8733,93.0484,645.1116,NA,"V332071","L1804","C",601.55,185.7,6154.983,6250
1982,1982,"V332071_L1804_1_P.jpg",2682.9629,NA,0,0,0,0,0,0,1,NA,0,0,0,0,0,NA,NA,2,293.0188,301.4963,0,395.8409,363.743,371.0795,94.8683,639.3661,NA,"V332071","L1804","P",601.55,185.7,6154.983,6250
1984,1984,"V332073_L1806_1_C.jpg",NA,413.1257,0,0,0,0,0,0,1,107.7079,0,10,8,16,13,5,100.1299,0,NA,NA,0,163.6857,444.6684,455.1505,NA,648.368,NA,"V332073","L1806","C",471.2,316.05,10376.094,10500
1985,1985,"V332073_L1806_1_P.jpg",NA,435.5698,0,0,0,0,NA,1,0,NA,1,0,0,0,0,0,NA,0,NA,NA,0,NA,357.7555,405.7105,114.6298,657.0616,0,"V332073","L1806","P",471.2,316.05,10376.094,10500
2000,2000,"V332087_L1820_1_C.jpg",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2,NA,NA,0,NA,500.132,634.8102,182.1318,655.332,0,"V332087","L1820","C",601.75,185.5,6148.507,6250
2001,2001,"V332087_L1820_1_P.jpg",NA,431.1514,0,NA,1,1,289.6135,0,1,156.3714,0,9,9,16,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,653.7645,0,"V332087","L1820","P",601.75,185.5,6148.507,6250
2041,2041,"V332124_L1858_1_C.jpg",NA,NA,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,NA,0,NA,NA,0,648.3949,578.3425,571.4543,223.0336,698.57,NA,"V332124","L1858","C",470,317.25,10414.954,10500
2042,2042,"V332124_L1858_1_P.jpg",NA,NA,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,NA,0,NA,NA,0,334.5923,644.236,657.2184,270.1703,692.6933,NA,"V332124","L1858","P",470,317.25,10414.954,10500
2167,2167,"V332244_L1982_1_C.jpg",NA,499.3083,0,0,0,0,0,0,1,99.1817,0,11,8,0,0,NA,83.5703,0,NA,NA,0,NA,NA,NA,NA,702.1026,0,"V332244","L1982","C",444.7,342.55,11234.241,11250
2168,2168,"V332244_L1982_1_P.jpg",NA,497.6711,0,0,0,0,0,0,1,100.5783,0,9,7,16,9,5,97.6729,0,NA,NA,0,148.822,NA,NA,NA,712.2837,NA,"V332244","L1982","P",444.7,342.55,11234.241,11250
2196,2196,"V332273_L2011_1_C.jpg",NA,409.3839,0,0,0,0,0,0,1,91.2414,0,7,7,0,0,NA,133.9291,0,NA,NA,0,NA,NA,NA,NA,702.756,0,"V332273","L2011","C",445.9,341.35,11195.382,11250
2197,2197,"V332273_L2011_1_P.jpg",3304.4275,425.9588,0,0,0,0,0,0,0,0,0,7,7,17,10,4,132.1363,0,NA,NA,0,157.4071,NA,488.3646,NA,723.6221,NA,"V332273","L2011","P",445.9,341.35,11195.382,11250
2268,2268,"V332390_L2132_1_C.jpg",3640.7543,426.9698,1,252.2856,0,1,318.6926,0,1,188.9047,0,7,9,19,0,6,141.1276,2,391.658,339.4775,0,689.8956,442.0905,416.7733,120.9339,723.8957,NA,"V332390","L2132","C",612.8,174.45,5790.676,6000
2269,2269,"V332390_L2132_1_P.jpg",NA,310.419,1,289.6981,0,1,329.6862,0,1,175.391,0,0,0,0,0,6,139.169,2,315.6992,334.3486,0,477.9425,520.9472,431.5206,NA,714.5103,NA,"V332390","L2132","P",612.8,174.45,5790.676,6000
2298,2298,"V332423_L2166_1_C.jpg",NA,444.1879,0,0,0,0,0,0,1,111.8034,0,0,0,0,0,NA,NA,2,290.3033,290.2482,0,NA,NA,NA,NA,NA,0,"V332423","L2166","C",541.1,246.15,8112.53,8250
2299,2299,"V332423_L2166_1_C.jpg",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,714.0028,0,"V332423","L2166","C",541.1,246.15,8112.53,8250
2300,2300,"V332423_L2166_1_P.jpg",3570.61,411.543,0,NA,1,0,NA,1,1,82.5409,0,9,9,17,11,NA,126.5701,2,274.3319,279.1451,0,720.0562,502.8916,468.2403,129.1395,700.6461,NA,"V332423","L2166","P",541.1,246.15,8112.53,8250
2311,2311,"V332434_L2177_1_C.jpg",NA,484.9822,0,NA,1,1,349.4682,0,1,156,0,0,9,0,12,NA,128.2498,2,427.3266,NA,0,856.0841,646.5787,606.419,213.4666,724.5412,NA,"V332434","L2177","C",624.5,162.75,5411.796,5500
2312,2312,"V332434_L2177_1_P.jpg",NA,484.1403,1,291.0155,0,1,381.8377,0,1,174.5423,0,0,0,0,11,6,141.1276,2,413.4562,NA,0,805.4316,610.6161,604.6693,NA,720.7559,NA,"V332434","L2177","P",624.5,162.75,5411.796,5500
2358,2358,"V332479_L2222_1_C.jpg",NA,NA,1,342.415,0,1,NA,0,1,NA,0,0,0,0,0,NA,NA,2,NA,NA,0,611.1105,538.1004,704.5907,232.0345,720.9438,NA,"V332479","L2222","C",628.7,158.55,5275.787,5500
2359,2359,"V332479_L2222_1_P.jpg",NA,554.5656,1,321.9938,0,1,323.2089,0,1,204.9,0,10,9,18,0,4,177.6288,2,503.4918,512.0156,0,887.0986,720.2777,704.1023,261.5645,720.8994,NA,"V332479","L2222","P",628.7,158.55,5275.787,5500
2369,2369,"V332516_L2259_1_C.jpg",NA,559.7672,0,0,0,1,411.3004,0,1,211.2061,0,0,0,19,0,5,204.7828,2,444.018,NA,0,804.6366,NA,NA,NA,720.8994,NA,"V332516","L2259","C",623,164.25,5460.37,5500
2370,2370,"V332516_L2259_1_P.jpg",NA,NA,0,NA,1,0,NA,1,0,NA,1,0,0,0,0,0,NA,2,465,NA,0,NA,NA,NA,NA,716.6484,NA,"V332516","L2259","P",623,164.25,5460.37,5500
2409,2409,"V332554_L2299_1_C.jpg",NA,328.4935,1,260.2153,0,1,378.3385,0,1,141.3648,0,0,0,0,0,5,101.2719,2,464.2155,378.7611,0,NA,NA,NA,NA,694.2334,NA,"V332554","L2299","C",625.3,161.95,5385.889,5500
2410,2410,"V332554_L2299_1_P.jpg",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,400.5197,454.4007,130.5067,698.5814,0,"V332554","L2299","P",625.3,161.95,5385.889,5500
2436,2436,"V332580_L2327_1_C.jpg",NA,598.5752,0,0,0,1,398.4972,0,1,242.9815,0,0,0,18,11,6,272.0294,2,538.9174,NA,0,1152.5624,844.6064,810.9057,NA,727.1864,NA,"V332580","L2327","C",NA,NA,NA,NA
2437,2437,"V332580_L2327_1_P.jpg",NA,NA,1,222.7285,0,1,425.0271,0,1,NA,0,0,0,0,0,NA,NA,2,707.3132,NA,0,1165.8696,644.686,662.4568,NA,725.6342,NA,"V332580","L2327","P",NA,NA,NA,NA
2475,2475,"V332633_L2485_1_C.jpg",NA,NA,0,NA,1,0,NA,1,1,143.6941,0,0,0,0,0,NA,NA,2,NA,NA,0,NA,NA,NA,NA,691.8092,0,"V332633","L2485","C",630.6,156.65,5214.26,5250
2476,2476,"V332633_L2485_1_P.jpg",NA,411.5616,0,NA,1,1,324.8877,0,1,153.3232,0,7,7,20,0,NA,192.0521,2,NA,NA,0,NA,NA,NA,NA,703.3776,0,"V332633","L2485","P",630.6,156.65,5214.26,5250
2487,2487,"V332645_L2497_1_C.jpg",NA,NA,1,55.8032,0,0,0,0,0,0,0,0,0,0,14,5,135.0333,0,NA,NA,0,216.541,NA,523.9275,146.1095,696.5235,NA,"V332645","L2497","C",660.3,126.95,4252.488,4500
2488,2488,"V332645_L2497_1_P.jpg",NA,482.098,0,0,0,0,0,0,1,126.1428,0,0,0,0,0,5,112.0893,0,NA,NA,0,NA,NA,NA,NA,685.0547,0,"V332645","L2497","P",660.3,126.95,4252.488,4500
2598,2598,"V332774_L2629_1_C.jpg",NA,292.9325,0,0,0,0,0,0,1,111.0856,0,0,0,16,0,NA,123.3207,0,NA,NA,0,NA,NA,NA,NA,NA,0,"V332774","L2629","C",126.55,660.7,21536.862,21750
2599,2599,"V332774_L2629_1_C.jpg",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,780.1128,0,"V332774","L2629","C",126.55,660.7,21536.862,21750
2600,2600,"V332774_L2629_1_P.jpg",NA,299.2408,0,0,0,0,0,0,1,105.5462,0,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,764.9967,0,"V332774","L2629","P",126.55,660.7,21536.862,21750
2670,2670,"V332837_L2692_1_C.jpg",NA,NA,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,NA,0,NA,NA,0,123.3288,415.8654,491.1395,165.463,768.2109,NA,"V332837","L2692","C",215.75,571.5,18648.307,18750
2671,2671,"V332837_L2692_1_P.jpg",NA,NA,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,NA,0,NA,NA,0,NA,483.6238,543.3415,182.3952,770.6621,0,"V332837","L2692","P",215.75,571.5,18648.307,18750
2678,2678,"V332843_L2698_1_C.jpg",3195.0394,393.4524,0,0,0,0,0,0,1,53.4135,0,0,7,0,12,4,82.5409,0,NA,NA,0,NA,NA,412.5736,152.9706,648.0278,0,"V332843","L2698","C",638.55,148.7,4956.816,5000
2679,2679,"V332843_L2698_1_P.jpg",3230.8384,410.5551,0,0,0,0,0,0,1,104.9571,0,0,0,15,13,4,112.0089,0,NA,NA,0,NA,NA,NA,NA,NA,0,"V332843","L2698","P",638.55,148.7,4956.816,5000
2680,2680,"V332843_L2698_1_P.jpg",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,563.7606,485.4163,NA,637.3853,0,"V332843","L2698","P",638.55,148.7,4956.816,5000
2681,2681,"V332844_L2699_1_C.jpg",NA,451.2724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,745.8002,0,"V332844","L2699","C",215.95,571.3,18641.83,18750
2682,2682,"V332844_L2699_1_P.jpg",3504.0205,464.2143,0,0,0,0,0,0,1,112.0089,0,7,7,17,12,7,75.9539,0,NA,NA,0,102.6158,NA,470.4551,178.3171,746.7289,NA,"V332844","L2699","P",215.95,571.3,18641.83,18750
2696,2696,"V332857_L2712_1_C.jpg",NA,NA,0,0,0,1,208.5809,0,1,79.2023,0,0,0,0,0,NA,NA,0,NA,NA,0,270.749,484.8226,NA,NA,NA,0,"V332857","L2712","C",135.15,652.1,21258.369,21500
2697,2697,"V332857_L2712_1_C.jpg",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,774.5812,0,"V332857","L2712","C",135.15,652.1,21258.369,21500
2698,2698,"V332857_L2712_1_C.jpg",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,7,118.3765,0,NA,NA,0,NA,NA,NA,NA,NA,0,"V332857","L2712","C",135.15,652.1,21258.369,21500
2699,2699,"V332857_L2712_1_P.jpg",NA,385.4682,0,0,0,0,0,0,0,0,0,0,0,18,0,0,93.4345,0,NA,NA,0,213.3378,460.1847,NA,NA,771.0525,NA,"V332857","L2712","P",135.15,652.1,21258.369,21500
2738,2738,"V332903_L2758_1_C.jpg",NA,508.2457,0,NA,1,1,459.0773,0,1,191.7081,0,8,8,20,0,NA,NA,0,NA,NA,1,NA,NA,NA,NA,752.6805,1,"V332903","L2758","C",628.2,159.05,5291.979,5500
2739,2739,"V332903_L2758_1_P.jpg",NA,NA,0,NA,1,1,483.7355,0,1,114.826,0,9,0,0,0,NA,NA,0,NA,NA,1,NA,NA,NA,NA,768.1465,1,"V332903","L2758","P",628.2,159.05,5291.979,5500
2758,2758,"V332926_L2781_1_C.jpg",NA,405.7624,1,286.3564,0,1,378.3385,0,1,157.0987,0,0,0,0,0,6,169.4344,2,359.8944,438.4199,0,683.1252,516.8288,432.0046,NA,736.3912,NA,"V332926","L2781","C",630.4,156.85,5220.736,5250
2759,2759,"V332926_L2781_1_P.jpg",NA,445.3758,1,299.234,0,1,369,0,1,140.6165,0,0,0,0,0,NA,NA,2,NA,NA,0,NA,NA,NA,157.8924,745.4562,0,"V332926","L2781","P",630.4,156.85,5220.736,5250
2803,2803,"V332974_L2829_1_C.jpg",NA,NA,1,312.8786,0,1,501.0808,0,1,NA,0,0,0,0,13,5,203.2265,2,NA,532.6922,0,776.7278,NA,NA,131.727,672.1674,NA,"V332974","L2829","C",638.6,148.65,4955.197,5000
2804,2804,"V332974_L2829_1_P.jpg",NA,NA,1,409.3702,0,1,490.306,0,1,NA,0,0,0,0,0,5,136.5284,2,516.31,585.9693,0,862.6842,604.3707,585.8191,244.2294,664.1084,NA,"V332974","L2829","P",638.6,148.65,4955.197,5000
2844,2844,"V333028_L2883_1_C.jpg",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,1141.9089,NA,NA,NA,693.4155,NA,"V333028","L2883","C",638.5,148.75,4958.435,5000
2845,2845,"V333028_L2883_1_P.jpg",NA,731.6113,1,435.4124,0,1,504.9673,0,1,213.9533,0,7,0,0,0,NA,NA,2,416.173,NA,0,NA,NA,NA,NA,679.0228,NA,"V333028","L2883","P",638.5,148.75,4958.435,5000
2847,2847,"V333030_L2885_1_C.jpg",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,551.4209,NA,NA,NA,0,"V333030","L2885","C",189.45,597.8,19499.977,19500
2848,2848,"V333030_L2885_1_C.jpg",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,702.8072,0,"V333030","L2885","C",189.45,597.8,19499.977,19500
2849,2849,"V333030_L2885_1_P.jpg",NA,423.2957,0,0,0,0,0,0,1,117.6138,0,0,0,0,0,NA,NA,0,NA,NA,0,126.1428,NA,NA,NA,708.0254,NA,"V333030","L2885","P",189.45,597.8,19499.977,19500
2871,2871,"V333053_L2908_1_C.jpg",NA,455.2792,0,0,0,0,0,0,1,119.4738,0,0,0,0,0,NA,139.5887,0,NA,NA,0,172.363,444.2938,627.4878,NA,699.5213,NA,"V333053","L2908","C",146.65,640.6,20885.965,21000
2872,2872,"V333053_L2908_1_P.jpg",4028.4786,NA,0,0,0,0,0,0,0,NA,1,0,0,16,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,708.5535,0,"V333053","L2908","P",146.65,640.6,20885.965,21000
2882,2882,"V333065_L2920_1_C.jpg",NA,NA,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,NA,0,NA,NA,0,40.4969,372.5802,500.3998,NA,708.5563,NA,"V333065","L2920","C",149.25,638,20801.77,21000
2883,2883,"V333065_L2920_1_P.jpg",NA,NA,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,NA,0,NA,NA,0,NA,387.2209,351.141,128.8255,727.9128,0,"V333065","L2920","P",149.25,638,20801.77,21000
2891,2891,"V333074_L2929_1_C.jpg",NA,402.8686,0,0,0,0,NA,1,1,113.2254,0,0,0,19,0,NA,106.9205,0,NA,NA,0,NA,NA,NA,NA,713.5741,0,"V333074","L2929","C",149.65,637.6,20788.817,21000
2892,2892,"V333074_L2929_1_P.jpg",NA,NA,0,0,0,0,0,0,1,69.3397,0,0,0,0,13,5,160.798,0,NA,NA,0,151.2217,449.7555,395.9899,95.0368,724.7979,NA,"V333074","L2929","P",149.65,637.6,20788.817,21000
2915,2915,"V333102_L2958_1_C.jpg",NA,650.0081,0,0,0,0,0,0,1,127.3499,0,0,10,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,718.7113,0,"V333102","L2958","C",681.35,105.9,3570.828,3750
2916,2916,"V333102_L2958_1_P.jpg",NA,541.2435,0,0,0,0,NA,1,1,134.4656,0,9,8,17,0,NA,NA,0,NA,NA,0,185.1513,NA,NA,NA,704.2592,NA,"V333102","L2958","P",681.35,105.9,3570.828,3750
2977,2977,"V333176_L3034_1_C.jpg",NA,NA,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,NA,0,NA,NA,0,208.0625,605.1529,631.7476,157.035,708.8956,NA,"V333176","L3034","C",725.3,61.95,2147.599,2250
2978,2978,"V333176_L3034_1_P.jpg",NA,NA,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,NA,0,NA,NA,0,271.6616,588.0077,613.2487,165.9518,711.6832,NA,"V333176","L3034","P",725.3,61.95,2147.599,2250
2995,2995,"V333199_L3058_1_C.jpg",NA,525.8213,0,0,0,0,0,0,1,101.8676,0,10,0,0,0,5,132.0341,0,NA,NA,0,186,517.0542,586.7282,NA,NA,0,"V333199","L3058","C",237.45,549.8,17945.598,18000
2996,2996,"V333199_L3058_1_C.jpg",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,714.8629,0,"V333199","L3058","C",237.45,549.8,17945.598,18000
2997,2997,"V333199_L3058_1_P.jpg",NA,494.6813,0,0,0,0,0,0,1,100.8464,0,9,10,0,0,NA,117.1537,0,NA,NA,0,185.4427,NA,NA,NA,713.8992,NA,"V333199","L3058","P",237.45,549.8,17945.598,18000
3047,3047,"V333410_L3252_1_C.jpg",NA,NA,0,0,0,0,0,0,1,94.1488,0,9,0,0,0,6,88.0909,0,NA,NA,0,160.4494,448.4462,492.0163,164.4384,739.0589,NA,"V333410","L3252","C",688.55,98.7,3337.671,3500
3048,3048,"V333410_L3252_1_P.jpg",3900.2051,522.1596,0,0,0,0,0,0,1,82.4621,0,8,0,16,12,6,104.69,0,NA,NA,0,NA,NA,NA,193.0389,746.3618,0,"V333410","L3252","P",688.55,98.7,3337.671,3500
3087,3087,"V333460_L3202_1_P.jpg",NA,426.9022,0,0,0,0,0,0,1,149.1878,0,0,10,0,12,4,170.1558,0,NA,NA,0,174.4133,NA,NA,NA,751.0133,NA,"V333460","L3202","P",213.25,574,18729.264,18750
