"X","n","ID","SL","CAV","MDS1","DS1","MDS1NA","MDS2","DS2","MDS2NA","MDS3","DS3","MDS3NA","MDF","MAF","MCV","MAV","MPT","LPT","MPSP","PSP.L","PSP.R","MPSPNA","TPG","ECT","CLE","PMX","Scale_10mm","PGNA","fish_id","bin","part_type","CSTRAT","ISTRAT","YEAR","INT"
818,818,"V331023_L697_2_P.jpg",NA,442.669,0,0,0,1,313.3385,0,1,159.7905,0,0,0,0,14,5,123.1097,0,NA,NA,0,167.5977,335.4773,364.7931,100.1299,711.0253,NA,"V331023","L0697","P",380.25,407,13321.319,13500
821,821,"V331026_L700_1_C.jpg",NA,331.3014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,363.7925,NA,740.8239,0,"V331026","L0700","C",363.05,424.2,13878.305,14000
822,822,"V331026_L700_1_P.jpg",NA,327.4843,0,0,0,0,0,0,1,72.0625,0,0,0,0,0,NA,NA,0,NA,NA,0,NA,370.9461,349.4968,NA,727.585,0,"V331026","L0700","P",363.05,424.2,13878.305,14000
833,833,"V331037_L711_1_C.jpg",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,747.0475,0,"V331037","L0711","C",469.75,317.5,10423.05,10500
834,834,"V331037_L711_1_P.jpg",4705.9469,573.4036,0,0,0,0,0,0,1,93.723,0,8,7,16,0,5,140.9113,2,512.0156,NA,0,780.6561,668.431,NA,NA,NA,NA,"V331037","L0711","P",469.75,317.5,10423.05,10500
842,842,"V331045_L719_1_C.jpg",NA,432.4083,0,0,0,1,230.8246,0,1,135.9301,0,0,0,17,0,NA,NA,2,259.0444,NA,0,688.0211,631.4697,383.308,NA,754.2181,NA,"V331045","L0719","C",517.2,270.05,8886.481,9000
843,843,"V331045_L719_1_P.jpg",NA,401.6932,1,85.0412,0,1,277.0415,0,1,NA,0,0,0,15,0,NA,NA,2,NA,281.8226,0,552.6373,NA,401.278,NA,751.4253,NA,"V331045","L0719","P",517.2,270.05,8886.481,9000
844,844,"V331047_L721_1_C.jpg",NA,NA,0,0,0,0,0,0,1,76.8375,0,0,0,0,0,4,153.0294,0,NA,NA,0,NA,NA,NA,NA,744.7315,0,"V331047","L0721","C",469.65,317.6,10426.288,10500
845,845,"V331047_L721_1_P.jpg",3333.3827,412.9545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,"V331047","L0721","P",469.65,317.6,10426.288,10500
846,846,"V331047_L721_1_P.jpg",NA,NA,0,0,0,0,0,0,0,0,0,7,0,17,12,0,NA,2,282.4624,368.0231,0,520.3854,414.3911,334.5639,84.9588,754.2181,0,"V331047","L0721","P",469.65,317.6,10426.288,10500
853,853,"V331058_L732_1_C.jpg",NA,2944.6222,0,0,0,1,296.4321,0,1,145.6022,0,10,7,17,11,4,144.0555,0,NA,NA,0,124.0645,343.9535,387.319,108,744.387,NA,"V331058","L0732","C",386.45,400.8,13120.545,13250
854,854,"V331058_L732_1_P.jpg",NA,366.7939,0,0,0,1,295.8462,0,1,153.2351,0,9,7,16,10,4,108.1665,0,NA,NA,0,132.8495,402.1791,387.8247,NA,750.2939,NA,"V331058","L0732","P",386.45,400.8,13120.545,13250
860,860,"V331064_L738_1_C.jpg",NA,341.8198,0,0,0,0,0,0,1,87.0517,0,8,8,0,13,4,129.5222,0,NA,NA,0,151.0761,376.9032,297.8473,NA,NA,0,"V331064","L0738","C",363.55,423.7,13862.114,14000
861,861,"V331064_L738_1_C.jpg",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,723.3982,0,"V331064","L0738","C",363.55,423.7,13862.114,14000
862,862,"V331064_L738_1_P.jpg",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,123.1463,738.8775,0,"V331064","L0738","P",363.55,423.7,13862.114,14000
878,878,"V331078_L753_1_C.jpg",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,530.1924,331.4453,NA,726.7462,0,"V331078","L0753","C",471.7,315.55,10359.903,10500
879,879,"V331078_L753_1_P.jpg",NA,NA,0,0,0,1,167.2752,0,1,123.1463,0,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,402.1903,NA,726.0992,0,"V331078","L0753","P",471.7,315.55,10359.903,10500
897,897,"V331092_L767_1_C.jpg",NA,389.6859,0,0,0,1,285.8199,0,1,81.0555,0,0,0,0,0,4,133.66,0,NA,NA,0,362.3051,432.1666,312.0144,NA,768.1055,NA,"V331092","L0767","C",521.1,266.15,8760.188,9000
898,898,"V331092_L767_1_P.jpg",3128.156,NA,0,0,0,1,330.9381,0,1,152.7351,0,0,0,0,0,4,149.3452,0,NA,NA,0,459.0773,208.6912,439.1446,108,777.4934,NA,"V331092","L0767","P",521.1,266.15,8760.188,9000
900,900,"V331095_L770_1_C.jpg",2630.9247,310.0631,0,0,0,0,0,0,1,92.4175,0,0,0,17,12,4,92.4175,2,213.0845,211.154,0,393.5492,314.0844,266.4432,74.2159,764.9235,NA,"V331095","L0770","C",521.1,266.15,8760.188,9000
901,901,"V331095_L770_1_P.jpg",2669.6983,392.6772,0,0,0,1,NA,0,1,106.7333,0,7,8,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,"V331095","L0770","P",521.1,266.15,8760.188,9000
902,902,"V331095_L770_1_P.jpg",NA,NA,0,0,0,0,0,0,0,0,0,0,0,16,0,4,92,2,166.8652,NA,0,450.6395,354.683,268.4772,70.9366,779.7897,0,"V331095","L0770","P",521.1,266.15,8760.188,9000
906,906,"V331101_L776_1_C.jpg",NA,462.9124,0,NA,1,0,NA,1,1,132.4424,0,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,793.3852,0,"V331101","L0776","C",NA,NA,NA,NA
907,907,"V331101_L776_1_P.jpg",NA,NA,0,NA,1,0,NA,1,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,469.5551,401.2605,151.344,778.1517,0,"V331101","L0776","P",NA,NA,NA,NA
913,913,"V331107_L782_1_C.jpg",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,4,180.0444,0,NA,NA,0,NA,NA,NA,NA,704.9199,0,"V331107","L0782","C",388.15,399.1,13065.494,13250
914,914,"V331107_L782_1_P.jpg",5299.1773,646.0767,0,0,0,0,NA,1,1,100,0,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,"V331107","L0782","P",388.15,399.1,13065.494,13250
915,915,"V331107_L782_1_P.jpg",NA,NA,0,0,0,0,0,0,0,0,0,9,7,18,0,0,NA,0,NA,NA,0,144.9966,540.0148,NA,NA,773.0356,0,"V331107","L0782","P",388.15,399.1,13065.494,13250
922,922,"V331113_L788_1_C.jpg",4670.88,586.9946,0,0,0,0,0,0,1,175.3169,0,9,7,18,9,5,196.0408,2,NA,NA,0,NA,NA,NA,NA,NA,0,"V331113","L0788","C",525.1,262.15,8630.656,8750
923,923,"V331113_L788_1_C.jpg",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,351.6817,0,814.1253,318.5216,418.9511,125.6025,771.0045,0,"V331113","L0788","C",525.1,262.15,8630.656,8750
924,924,"V331113_L788_1_P.jpg",4471.7531,596.6505,0,0,0,0,0,0,1,150.1466,0,0,0,16,0,6,184,2,436.9531,NA,0,NA,NA,NA,158.2403,758.1134,NA,"V331113","L0788","P",525.1,262.15,8630.656,8750
951,951,"V331141_L817_1_C.jpg",NA,NA,0,0,0,0,0,0,0,148.0068,0,0,0,0,0,0,NA,2,NA,360.6619,0,687.1768,505.2841,524.3138,NA,750.8635,0,"V331141","L0817","C",NA,NA,NA,NA
952,952,"V331141_L817_1_C.jpg",NA,NA,0,0,0,0,345.9509,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,"V331141","L0817","C",NA,NA,NA,NA
953,953,"V331141_L817_1_P.jpg",NA,576.797,0,NA,1,1,192.0234,0,1,NA,0,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,741.5039,0,"V331141","L0817","P",NA,NA,NA,NA
