"fish_id","total_flags","flagged_measurements","C_SL","P_SL","C_CAV","P_CAV","C_DS1","P_DS1","C_DS2","P_DS2","C_DS3","P_DS3","C_LPT","P_LPT","C_PSP.L","P_PSP.L","C_PSP.R","P_PSP.R","C_TPG","P_TPG","C_ECT","P_ECT","C_CLE","P_CLE","C_PMX","P_PMX"
"V330661_L315_1",8,"DS1, DS2, DS3, PSP.L, PSP.R, ECT, CLE, PMX",NA,2976.8523,NA,415.9945,0,0,0,207.6945,0,84.8528,NA,133.154,0,0,0,0,NA,67.4166,409.3324,287.1237,340.8005,358.5596,89.1964,84.534
"V330671_L326_1",8,"CAV, DS1, DS2, DS3, LPT, PSP.L, PSP.R, PMX",3095.5654,NA,402.8548,431.5119,0,0,0,0,158.4045,151.7893,166.3851,92.7793,0,0,0,0,NA,NA,450.6495,NA,NA,NA,86.3771,109.8362
"V330695_L352_1",8,"CAV, DS1, DS2, DS3, LPT, PSP.L, PSP.R, TPG",NA,4539.0959,601.047,533.6339,0,0,428.8963,0,148.4318,165.215,110.0545,143.6106,0,0,0,0,446.1749,228.3156,NA,NA,NA,526.1939,NA,164.9242
"V330755_L412_1",8,"DS1, DS2, DS3, PSP.L, PSP.R, ECT, CLE, PMX",NA,3813.324,NA,439.4566,0,0,0,309.9677,0,167.0928,NA,73.5391,0,400.7393,0,0,NA,602.289,302.4169,641.2488,447.3209,365.4039,104.69,101.9804
"V330812_L474_1",8,"CAV, DS1, DS2, DS3, LPT, PSP.L, PSP.R, TPG",NA,NA,407.7428,437.8286,0,0,0,0,138.9748,148.9463,149.459,132.8157,0,0,0,0,163.7681,310.8585,NA,507.8779,NA,423.4678,NA,NA
"V330828_L491_1",8,"DS1, DS2, DS3, PSP.L, TPG, ECT, CLE, PMX",NA,2427.6693,NA,297.4497,0,0,0,180.2498,0,97.719,NA,104.1729,133.4166,0,NA,0,133.8208,214.8953,288.2568,298.0604,280.5281,206.8913,56.4624,62.6099
"V331113_L788_1",8,"SL, CAV, DS1, DS2, DS3, LPT, PSP.L, PMX",4670.88,4471.7531,586.9946,596.6505,0,0,0,0,175.3169,150.1466,196.0408,184,0,436.9531,0,NA,814.1253,NA,318.5216,NA,418.9511,NA,125.6025,158.2403
"V331149_L825_1",8,"CAV, DS1, DS2, DS3, LPT, PSP.L, PSP.R, ECT",NA,5099.4812,587.8407,625.7322,0,0,104.3072,145.9863,152.3155,157.4929,190.0737,222.036,0,0,0,0,NA,NA,643.2915,774.9323,NA,630.587,NA,177.5387
"V332124_L1858_1",8,"DS1, DS2, PSP.L, PSP.R, TPG, ECT, CLE, PMX",NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,648.3949,334.5923,578.3425,644.236,571.4543,657.2184,223.0336,270.1703
"V332434_L2177_1",8,"CAV, DS2, DS3, LPT, PSP.L, TPG, ECT, CLE",NA,NA,484.9822,484.1403,NA,291.0155,349.4682,381.8377,156,174.5423,128.2498,141.1276,427.3266,413.4562,NA,NA,856.0841,805.4316,646.5787,610.6161,606.419,604.6693,213.4666,NA
"V332857_L2712_1",8,"DS1, DS2, DS3, LPT, PSP.L, PSP.R, TPG, ECT",NA,NA,NA,385.4682,0,0,208.5809,0,79.2023,0,118.3765,93.4345,0,0,0,0,270.749,213.3378,484.8226,460.1847,NA,NA,NA,NA
"V333176_L3034_1",8,"DS1, DS2, PSP.L, PSP.R, TPG, ECT, CLE, PMX",NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,208.0625,271.6616,605.1529,588.0077,631.7476,613.2487,157.035,165.9518
"V333199_L3058_1",8,"CAV, DS1, DS2, DS3, LPT, PSP.L, PSP.R, TPG",NA,NA,525.8213,494.6813,0,0,0,0,101.8676,100.8464,132.0341,117.1537,0,0,0,0,186,185.4427,517.0542,NA,586.7282,NA,NA,NA
"V330496_L138_1",7,"DS1, DS2, DS3, PSP.L, PSP.R, ECT, CLE",NA,NA,NA,NA,0,0,0,0,0,146.697,NA,112.6055,0,0,0,0,195,NA,429.0105,613.4175,545.8351,456.0395,68.4105,NA
"V330525_L169_1",7,"DS1, DS2, DS3, PSP.L, PSP.R, CLE, PMX",NA,NA,NA,540.0084,0,0,0,0,0,164.195,NA,81.5843,0,0,0,0,NA,137.6372,NA,443.0621,533.1866,497.9317,104.3072,118.9285
"V330591_L242_1",7,"SL, CAV, DS1, DS2, DS3, PSP.L, PSP.R",4093.9612,4005.487,568.2632,510.5848,0,0,392.3264,419.6951,0,162.4315,135.8234,NA,0,0,0,0,NA,NA,614.9211,NA,NA,NA,76.4199,NA
"V330698_L356_1",7,"DS1, DS2, DS3, PSP.L, PSP.R, TPG, CLE",NA,NA,NA,434.6186,0,0,0,0,0,123.0366,NA,101.8676,0,0,0,0,198.658,177.1017,NA,394.1434,393.9264,375.5875,NA,164.7544
"V330759_L416_1",7,"DS1, DS2, LPT, PSP.L, PSP.R, ECT, CLE",NA,2905.4872,NA,343.3271,0,0,0,0,NA,85.3288,74.027,84.4808,0,0,0,0,NA,NA,414.56,352.6372,230.8679,319.581,NA,79.2023
"V330764_L422_1",7,"CAV, DS1, DS2, DS3, LPT, PSP.L, PSP.R",4562.2538,NA,599.8012,622.9485,0,0,0,0,128.0625,118.9285,201.4349,197.4639,0,0,0,0,NA,NA,NA,NA,NA,NA,124.5793,NA
"V330793_L454_1",7,"DS1, DS2, DS3, LPT, PSP.L, PSP.R, PMX",2906.6462,NA,370.5522,NA,0,0,0,0,0,0,114.4028,123.6285,0,0,0,0,152.3155,NA,209.7236,NA,322.4903,NA,58.2409,83.1865
"V330840_L505_1",7,"DS1, DS2, DS3, PSP.L, PSP.R, TPG, ECT",NA,2970.503,NA,372.3849,0,0,0,0,0,86.1626,NA,68.8186,0,0,0,0,173.77,144.5545,437.1727,334.9746,NA,398.5775,NA,56.5685
"V330870_L538_1",7,"DS1, DS2, DS3, PSP.L, PSP.R, CLE, PMX",2790.1613,NA,323.9322,NA,0,0,168.9083,0,0,0,82.3772,NA,0,0,0,0,84,NA,380.6219,NA,346.3019,369.1951,95.2943,114.0395
"V330888_L556_1",7,"DS1, DS2, PSP.L, PSP.R, ECT, CLE, PMX",NA,NA,391.5331,NA,0,0,0,0,76.4853,NA,90.2497,NA,0,0,0,0,NA,NA,475.6017,421.7321,379.8763,423.967,90.2497,72
"V330939_L608_1",7,"CAV, DS1, DS3, PSP.L, PSP.R, TPG, ECT",NA,NA,375.9919,397.1175,107.6476,0,0,NA,97.2008,110.4536,NA,NA,0,0,0,0,142.6184,134.5362,353.8361,401.1384,NA,266.6608,102.45,NA
"V330944_L613_1",7,"CAV, DS1, DS2, DS3, LPT, PSP.L, PSP.R",NA,NA,618.8115,594.3344,0,0,0,0,130.2498,153.1535,146.5094,193.3287,0,0,0,0,NA,NA,NA,NA,NA,588.5576,NA,237.8571
"V330945_L614_1",7,"DS1, DS2, DS3, PSP.L, PSP.R, ECT, PMX",NA,NA,NA,NA,0,0,0,248.5156,0,0,NA,NA,0,0,0,0,NA,168.3449,680.1323,698.4125,NA,459.0643,155.0484,87.7268
"V331026_L700_1",7,"CAV, DS1, DS2, DS3, PSP.L, PSP.R, CLE",NA,NA,331.3014,327.4843,0,0,0,0,0,72.0625,NA,NA,0,0,0,0,NA,NA,NA,370.9461,363.7925,349.4968,NA,NA
"V331864_L1592_1",7,"CAV, DS1, DS2, DS3, LPT, PSP.L, PSP.R",4195.5596,NA,477.4109,509.0597,0,0,0,0,203.2142,0,164.7786,114.0395,0,0,0,0,410.7749,NA,596.1208,NA,524.9762,NA,104.9952,NA
"V332071_L1804_1",7,"DS1, PSP.L, PSP.R, TPG, ECT, CLE, PMX",NA,2682.9629,344.9945,NA,104.3552,0,NA,0,NA,NA,NA,NA,311.899,293.0188,304.245,301.4963,393.0801,395.8409,318.6926,363.743,382.8733,371.0795,93.0484,94.8683
"V332244_L1982_1",7,"CAV, DS1, DS2, DS3, LPT, PSP.L, PSP.R",NA,NA,499.3083,497.6711,0,0,0,0,99.1817,100.5783,83.5703,97.6729,0,0,0,0,NA,148.822,NA,NA,NA,NA,NA,NA
"V332273_L2011_1",7,"CAV, DS1, DS2, DS3, LPT, PSP.L, PSP.R",NA,3304.4275,409.3839,425.9588,0,0,0,0,91.2414,0,133.9291,132.1363,0,0,0,0,NA,157.4071,NA,NA,NA,488.3646,NA,NA
"V332837_L2692_1",7,"DS1, DS2, PSP.L, PSP.R, ECT, CLE, PMX",NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,123.3288,NA,415.8654,483.6238,491.1395,543.3415,165.463,182.3952
"V333410_L3252_1",7,"DS1, DS2, DS3, LPT, PSP.L, PSP.R, PMX",NA,3900.2051,NA,522.1596,0,0,0,0,94.1488,82.4621,88.0909,104.69,0,0,0,0,160.4494,NA,448.4462,NA,492.0163,NA,164.4384,193.0389
"V330400_L40_1",6,"SL, DS1, DS2, DS3, PSP.L, PSP.R",3580.2145,3601.3975,422.7414,NA,0,0,0,0,0,0,88.4081,NA,0,0,0,0,565.2787,NA,578.1661,NA,495.7177,NA,78.5875,NA
"V330455_L95_1",6,"DS1, DS2, DS3, PSP.L, PSP.R, CLE",NA,NA,398.9767,NA,0,0,0,0,0,86.3771,NA,NA,0,0,0,0,NA,NA,NA,356.8991,364.5339,286.2447,NA,42.107
"V330466_L106_1",6,"DS1, DS2, DS3, PSP.L, PSP.R, TPG",NA,4012.4849,NA,NA,0,0,0,0,0,101.8234,NA,142.2252,0,0,0,0,155.0629,160.4244,NA,413.4731,588.8022,NA,NA,143.0245
"V330513_L155_1",6,"DS1, DS2, DS3, PSP.L, PSP.R, PMX",NA,NA,NA,NA,0,0,0,0,0,0,150.12,NA,0,0,0,0,124.3101,NA,676.4983,NA,657.1918,NA,113.2078,202.4253
"V330523_L166_1",6,"DS1, DS2, DS3, PSP.L, PSP.R, PMX",NA,2125.586,NA,NA,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,94.255,NA,239.8833,NA,222.5039,77.2528,57.7235
"V330538_L182_1",6,"CAV, DS1, DS2, DS3, PSP.L, PSP.R",NA,2784.6285,362.8283,365.9392,0,0,0,275.7716,121.6224,138.0326,NA,121.4907,0,0,0,0,NA,NA,NA,469.8808,NA,NA,NA,77.4209
"V330542_L187_1",6,"DS1, DS2, DS3, PSP.L, PSP.R, PMX",4613.0563,NA,560.0582,NA,0,0,0,0,0,0,130.2306,NA,0,0,0,0,231.8965,NA,540.7254,NA,NA,636.088,222.1711,123.4828
"V330549_L194_1",6,"DS1, DS2, DS3, PSP.L, PSP.R, ECT",3979.4874,NA,491.098,NA,0,0,0,257.6199,153.8831,0,NA,NA,0,0,0,0,NA,NA,534.161,350.8219,NA,NA,139.1402,NA
"V330559_L205_1",6,"CAV, DS1, DS3, PSP.L, PSP.R, ECT",NA,NA,410.3997,440.1035,202.8694,0,NA,247.4773,103.3247,101.8676,76.4199,NA,0,0,0,0,108.0185,NA,331.8795,386.6277,280.8558,NA,NA,NA
"V330567_L216_1",6,"CAV, DS1, DS2, PSP.L, PSP.R, PMX",2986.9048,NA,377.2653,383.7982,0,0,0,0,0,NA,140.4564,NA,0,0,0,0,NA,107.0794,NA,336.0268,NA,399.845,72,165.3269
"V330570_L219_1",6,"DS1, DS2, DS3, LPT, PSP.L, PSP.R",NA,3107.8385,NA,386.7396,0,0,233.0322,206.6495,0,107.629,169.1656,121.6553,0,0,0,0,NA,NA,NA,325.9939,NA,388.8033,NA,115.1694
"V330592_L243_1",6,"CAV, DS1, DS2, DS3, PSP.L, PSP.R",NA,NA,516.7118,407.7761,0,0,0,0,129.9731,133.154,NA,117.1537,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"V330605_L256_1",6,"DS1, DS2, DS3, PSP.L, PSP.R, PMX",NA,4557.5713,NA,601.3159,0,0,0,0,0,141.4214,NA,161.2452,0,0,0,0,NA,NA,NA,640.05,NA,658.5924,194.0309,141.8732
"V330614_L265_1",6,"DS1, DS2, DS3, PSP.L, PSP.R, ECT",NA,NA,NA,367.8345,0,0,0,0,0,135.2997,NA,123.9113,0,0,0,0,NA,NA,278.2894,440.6733,NA,412.3227,NA,112.9292
"V330651_L305_1",6,"CAV, DS1, DS2, DS3, PSP.L, PSP.R",NA,2632.7508,309.6793,287.3686,0,0,0,0,0,87.4757,NA,87.3613,0,0,0,0,NA,120.0666,NA,295.9189,NA,310.4835,NA,NA
"V330666_L321_1",6,"DS1, DS2, DS3, PSP.L, PSP.R, PMX",NA,3459.2045,NA,381.525,0,0,0,0,0,116.619,NA,194.6484,0,0,0,0,NA,NA,462.9644,NA,419.6475,NA,109.3435,136.0588
"V330704_L362_1",6,"DS1, DS2, DS3, PSP.L, PSP.R, TPG",NA,NA,NA,576.7361,0,0,0,0,0,143.5618,NA,NA,131.0267,0,123.3207,0,259.6151,198.5674,NA,NA,NA,NA,NA,NA
"V330709_L368_1",6,"DS1, DS2, DS3, PSP.L, PSP.R, PMX",NA,NA,NA,635.908,0,0,0,0,0,0,NA,129.8692,0,0,0,0,150.6586,NA,NA,NA,NA,NA,225.8584,168.2409
"V330724_L381_1",6,"DS1, DS2, DS3, PSP.L, PSP.R, ECT",NA,NA,NA,579.5978,0,0,0,0,0,110.0227,NA,132.8495,0,0,0,0,NA,NA,386.2642,404.4997,NA,433.1028,NA,142.6184
"V330731_L388_1",6,"CAV, DS1, DS2, DS3, PSP.L, PSP.R",NA,NA,438.4584,448.2104,0,0,0,0,98.6813,123.584,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"V330826_L489_1",6,"DS1, DS2, DS3, PSP.L, PSP.R, PMX",NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,0,0,0,0,120.9339,NA,394.5884,NA,382.038,NA,90.7965,80.7775
"V330855_L523_1",6,"SL, DS1, DS2, DS3, PSP.L, PSP.R",3864.4058,3829.7171,549.6147,NA,0,0,0,0,125.6025,0,132.2422,NA,0,0,0,0,518.0563,NA,516.4408,NA,310.4178,NA,98.8915,NA
"V330866_L534_1",6,"CAV, DS1, DS2, DS3, PSP.L, PSP.R",NA,NA,573.651,578.2484,0,0,0,0,0,129.5531,NA,137.4627,0,0,0,0,NA,290.7645,NA,555.4098,NA,400.6794,NA,NA
"V330872_L540_1",6,"DS1, DS2, DS3, PSP.L, PSP.R, CLE",NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,179.9778,NA,390.1282,410.3121,379.6841,NA,73.2393
"V330904_L573_1",6,"DS1, DS2, DS3, PSP.L, PSP.R, TPG",NA,3742.7092,NA,417.6419,0,0,0,202.7807,0,141.7604,NA,116,0,0,0,0,350.4868,241.197,NA,474.4007,NA,316.8091,NA,131.9394
"V330949_L618_1",6,"DS1, DS2, DS3, PSP.L, PSP.R, TPG",NA,1946.2996,NA,238.6981,0,0,0,0,0,87.6185,NA,77.1298,0,0,0,0,94.1488,84.9058,NA,271.0646,NA,229.9848,NA,90.05
"V330997_L670_1",6,"SL, DS1, DS2, TPG, ECT, CLE",3756.9094,3975.7424,542.2977,NA,0,0,0,0,NA,127.059,NA,NA,NA,360.1111,NA,NA,589.359,615.2203,451.8761,484.9412,380.0842,548.2335,NA,135.3514
"V331078_L753_1",6,"DS1, DS2, DS3, PSP.L, PSP.R, CLE",NA,NA,NA,NA,0,0,0,167.2752,0,123.1463,NA,NA,0,0,0,0,NA,NA,530.1924,NA,331.4453,402.1903,NA,NA
"V331223_L901_1",6,"DS1, DS2, DS3, PSP.L, PSP.R, ECT",NA,3123.0231,NA,370.4426,0,0,0,0,0,132.5443,NA,106.066,0,0,0,0,NA,183.393,429.0105,235.5525,NA,336.7625,NA,99.4082
"V331459_L1167_1",6,"DS1, DS2, DS3, PSP.L, PSP.R, CLE",NA,NA,NA,649.1422,0,0,0,0,135.4843,0,191.0183,NA,0,0,0,0,NA,161.1366,NA,NA,664.7255,524.2452,140.8687,NA
"V331489_L1201_1",6,"DS1, DS2, DS3, LPT, PSP.L, PSP.R",NA,NA,353.2864,NA,0,0,0,0,73.5391,109.4897,112.641,120.4159,0,0,0,0,NA,NA,369.432,NA,279.4852,NA,NA,88.8144
"V331514_L1227_1",6,"CAV, DS1, DS2, DS3, PSP.L, PSP.R",NA,NA,553.7262,535.5007,0,0,0,0,108.6646,144.1249,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,216.3331,NA
"V332073_L1806_1",6,"CAV, DS1, PSP.L, PSP.R, ECT, CLE",NA,NA,413.1257,435.5698,0,0,0,NA,107.7079,NA,100.1299,NA,0,0,0,0,163.6857,NA,444.6684,357.7555,455.1505,405.7105,NA,114.6298
"V332580_L2327_1",6,"DS1, DS2, PSP.L, TPG, ECT, CLE",NA,NA,598.5752,NA,0,222.7285,398.4972,425.0271,242.9815,NA,272.0294,NA,538.9174,707.3132,NA,NA,1152.5624,1165.8696,844.6064,644.686,810.9057,662.4568,NA,NA
"V332645_L2497_1",6,"DS1, DS2, DS3, LPT, PSP.L, PSP.R",NA,NA,NA,482.098,55.8032,0,0,0,0,126.1428,135.0333,112.0893,0,0,0,0,216.541,NA,NA,NA,523.9275,NA,146.1095,NA
"V332774_L2629_1",6,"CAV, DS1, DS2, DS3, PSP.L, PSP.R",NA,NA,292.9325,299.2408,0,0,0,0,111.0856,105.5462,123.3207,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"V332844_L2699_1",6,"CAV, DS1, DS2, DS3, PSP.L, PSP.R",NA,3504.0205,451.2724,464.2143,0,0,0,0,0,112.0089,NA,75.9539,0,0,0,0,NA,102.6158,NA,NA,NA,470.4551,NA,178.3171
