UCMP #,L -SPEC,STRAT (cm),PS,DSP,PT,CT,CSTRAT,ISTRAT,YEAR,INT,REGURG
,2786,663,3,2,        .   ,        .   ,634.8,152.45,5078.252,5250,
,2787,239.8,1,1,5,2,230.85,556.4,18159.325,18250,3
,2788,663.2,3,3,6,3,635,152.25,5071.775,5250,
,2789,120.8,        .   ,        .   ,        .   ,        .   ,120.25,667,21740.874,21750,
,2790,119.8,1,1,5,2,119.25,668,21773.257,22000,3
,2791,238.2,1,0,5,2,229.25,558,18211.138,18250,
,2792,140.3,        .   ,2,5,3,139.75,647.5,21109.407,21250,3
,2793,667.9,0,1,6,2,639.35,147.9,4930.909,5000,
,2794,237,1,1,        .   ,        .   ,228.05,559.2,18249.997,18250,
,2795,661.7,3,3,5,4,633.6,153.65,5117.111,5250,
,2796.1,702.9,1,1,6,2,674.95,112.3,3778.078,4000,
,2796.2,702.9,1,        .   ,        .   ,        .   ,674.95,112.3,3778.078,4000,
,2797,703.6,0,1,6,2,675.65,111.6,3755.41,4000,3
,2798,237.9,1,1,5,2,228.95,558.3,18220.852,18250,
,2799,663,3,3,        .   ,        .   ,634.8,152.45,5078.252,5250,
,2800,140,1,1,5,3,139.45,647.8,21119.122,21250,
,2801,237,1,1,5,2,228.05,559.2,18249.997,18250,
,2802,665.1,3,3,6,4,636.9,150.35,5010.248,5250,
,2803,737,        .   ,        .   ,        .   ,        .   ,707.8,79.45,2714.3,2750,
,2804,661.8,3,3,        .   ,        .   ,633.7,153.55,5113.873,5250,
,2805,237.9,1,1,5,2,228.95,558.3,18220.852,18250,
,2806,143.6,1,1,5,2,143.05,644.2,21002.544,21250,
,2807,705.5,1,        .   ,        .   ,        .   ,677.55,109.7,3693.883,3750,
,2808,666.7,3,3,5,2,638.5,148.75,4958.435,5000,
,2809,667.3,3,3,5,3,638.75,148.5,4950.339,5000,
,2810,143.8,        .   ,2,6,4,143.25,644,20996.067,21000,
,2811,668.9,1,        .   ,        .   ,        .   ,640.35,146.9,4898.527,5000,
,2812,737.1,1,1,7,3,707.9,79.35,2711.062,2750,
,2813,661.8,3,3,6,4,633.7,153.55,5113.873,5250,
,2814,242.4,        .   ,        .   ,        .   ,        .   ,233.45,553.8,18075.129,18250,
,2815,669.3,1,1,5,2,640.75,146.5,4885.573,5000,
,2816,706.5,2,3,6,4,678.55,108.7,3661.5,3750,
,2817,706.1,1,1,        .   ,        .   ,678.15,109.1,3674.453,3750,
,2818,241.5,1,2,6,4,232.55,554.7,18104.274,18250,
,2819,242.7,1,1,5,2,233.75,553.5,18065.414,18250,
,2820,242.5,1,1,4,1,233.55,553.7,18071.891,18250,
,2821,120.3,1,2,6,3,119.75,667.5,21757.065,22000,
,2822,666.8,3,3,5,3,638.6,148.65,4955.197,5000,
,2823,245.8,0,1,5,2,236.85,550.4,17965.027,18000,
,2824,705.4,1,2,5,2,677.45,109.8,3697.121,3750,
,2825,666.7,3,3,5,4,638.5,148.75,4958.435,5000,
,2826,149,        .   ,        .   ,        .   ,        .   ,147.55,639.7,20856.821,21000,
,2827,154.6,1,1,6,4,153.15,634.1,20675.476,20750,
,2828,704.5,1,        .   ,        .   ,        .   ,676.55,110.7,3726.266,3750,
,2829,666.8,3,3,6,4,638.6,148.65,4955.197,5000,
,2830,246.4,        .   ,1,5,2,237.45,549.8,17945.598,18000,
,2831,703,1,        .   ,        .   ,        .   ,675.05,112.2,3774.84,4000,
,2832,244.2,1,0,4,1,235.25,552,18016.84,18250,
,2833,736.6,1,        .   ,        .   ,        .   ,707.4,79.85,2727.253,2750,
,2834,667.8,        .   ,        .   ,        .   ,        .   ,639.25,148,4934.148,5000,
,2835,244.5,1,        .   ,        .   ,        .   ,235.55,551.7,18007.125,18250,
,2836,739.7,1,        .   ,        .   ,        .   ,710.5,76.75,2626.866,2750,
,2837.1,146.7,1,1,6,3,145.25,642,20931.301,21000,
,2838,147.5,2.2,1,6,4,146.05,641.2,20905.395,21000,
,2839,199.2,1,1,5,2,190.45,596.8,19467.594,19500,
,2840,245.5,1,1,5,2,236.55,550.7,17974.742,18000,
,2841,706.9,1,        .   ,        .   ,        .   ,678.95,108.3,3648.547,3750,
,2842,147.5,        .   ,        .   ,        .   ,        .   ,146.05,641.2,20905.395,21000,
,2843,146.7,        .   ,2,5,2,145.25,642,20931.301,21000,
,2844,200.2,1,1,5,2,191.45,595.8,19435.211,19500,
,2845,145.3,        .   ,1,5,2,144.35,642.9,20960.446,21000,
,2846,143.8,3,1,5,3,143.25,644,20996.067,21000,
,2847,664.7,3,        .   ,        .   ,        .   ,636.5,150.75,5023.201,5250,
,2848,708.2,1,1,        .   ,        .   ,680.25,107,3606.449,3750,
