UCMP #,L -SPEC,STRAT (cm),PS,DSP,PT,CT,CSTRAT,ISTRAT,YEAR,INT,REGURG
,2,120.4,1,1,5,2,119.85,667.4,21753.827,22000,
,4,140.1,1,1,6,2,139.55,647.7,21115.884,21250,
,25,428.4,2.2,        .   ,        .   ,        .   ,411.8,375.45,12299.639,12500,
,30,475.8,3,2,6,0,458.45,328.8,10788.976,11000,
,31,487.2,1.4,1,6,0,469.85,317.4,10419.811,10500,
,32,481.3,3,2,5,0,463.95,323.3,10610.87,10750,
,33,495.4,1,1,4,0,477.2,310.05,10181.797,10250,
,35,504.9,1.4,1,4,1,486.7,300.55,9874.159,10000,
,36,17.5,,,,,,,,,1
,37,521.3,3,1,6,3,498.5,288.75,9492.041,9500,
,39,521.6,3,1,7,4,498.8,288.45,9482.326,9500,
,40,520,3,1,5,2,497.2,290.05,9534.139,9750,
,44,536.7,3,1,6,2,510.9,276.35,9090.493,9250,1
,45,534.2,3,2,5,3,508.4,278.85,9171.45,9250,
,47,551.9,3,2,        .   ,        .   ,526,261.25,8601.511,8750,
,51,560.7,3,2,5,2,534.8,252.45,8316.542,8500,
,64,632.6,3,3,6,3,606.15,181.1,6006.022,6250,
,65,632.4,        .   ,        .   ,        .   ,        .   ,605.95,181.3,6012.498,6250,
,78,685.3,        .   ,        .   ,        .   ,        .   ,656.8,130.45,4365.828,4500,
,90,763.3,1,2,5,2,733.1,54.15,1895.012,2000,
,95,820,        .   ,1,        .   ,        .   ,787.25,0,141.478,250,
,98,254.8,1,0,        .   ,        .   ,245.9,541.35,17671.962,17750,
,101,256.4,1,        .   ,        .   ,        .   ,247.5,539.75,17620.15,17750,
,102,250.8,1,1,5,2,241.85,545.4,17803.113,18000,
,104,256.9,        .   ,1,5,3,248.15,539.1,17599.101,17750,
,106,260.6,1,1,5,3,251.85,535.4,17479.284,17500,
,108,364.3,0,1,5,3,348.2,439.05,14359.191,14500,
,110,481.5,3,        .   ,        .   ,        .   ,464.15,323.1,10604.394,10750,
,113,429.2,2.2,1,5,2,412.6,374.65,12273.732,12500,
,114,353.9,1,2,5,2,337.8,449.45,14695.974,14750,
,116,454.2,1,1,6,2,437.4,349.85,11470.637,11500,
,120,428.2,2.4,1,5,3,411.6,375.65,12306.115,12500,
,121,426.9,        .   ,        .   ,        .   ,        .   ,410.3,376.95,12348.213,12500,
,122,426.5,1,0,5,2,409.9,377.35,12361.166,12500,
,124,434.7,        .   ,        .   ,        .   ,        .   ,418.05,369.2,12097.246,12250,
,125,426,1,2,5,3,409.4,377.85,12377.358,12500,
,126,417,        .   ,        .   ,        .   ,        .   ,400.4,386.85,12668.804,12750,
,130,444.5,1,1,6,3,427.85,359.4,11779.893,12000,
,131,367.6,0,1,6,3,351.5,435.75,14252.328,14500,
,132,445.3,1,1,6,3,428.65,358.6,11753.987,12000,
,134,430.1,3,1,6,2,413.5,373.75,12244.588,12250,
,135,430.1,1,1,6,3,413.5,373.75,12244.588,12250,
,136,368.5,1,1,6,4,352.4,434.85,14223.183,14250,
,137,369,1,1,5,3,352.9,434.35,14206.992,14250,
,138,369,1,1,7,4,352.9,434.35,14206.992,14250,
,141,430,3,1,5,2,413.4,373.85,12247.826,12250,2
,142,371.9,1,0,5,2,355.8,431.45,14113.081,14250,1
,144,348.7,1,1,6,2,332.6,454.65,14864.365,15000,
,145,343.8,1,1,5,2,327.8,459.45,15019.803,15250,1
,146,339.3,        .   ,        .   ,        .   ,        .   ,323.3,463.95,15165.526,15250,
,149,355.2,        .   ,        .   ,5,2,339.1,448.15,14653.876,14750,
,151,341.5,1,1,5,2,325.5,461.75,15094.283,15250,
,152,342.8,1,1,5,3,326.8,460.45,15052.185,15250,
,153,359.5,1,0,6,3,343.4,443.85,14514.629,14750,
,155,137.1,1,1,5,2,136.55,650.7,21213.033,21250,
,158,357.5,1,1,5,2,341.4,445.85,14579.395,14750,
,160,323.4,1,2,5,2,308.25,479,15652.888,15750,
,161,332.9,1,1,5,2,316.9,470.35,15372.776,15500,
,162,332.9,1,2,5,2,316.9,470.35,15372.776,15500,
,163,342.5,1,        .   ,        .   ,        .   ,326.5,460.75,15061.9,15250,
,164,341.7,1,2,        .   ,        .   ,325.7,461.55,15087.807,15250,
,165,347.7,2.3,2,5,2,331.6,455.65,14896.748,15000,
,166,341.9,1,        .   ,5,2,325.9,461.35,15081.33,15250,
,167,351.9,        .   ,1,5,2,335.8,451.45,14760.739,15000,2
,168,335.2,        .   ,        .   ,        .   ,        .   ,319.2,468.05,15298.296,15500,
,169,336,1,1,5,2,320,467.25,15272.389,15500,
,170,344,1,1,5,2,328,459.25,15013.326,15250,
,171,352.5,        .   ,        .   ,        .   ,        .   ,336.4,450.85,14741.31,14750,
,172.1,351.9,2.2,2,6,2,335.8,451.45,14760.739,15000,
,172.2,351.9,1,2,5,2,335.8,451.45,14760.739,15000,
,174,346.7,1,1,5,2,330.6,456.65,14929.13,15000,2
,175,346.7,        .   ,        .   ,        .   ,        .   ,330.6,456.65,14929.13,15000,
,176,346,1,2,5,2,329.9,457.35,14951.798,15000,
,177,345.5,3,        .   ,        .   ,        .   ,329.4,457.85,14967.99,15000,
,178,345.7,1,1,5,2,329.6,457.65,14961.513,15000,
,179.1,345.6,1,1,5,2,329.5,457.75,14964.752,15000,3
,179.2,345.6,1,1,5,3,329.5,457.75,14964.752,15000,
,179.3,345.6,        .   ,        .   ,        .   ,        .   ,329.5,457.75,14964.752,15000,
,179.4,345.6,1,2,        .   ,        .   ,329.5,457.75,14964.752,15000,
,180,347.6,1,1,5,2,331.5,455.75,14899.986,15000,
,181,346.4,1,1,5,3,330.3,456.95,14938.845,15000,2
,182,435.5,1,2,5,3,418.85,368.4,12071.339,12250,
,183,345.7,        .   ,        .   ,        .   ,        .   ,329.6,457.65,14961.513,15000,
,184,367.3,1,        .   ,        .   ,        .   ,351.2,436.05,14262.043,14500,
,186,391.7,3,2,6,3,375.65,411.6,13470.281,13500,
,187,347.1,1,0,6,2,331,456.25,14916.177,15000,
,188,82.9,        .   ,        .   ,        .   ,        .   ,82.35,704.9,22968.186,23000,
,190,346.4,1,1,        .   ,        .   ,330.3,456.95,14938.845,15000,
,191,81,        .   ,        .   ,        .   ,        .   ,80.55,706.7,23026.475,23250,
,192,367.3,3,        .   ,        .   ,        .   ,351.2,436.05,14262.043,14500,3
,193,348.1,1,1,5,2,332,455.25,14883.794,15000,2
,194,363.4,1,2,5,2,347.3,439.95,14388.336,14500,
,198,80.9,        .   ,        .   ,        .   ,        .   ,80.45,706.8,23029.713,23250,
,199,80.8,        .   ,        .   ,        .   ,        .   ,80.35,706.9,23032.952,23250,
,200,366.7,1,1,6,4,350.6,436.65,14281.472,14500,
,201,365.2,1,2,5,2,349.1,438.15,14330.047,14500,
,202,366.2,1,1,5,2,350.1,437.15,14297.664,14500,
,203,368.1,1,2,5,2,352,435.25,14236.136,14250,
,204,361.5,1,1,5,2,345.4,441.85,14449.863,14500,
,205,361.1,0,2,6,4,345,442.25,14462.817,14500,
,206,361.1,1,2,5,2,345,442.25,14462.817,14500,
,207,359.8,1,1,6,3,343.7,443.55,14504.914,14750,4
,208,361.1,1,        .   ,        .   ,        .   ,345,442.25,14462.817,14500,
,209,366.3,1,0,        .   ,        .   ,350.2,437.05,14294.426,14500,
,210,354.7,1,1,5,2,338.6,448.65,14670.067,14750,
,211,84.1,        .   ,        .   ,        .   ,        .   ,83.55,703.7,22929.326,23000,
,212,83.8,        .   ,        .   ,        .   ,        .   ,83.25,704,22939.041,23000,
,213,362,1,1,5,2,345.9,441.35,14433.672,14500,
,214,365.8,1,2,6,1,349.7,437.55,14310.617,14500,
,215,96,        .   ,        .   ,        .   ,        .   ,95.45,691.8,22543.97,22750,
,216,370.6,1,1,5,2,354.5,432.75,14155.179,14250,
,217,367.9,1,2,5,2,351.8,435.45,14242.613,14250,
,218,368.3,2,2,5,2,352.2,435.05,14229.66,14250,
,219,367.2,1,2,5,3,351.1,436.15,14265.281,14500,
,220,367.2,1,2,6,3,351.1,436.15,14265.281,14500,
,221,370.4,1,0,5,2,354.3,432.95,14161.656,14250,
,222,96.7,1,1,5,2,96.15,691.1,22521.302,22750,
,223,94,        .   ,        .   ,        .   ,        .   ,93.45,693.8,22608.736,22750,
,224,372.8,        .   ,0,5,2,356.7,430.55,14083.937,14250,
,225,96.9,        .   ,        .   ,        .   ,        .   ,96.35,690.9,22514.825,22750,
,226,350.2,1,1,5,3,334.1,453.15,14815.79,15000,
,227,96.1,1,1,5,2,95.55,691.7,22540.732,22750,
,228,97.9,1,1,5,2,97.35,689.9,22482.442,22500,3
,229,375.7,2.3,1,5,2,359.6,427.65,13990.026,14000,
,230,360.9,1,1,6,3,344.8,442.45,14469.293,14500,
,231,96.3,        .   ,        .   ,        .   ,        .   ,95.75,691.5,22534.255,22750,
,232,371.3,1,1,5,3,355.2,432.05,14132.511,14250,
,233,98.4,2,1,5,2,97.85,689.4,22466.251,22500,
,234,367.9,3,3,        .   ,        .   ,351.8,435.45,14242.613,14250,
,235,90.4,        .   ,        .   ,        .   ,        .   ,89.85,697.4,22725.314,22750,
,236,101.4,1,1,5,2,100.85,686.4,22369.102,22500,2
,237,94.4,        .   ,1,4,1,93.85,693.4,22595.782,22750,
,238,361.1,2.2,2,5,3,345,442.25,14462.817,14500,
,239,361,1,1,5,2,344.9,442.35,14466.055,14500,
,240,98.4,1,1,5,1,97.85,689.4,22466.251,22500,
,241,358.4,        .   ,1,        .   ,        .   ,342.3,444.95,14550.25,14750,
,242,360.4,1,2,6,3,344.3,442.95,14485.485,14500,
,243,101.4,1,1,        .   ,        .   ,100.85,686.4,22369.102,22500,
,244,91.4,0,1,5,2,90.85,696.4,22692.931,22750,
,245,108.8,2.2,        .   ,        .   ,        .   ,108.25,679,22129.469,22250,
,246,100.4,1,1,5,2,99.85,687.4,22401.485,22500,
,247,100.6,1,        .   ,        .   ,        .   ,100.05,687.2,22395.008,22500,
,248,356.6,        .   ,        .   ,        .   ,        .   ,340.5,446.75,14608.54,14750,3
,249,369.2,1,2,5,3,353.1,434.15,14200.515,14250,
,250,109.8,1,1,5,2,109.25,678,22097.086,22250,
,251.1,100.1,1,        .   ,        .   ,        .   ,99.55,687.7,22411.2,22500,
,251.2,100.1,        .   ,        .   ,        .   ,        .   ,99.55,687.7,22411.2,22500,
,252,354.6,1.6,1,6,2,338.5,448.75,14673.306,14750,
,253,112.4,        .   ,1,5,1,111.85,675.4,22012.89,22250,
,254,93.4,1.2,1,6,2,92.85,694.4,22628.165,22750,
,255,377,2.2,2,5,2,360.9,426.35,13947.929,14000,
,256,94.6,1,1,6,2,94.05,693.2,22589.306,22750,
,257,95.1,        .   ,        .   ,        .   ,        .   ,94.55,692.7,22573.114,22750,
,258,99.1,1,1,5,2,98.55,688.7,22443.583,22500,
,259,101.4,        .   ,1,5,2,100.85,686.4,22369.102,22500,
,260,374.7,1,3,6,3,358.6,428.65,14022.409,14250,
,261,374.7,3,2,5,2,358.6,428.65,14022.409,14250,
,262,100,1,1,        .   ,        .   ,99.45,687.8,22414.438,22500,
,263,359.6,3,2,        .   ,        .   ,343.5,443.75,14511.391,14750,
,264,100.4,1,0,        .   ,        .   ,99.85,687.4,22401.485,22500,
,265,367.3,1,1,6,4,351.2,436.05,14262.043,14500,
,266,107.5,1,1,5,2,106.95,680.3,22171.566,22250,
,267.1,110.1,        .   ,        .   ,        .   ,        .   ,109.55,677.7,22087.371,22250,
,267.2,110.1,        .   ,1,5,3,109.55,677.7,22087.371,22250,
,268,108.4,        .   ,        .   ,        .   ,        .   ,107.85,679.4,22142.422,22250,
,269,368,1,3,5,3,351.9,435.35,14239.375,14250,
,270,370,1,        .   ,        .   ,        .   ,353.9,433.35,14174.609,14250,
,271,110.3,1,1,        .   ,        .   ,109.75,677.5,22080.894,22250,
,272,373,        .   ,1,5,2,356.9,430.35,14077.46,14250,
,273,99.7,1,1,6,2,99.15,688.1,22424.153,22500,
,274,110,1,1,5,3,109.45,677.8,22090.609,22250,
,275,93.1,        .   ,        .   ,        .   ,        .   ,92.55,694.7,22637.88,22750,
,276,110,1,1,5,2,109.45,677.8,22090.609,22250,
,277,91.6,        .   ,0,        .   ,        .   ,91.05,696.2,22686.455,22750,
,278,93.3,        .   ,        .   ,        .   ,        .   ,92.75,694.5,22631.404,22750,
,279,93.3,1,        .   ,5,2,92.75,694.5,22631.404,22750,1
,280,93.3,0,1,5,2,92.75,694.5,22631.404,22750,
,281.1,92.2,1,1,5,2,91.65,695.6,22667.025,22750,
,281.2,92.2,1,1,5,2,91.65,695.6,22667.025,22750,
,282,367.6,        .   ,        .   ,        .   ,        .   ,351.5,435.75,14252.328,14500,
,283,367.7,        .   ,        .   ,        .   ,        .   ,351.6,435.65,14249.089,14250,
,284,90.6,        .   ,        .   ,        .   ,        .   ,90.05,697.2,22718.837,22750,
,285,97.6,1,1,5,2,97.05,690.2,22492.157,22500,
,286,89.5,        .   ,        .   ,        .   ,        .   ,88.95,698.3,22754.459,23000,
,287,372.8,1,1,5,2,356.7,430.55,14083.937,14250,
,288,110,1,1,        .   ,        .   ,109.45,677.8,22090.609,22250,
,289,362.2,1,2,5,3,346.1,441.15,14427.195,14500,
,290,354.2,1,1,5,2,338.1,449.15,14686.259,14750,
,291,356.6,1,1,7,4,340.5,446.75,14608.54,14750,
,292,364.2,1,1,5,2,348.1,439.15,14362.43,14500,
,293,365.6,1,1,5,2,349.5,437.75,14317.094,14500,
,294,90.3,1,1,        .   ,        .   ,89.75,697.5,22728.552,22750,
,295,89.7,1,1,6,3,89.15,698.1,22747.982,22750,
,296,94.6,1,2,5,2,94.05,693.2,22589.306,22750,
,297.1,90.2,1,1,6,2,89.65,697.6,22731.791,22750,
,297.2,90.2,1,2,6,3,89.65,697.6,22731.791,22750,
,298,98.7,1,2,5,2,98.15,689.1,22456.536,22500,
,299,94.2,1,1,5,2,93.65,693.6,22602.259,22750,
,300.1,90.3,        .   ,1,5,2,89.75,697.5,22728.552,22750,
,300.2,90.3,1,1,6,2,89.75,697.5,22728.552,22750,
,301,90.3,2,1,5,2,89.75,697.5,22728.552,22750,
,302,93.6,0,1,5,2,93.05,694.2,22621.689,22750,
,303,361.4,2.2,1,7,3,345.3,441.95,14453.102,14500,
,304,357.1,2,3,5,2,341,446.25,14592.348,14750,
,305,95.9,1,1,5,2,95.35,691.9,22547.208,22750,
,306,92.9,        .   ,        .   ,        .   ,        .   ,92.35,694.9,22644.357,22750,
,307,367,1.2,1,5,2,350.9,436.35,14271.758,14500,3
,308,96.5,1,        .   ,        .   ,        .   ,95.95,691.3,22527.778,22750,
,309,363,2,2,6,2,346.9,440.35,14401.289,14500,
,310,361.6,1,1,5,2,345.5,441.75,14446.625,14500,
,311,363,2.2,2,6,2,346.9,440.35,14401.289,14500,
,312,364.7,1,1,6,2,348.6,438.65,14346.238,14500,
,313,352.4,1,1,5,2,336.3,450.95,14744.548,14750,
,314.1,352.6,1.4,1,5,2,336.5,450.75,14738.071,14750,
,314.2,352.6,1,2,6,2,336.5,450.75,14738.071,14750,
,315,350.5,1,2,5,2,334.4,452.85,14806.075,15000,
,316,377.2,        .   ,1,5,2,361.1,426.15,13941.452,14000,
,317,87.5,1,1,4,1,86.95,700.3,22819.224,23000,
,318,377.6,2.2,1,        .   ,        .   ,361.5,425.75,13928.499,14000,
,319,100.5,        .   ,        .   ,        .   ,        .   ,99.95,687.3,22398.247,22500,
,320,101,1,        .   ,        .   ,        .   ,100.45,686.8,22382.055,22500,
,321,108.6,1,1,6,4,108.05,679.2,22135.945,22250,
,322,378.9,1,        .   ,5,2,362.85,424.4,13884.782,14000,
,323,352.8,1,1,6,3,336.7,450.55,14731.595,14750,
,324,127.6,1,1,5,2,127.05,660.2,21520.67,21750,
,325,360.8,1,2,5,2,344.7,442.55,14472.532,14500,
,326,97.4,1,1,5,2,96.85,690.4,22498.634,22500,
,327,356.6,2,2,6,3,340.5,446.75,14608.54,14750,
,328,100.5,1,1,5,2,99.95,687.3,22398.247,22500,
,329,362.3,1,2,5,2,346.2,441.05,14423.957,14500,
,330,363.6,1,2,5,2,347.5,439.75,14381.859,14500,
,331,365.1,3,2,5,2,349,438.25,14333.285,14500,
,332,99,1,1,5,2,98.45,688.8,22446.821,22500,
,333,377.9,        .   ,        .   ,        .   ,        .   ,361.8,425.45,13918.784,14000,
,334,96.2,1.3,1,5,2,95.65,691.6,22537.493,22750,
,335,101.8,        .   ,        .   ,        .   ,        .   ,101.25,686,22356.149,22500,
,336,363.7,1,1,5,2,347.6,439.65,14378.621,14500,
,337,369,2,1,5,2,352.9,434.35,14206.992,14250,
,338,105.5,1,1,4,0,104.95,682.3,22236.332,22250,
,339,105.5,        .   ,1,        .   ,        .   ,104.95,682.3,22236.332,22250,
,340,103.8,1,1,5,2,103.25,684,22291.383,22500,
,341,104.5,        .   ,        .   ,        .   ,        .   ,103.95,683.3,22268.715,22500,1
,342,363.2,        .   ,2,        .   ,        .   ,347.1,440.15,14394.813,14500,3
,343,350,        .   ,2,5,2,333.9,453.35,14822.267,15000,
,344,365,2.2,2,5,2,348.9,438.35,14336.523,14500,
,345,100,1,1,5,2,99.45,687.8,22414.438,22500,
,346,391.8,3,        .   ,        .   ,        .   ,375.75,411.5,13467.042,13500,
,347,105.7,1,1,4,1,105.15,682.1,22229.856,22250,
,348,107.4,        .   ,        .   ,        .   ,        .   ,106.85,680.4,22174.805,22250,
,349,105.4,1,1,5,3,104.85,682.4,22239.571,22250,
,350,363.4,1,2,5,3,347.3,439.95,14388.336,14500,2
,351,365.5,1,1,5,2,349.4,437.85,14320.332,14500,
,352,365.5,2.2,3,        .   ,        .   ,349.4,437.85,14320.332,14500,
,353,363.9,        .   ,2,6,3,347.8,439.45,14372.145,14500,
,354,107.9,        .   ,        .   ,        .   ,        .   ,107.35,679.9,22158.613,22250,
,355,100.2,1,0,4,1,99.65,687.6,22407.962,22500,
,356,367.5,1,1,5,2,351.4,435.85,14255.566,14500,
,357.1,107.8,1,1,6,3,107.25,680,22161.852,22250,
,357.2,107.8,1,1,5,2,107.25,680,22161.852,22250,
,358,367,1.4,        .   ,        .   ,        .   ,350.9,436.35,14271.758,14500,2
,359,112.6,1,1,5,2,112.05,675.2,22006.414,22250,
,360,359.9,1,2,5,2,343.8,443.45,14501.676,14750,
,361,360.1,        .   ,2,6,3,344,443.25,14495.2,14500,
,362,380.9,1,1,        .   ,        .   ,364.85,422.4,13820.016,14000,
,363.1,93.3,1,1,5,2,92.75,694.5,22631.404,22750,
,363.2,93.3,1,2,6,3,92.75,694.5,22631.404,22750,
,364,93.8,1.9,1,5,2,93.25,694,22615.212,22750,
,365,385.6,1,0,6,2,369.55,417.7,13667.816,13750,
,366,363.4,1,1,5,3,347.3,439.95,14388.336,14500,
,367,363.7,1,0,5,2,347.6,439.65,14378.621,14500,
,368,357.8,1,1,6,2,341.7,445.55,14569.68,14750,
,369,356.9,1,1,5,2,340.8,446.45,14598.825,14750,
,370,367.5,1,1,5,2,351.4,435.85,14255.566,14500,2
,371.1,367.2,1,1,        .   ,        .   ,351.1,436.15,14265.281,14500,
,371.2,367.2,2.2,1,5,3,351.1,436.15,14265.281,14500,
,371.3,367.2,        .   ,2,6,2,351.1,436.15,14265.281,14500,
,371.4,367.2,1,1,5,2,351.1,436.15,14265.281,14500,
,371.5,367.2,1,1,6,5,351.1,436.15,14265.281,14500,
,372,362,        .   ,2,5,2,345.9,441.35,14433.672,14500,
,373,352.4,3,1,5,2,336.3,450.95,14744.548,14750,
,374,364.5,1,2,5,2,348.4,438.85,14352.715,14500,
,375,351.7,        .   ,        .   ,        .   ,        .   ,335.6,451.65,14767.216,15000,
,376,355.2,1,2,5,2,339.1,448.15,14653.876,14750,
,377,366,1,2,5,2,349.9,437.35,14304.14,14500,
,378,356,1,1,5,2,339.9,447.35,14627.969,14750,
,379.1,354.2,1,2,5,2,338.1,449.15,14686.259,14750,
,379.2,354.2,1,        .   ,        .   ,        .   ,338.1,449.15,14686.259,14750,
,380.1,367,1,1,5,2,350.9,436.35,14271.758,14500,
,380.2,367,        .   ,2,        .   ,        .   ,350.9,436.35,14271.758,14500,
,381,91.9,1,1,5,2,91.35,695.9,22676.74,22750,
,382,115.1,1,1,        .   ,        .   ,114.55,672.7,21925.456,22000,
,383,115.9,1,1,        .   ,        .   ,115.35,671.9,21899.55,22000,
,384,345.4,0,1,4,2,329.3,457.95,14971.228,15000,
,385,117.2,1.4,1,5,2,116.65,670.6,21857.452,22000,
,386,350.2,1,1,5,2,334.1,453.15,14815.79,15000,
,387,432.2,1,1,5,2,415.55,371.7,12178.203,12250,
,388,114.5,        .   ,        .   ,        .   ,        .   ,113.95,673.3,21944.886,22000,
,389,350.4,1,0,        .   ,        .   ,334.3,452.95,14809.314,15000,
,390,116,1,1,6,2,115.45,671.8,21896.312,22000,2
,391,116.5,1,1,5,1,115.95,671.3,21880.12,22000,
,392,94.6,1,1,6,2,94.05,693.2,22589.306,22750,
,393,350.8,0,1,5,2,334.7,452.55,14796.361,15000,
,394,282.2,1,2,        .   ,        .   ,272.75,514.5,16802.481,17000,
,395,108.1,1,1,5,2,107.55,679.7,22152.137,22250,
,396,114.1,        .   ,1,        .   ,        .   ,113.55,673.7,21957.839,22000,2
,397,432,2.6,3,5,3,415.35,371.9,12184.68,12250,
,398,379.3,        .   ,        .   ,        .   ,        .   ,363.25,424,13871.829,14000,
,399,354.1,1,1,5,2,338,449.25,14689.497,14750,
,400,98,0,2,5,3,97.45,689.8,22479.204,22500,
,401,97.4,1,1,5,2,96.85,690.4,22498.634,22500,
,402,116.9,1,1,6,1,116.35,670.9,21867.167,22000,
,403,382.1,1,        .   ,        .   ,        .   ,366.05,421.2,13781.157,14000,
,404,98.5,1,0,4,0,97.95,689.3,22463.013,22500,
,405,101.1,1,1,5,2,100.55,686.7,22378.817,22500,
,406,379.7,1,2,5,3,363.65,423.6,13858.876,14000,
,407,364.6,3,2,5,3,348.5,438.75,14349.476,14500,
,408,100.1,        .   ,1,5,0,99.55,687.7,22411.2,22500,
,409,118.1,0,0,4,1,117.55,669.7,21828.308,22000,
,410,117.9,1,1,5,2,117.35,669.9,21834.784,22000,
,411,366.8,        .   ,2,6,3,350.7,436.55,14278.234,14500,
,412,362.6,3,2,5,2,346.5,440.75,14414.242,14500,
,413.1,105.8,1,1,5,2,105.25,682,22226.617,22250,
,413.2,105.8,1,1,6,2,105.25,682,22226.617,22250,
,414,119.9,1,1,5,2,119.35,667.9,21770.018,22000,
,415,101.8,1,1,5,2,101.25,686,22356.149,22500,
,416,383.9,1,1,5,2,367.85,419.4,13722.867,13750,
,417,119.9,1,        .   ,        .   ,        .   ,119.35,667.9,21770.018,22000,
,418,352.4,1,        .   ,        .   ,        .   ,336.3,450.95,14744.548,14750,
,419,364.9,1,2,5,2,348.8,438.45,14339.762,14500,
,420,434,1.2,2,6,1,417.35,369.9,12119.914,12250,
,421.1,122.7,1,1,5,2,122.15,665.1,21679.346,21750,
,421.2,122.7,1,1,5,2,122.15,665.1,21679.346,21750,
,422,92.7,1,1,5,2,92.15,695.1,22650.833,22750,
,423,93.8,1,1,5,2,93.25,694,22615.212,22750,
,424,370.8,3,2,5,2,354.7,432.55,14148.703,14250,
,425,355.5,1,2,5,2,339.4,447.85,14644.161,14750,
,426,356.1,1,2,6,4,340,447.25,14624.731,14750,2
,427,363.5,1,1,        .   ,        .   ,347.4,439.85,14385.098,14500,
,428,355.5,1.2,2,5,3,339.4,447.85,14644.161,14750,
,429,436.1,1,0,5,2,419.45,367.8,12051.91,12250,
,430,391,1,1,5,2,374.95,412.3,13492.949,13500,
,431,92,1,        .   ,        .   ,        .   ,91.45,695.8,22673.501,22750,
,432,314.2,        .   ,        .   ,        .   ,        .   ,299.05,488.2,15950.811,16000,
,433,384.8,1,1,5,2,368.75,418.5,13693.723,13750,
,434,388,2.5,2,        .   ,        .   ,371.95,415.3,13590.097,13750,
,435,384.4,1,1,5,2,368.35,418.9,13706.676,13750,
,436,358.3,1,        .   ,        .   ,        .   ,342.2,445.05,14553.489,14750,
,437,384.6,1,2,5,2,368.55,418.7,13700.199,13750,
,438,387.2,        .   ,        .   ,        .   ,        .   ,371.15,416.1,13616.004,13750,
,439,385.9,1,1,        .   ,        .   ,369.85,417.4,13658.102,13750,
,440,385.9,        .   ,        .   ,        .   ,        .   ,369.85,417.4,13658.102,13750,
,441,386.9,        .   ,        .   ,        .   ,        .   ,370.85,416.4,13625.719,13750,
,442,96.1,1,1,5,2,95.55,691.7,22540.732,22750,
,443,436,2.2,2,5,2,419.35,367.9,12055.148,12250,
,444,389.6,3,3,5,3,373.55,413.7,13538.285,13750,
,445,93.5,1,1,6,3,92.95,694.3,22624.927,22750,
,446,348.2,        .   ,        .   ,        .   ,        .   ,332.1,455.15,14880.556,15000,
,447,364.7,1,2,5,3,348.6,438.65,14346.238,14500,
,448,390.5,2,        .   ,        .   ,        .   ,374.45,412.8,13509.14,13750,
,449,95.6,1,0,5,2,95.05,692.2,22556.923,22750,
,450,386.1,        .   ,        .   ,        .   ,        .   ,370.05,417.2,13651.625,13750,
,451,435.7,2,1,5,1,419.05,368.2,12064.863,12250,
,452,95.1,1,1,5,2,94.55,692.7,22573.114,22750,
,453,384.1,1,2,6,4,368.05,419.2,13716.391,13750,
,454,384.6,1,1,5,2,368.55,418.7,13700.199,13750,
,455,384.9,1,        .   ,        .   ,        .   ,368.85,418.4,13690.484,13750,
,456,385.3,        .   ,0,        .   ,        .   ,369.25,418,13677.531,13750,
,457,96.3,        .   ,        .   ,        .   ,        .   ,95.75,691.5,22534.255,22750,
,458,385.5,2,2,6,4,369.45,417.8,13671.055,13750,
,459,435.9,1,1,5,2,419.25,368,12058.386,12250, 
,460,97.9,        .   ,        .   ,        .   ,        .   ,97.35,689.9,22482.442,22500,2
,461,434.9,3,2,5,3,418.25,369,12090.769,12250,
,462,367.4,3,3,6,3,351.3,435.95,14258.804,14500,
,463,367.7,1.2,2,5,2,351.6,435.65,14249.089,14250,
,464,366.6,        .   ,        .   ,        .   ,        .   ,350.5,436.75,14284.711,14500,4
,465,367.3,1,        .   ,        .   ,        .   ,351.2,436.05,14262.043,14500,
,466,367.3,1,1,5,2,351.2,436.05,14262.043,14500,2
,467.1,493.2,2.2,2,6,2,475,312.25,10253.039,10500,
,467.2,493.2,        .   ,        .   ,        .   ,        .   ,475,312.25,10253.039,10500,
,468,354.9,        .   ,        .   ,        .   ,        .   ,338.8,448.45,14663.591,14750,
,469,431.9,3,        .   ,        .   ,        .   ,415.25,372,12187.918,12250,
,470,394.5,        .   ,        .   ,        .   ,        .   ,378.45,408.8,13379.609,13500,
,471.1,387.9,2.2,        .   ,        .   ,        .   ,371.85,415.4,13593.336,13750,
,471.2,386.1,1,1,6,3,370.05,417.2,13651.625,13750,
,472,369.3,1.8,2,5,2,353.2,434.05,14197.277,14250,
,473,370,1,3,5,2,353.9,433.35,14174.609,14250,
,474,495.5,2.2,1,5,2,477.3,309.95,10178.559,10250,
,475,387.6,        .   ,        .   ,        .   ,        .   ,371.55,415.7,13603.051,13750,
,476,369.1,1,1,5,3,353,434.25,14203.753,14250,
,477,438.4,        .   ,1,5,3,421.75,365.5,11977.429,12000,
,478,425.1,1,1,5,2,408.5,378.75,12406.502,12500,
,479,511.6,        .   ,        .   ,        .   ,        .   ,488.8,298.45,9806.155,10000,
,480,425,1,2,5,3,408.4,378.85,12409.741,12500,
,481,391.2,1,2,        .   ,        .   ,375.15,412.1,13486.472,13500,
,482,472.8,3,1,        .   ,        .   ,455.45,331.8,10886.125,11000,
,483,512.5,3,1,5,2,489.7,297.55,9777.011,10000,
,484,370.2,1,0,5,3,354.1,433.15,14168.132,14250,
