"fish_id","n","ID","part_type","bin","merged","X","SL","CAV","MDS1","DS1","MDS1NA","MDS2","DS2","MDS2NA","MDS3","DS3","MDS3NA","MDF","MAF","MCV","MAV","MPT","LPT","MPSP","PSP.L","PSP.R","MPSPNA","TPG","ECT","CLE","PMX","Scale_10mm","PGNA","CSTRAT","ISTRAT","YEAR","INT"
"V333526",3131,"V333526_L3368_1_P.jpg","merged","L3368",TRUE,3131,5306.582,579.0231,0,0,0,0,0,0,1,110.1454,0,9,8,17,14,5,133.2216,0,NA,NA,0,162.9969,582.2783,805.0963,NA,769.8961,NA,211.05,576.2,18800.506,19000
"V333528",3132,"V333528_L3370_1_P.jpg","merged","L3370",TRUE,3132,4564.0631,621.9399,0,0,0,0,0,0,1,149.9333,0,0,0,0,0,5,144.8862,0,NA,NA,0,NA,574.4423,602.4616,224.3212,776.0412,0,652.35,134.9,4509.932,4750
"V333529",3133,"V333529_L3371_1_P.jpg","merged","L3371",TRUE,3133,NA,726.9769,1,NA,0,0,0,0,1,135.1333,0,10,11,17,12,NA,NA,0,NA,NA,0,NA,NA,NA,NA,792.0057,0,128.15,659.1,21485.049,21500
"V333530",3134,"V333530_L3372_1_P.jpg","merged","L3372",TRUE,3134,NA,587.2419,0,0,0,0,0,0,1,142.9405,0,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,798.8992,0,243.2,544.05,17759.396,18000
"V333531",3135,"V333531_L3373_1_P.jpg","merged","L3373",TRUE,3135,NA,NA,0,0,0,1,256.1269,0,1,115.8016,0,0,0,17,12,4,96.421,0,NA,NA,0,NA,403.4861,502.641,NA,774.2848,0,689.25,98,3315.003,3500
"V333536",3136,"V333536_L3378_1_P.jpg","merged","L3378",TRUE,3136,NA,719.5141,0,0,0,0,0,0,1,85.6037,0,0,0,0,13,6,140.2284,0,NA,NA,0,252.9822,NA,849.7058,NA,752.8612,NA,695.15,92.1,3123.944,3250
"V333537",3137,"V333537_L3379_1_P.jpg","merged","L3379",TRUE,3137,NA,535.9847,0,0,0,0,0,0,1,105.2236,0,0,0,17,0,3,130.7823,0,NA,NA,0,128.9961,NA,642.5076,NA,748.2673,NA,137.25,650,21190.365,21250
"V333538",3138,"V333538_L3380_3_P.jpg","merged","L3380",TRUE,3138,2333.5852,268.5358,0,0,0,1,198.9271,0,1,98.813,0,9,9,18,13,6,56.8859,0,NA,NA,0,124.5793,207.8942,NA,NA,764.212,NA,243.5,543.75,17749.681,17750
"V333542",3139,"V333542_L3384_1_P.jpg","merged","L3384",TRUE,3139,NA,364.6525,0,0,0,0,0,0,1,81,0,8,5,17,14,5,76.4853,0,NA,NA,0,NA,395.2379,362.4914,NA,684.0592,0,692.55,94.7,3208.139,3250
"V333543",3140,"V333543_L3385_1_P.jpg","merged","L3385",TRUE,3140,NA,273.3117,0,0,0,1,234.094,0,1,118.1524,0,9,0,0,13,4,57.2014,0,NA,NA,0,112.0714,296.8097,NA,78.8923,762.0105,NA,247.1,540.15,17633.103,17750
"V333544",3141,"V333544_L3386_1_P.jpg","merged","L3386",TRUE,3141,2700.6033,321.3689,0,0,0,0,0,0,1,87,0,0,0,0,13,4,60.7454,0,NA,NA,0,NA,264.2726,306.0147,98.6813,690.5085,0,208.05,579.2,18897.655,19000
"V333545",3142,"V333545_L3387_1_P.jpg","merged","L3387",TRUE,3142.5,NA,NA,0,0,0,0,0,0,1,37.6002,0,0,0,0,0,0,NA,0,NA,NA,0,NA,339.4584,258.3502,NA,692.0462,0,692.55,94.7,3208.139,3250
"V333546",3144,"V333546_L3388_1_P.jpg","merged","L3388",TRUE,3144,331.1601,NA,0,NA,1,0,NA,1,1,82.0244,0,10,9,18,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,669.7223,0,247.2,540.05,17629.864,17750
"V333547",3145,"V333547_L3389_1_P.jpg","merged","L3389",TRUE,3145,3935.937,NA,0,0,0,0,0,0,1,108.074,0,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,652.4416,0,765.4,21.85,849.045,1000
"V333548",3146,"V333548_L3390_1_P.jpg","merged","L3390",TRUE,3146,NA,609.9627,0,0,0,0,0,0,1,79.3977,0,9,0,17,0,5,121.6553,0,NA,NA,0,141.7604,554.0541,514.1984,NA,684.1871,NA,129.85,657.4,21429.998,21500
