"","fish_id","n","ID","part_type","bin","merged","SL","CAV","MDS1","DS1","MDS1NA","MDS2","DS2","MDS2NA","MDS3","DS3","MDS3NA","MDF","MAF","MCV","MAV","MPT","LPT","MPSP","PSP.L","PSP.R","MPSPNA","TPG","ECT","CLE","PMX","Scale_10mm"
"1370","V332307",2232,"V332307_L2045_1_P.jpg","merged","L2045",TRUE,3149.7847,479.0691,1,280.2231,0,1,396.5564,0,1,173.9483,0,0,0,0,11,5,210.1071,2,NA,NA,0,728.506,549.9909,429.5346,128.8604,663.0271
"1371","V332308",2233,"V332308_L2046_1_P.jpg","merged","L2046",TRUE,NA,580.3818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,660.9811
"1372","V332310",2234,"V332310_L2048_1_P.jpg","merged","L2048",TRUE,NA,NA,0,0,0,1,264.1212,0,1,NA,0,0,0,0,0,NA,127.122,2,NA,388.3298,0,724.9828,597.0863,593.9562,264.8773,655.1336
"1373","V332312",2235,"V332312_L2050_2_P.jpg","merged","L2050",TRUE,NA,NA,0,0,0,0,0,0,1,100.2397,0,0,0,0,0,NA,NA,2,NA,NA,0,579.1166,NA,NA,182.1648,656.4145
"1374","V332313",2236,"V332313_L2051_1_P.jpg","merged","L2051",TRUE,4860,566.1854,0,0,0,0,0,0,1,30.0832333333333,0,9,8,18,12,4,148.0979,0,NA,NA,0,640.2382,659.8977,508.4978,122.5602,657.0274
"1375","V332314",2239,"V332314_L2052_1_P.jpg","merged","L2052",TRUE,NA,593.6857,0,0,0,1,213.9276,0,1,126.6057,0,0,8,18,0,4,120,2,295.222,NA,0,649.9,425.207,502.7574,NA,658.2591
"1376","V332360",2240,"V332360_L2100_1_P.jpg","merged","L2100",TRUE,3463.6842,NA,0,NA,1,0,NA,1,0,NA,1,0,0,17,0,0,NA,2,255.2646,NA,0,502.005,574.3257,NA,NA,658.9423
"1377","V332361",2241,"V332361_L2102_1_P.jpg","merged","L2102",TRUE,NA,734.3838,1,327.5363,0,1,413.2408,0,1,152.8398,0,8,10,18,0,NA,196.1224,2,594.1178,512.1406,0,NA,NA,NA,NA,672.2976
"1378","V332362",2242,"V332362_L2103_1_P.jpg","merged","L2103",TRUE,NA,482.8707,1,242.9815,0,1,NA,0,1,174.7741,0,10,7,17,11,5,154.9871,2,333.9716,277.3175,0,783.2299,NA,NA,NA,663
"1379","V332364",2243,"V332364_L2105_1_P.jpg","merged","L2105",TRUE,NA,582.9549,1,172.0465,0,1,356.2022,0,1,168.2379,0,7,7,0,10,NA,228.0351,2,378.8192,425.1306,0,649.7753,616.013,484.1487,144.9966,722.4071
"1380","V332365",2244,"V332365_L2106_1_P.jpg","merged","L2106",TRUE,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2,322.343,309.9742,0,582.1237,445.4268,NA,NA,663.4342
"1381","V332366",2246,"V332366_L2107_1_P.jpg","merged","L2107",TRUE,NA,429.1219,0,0,0,1,98.4073,0,1,64.8999,0,7,7,0,12,5,122.3765,0,NA,NA,0,585.7687,NA,NA,150.4792,660.9334
"1382","V332368",2248,"V332368_L2109_1_P.jpg","merged","L2109",TRUE,2706.1663,335.7728,0,0,0,0,0,0,1,65.6049,0,8,0,15,14,5,74.4312,2,289.6757,242.0331,0,411.0523,446.3631,425.0271,130.384,680.2941
"1383","V332370",2249,"V332370_L2111_1_P.jpg","merged","L2111",TRUE,3601.6096,420.5356,0,0,0,0,0,0,1,98.6813,0,0,0,15,0,6,90.05,0,NA,NA,0,114.6298,476.783,377.0106,NA,735.7404
"1384","V332372",2250,"V332372_L2113_1_P.jpg","merged","L2113",TRUE,2536.1075,312.9961,0,0,0,1,209.5066,0,1,86.5852,0,9,7,16,13,5,94.7259,2,204.0221,NA,0,414.3911,370.9461,353.0581,NA,735.0245
"1385","V332373",2251,"V332373_L2114_1_P.jpg","merged","L2114",TRUE,3329.2729,432.4963,0,0,0,0,0,0,1,78,0,7,0,16,0,5,123,2,228.9651,NA,0,672.5489,439.7329,451.2483,97.6729,670.9076
