fish_id,measure,part_value,part_scale,has_multiple_values.x,cpart_value,cpart_scale,has_multiple_values.y,var_type,scale,absolute_diff,relative_diff,exceeds_threshold,multiple_measurements
V330405,MDF,0,700.7326,FALSE,1.3333333333333333,695.9454,TRUE,count,698.3389999999999,1.3333333333333333,2.6505099531452786e-4,TRUE,TRUE
V330405,MPT,0,700.7326,FALSE,1.25,695.9454,TRUE,count,698.3389999999999,1.25,2.484853081073699e-4,TRUE,TRUE
V330407,DS2,0,686.743,FALSE,135.3514,686.1953,TRUE,continuous,686.46915,135.3514,0.19717040452582613,TRUE,TRUE
V330407,MPSP,0,686.743,FALSE,1,686.1953,TRUE,count,686.46915,1,1.987882464858959e-4,TRUE,TRUE
V330411,DS2,0,695.8448,FALSE,400.4997,NA,FALSE,continuous,695.8448,400.4997,0.5755589464777203,TRUE,FALSE
V330411,DS3,0,695.8448,FALSE,172.0465,NA,FALSE,continuous,695.8448,172.0465,0.24724838067339155,TRUE,FALSE
V330411,MPSP,0,695.8448,FALSE,2,NA,FALSE,count,695.8448,2,3.975764929717918e-4,TRUE,FALSE
V330424,DS2,0,709.129,FALSE,93.79883333333333,702.1602,TRUE,continuous,705.6446000000001,93.79883333333333,0.1329264524001648,TRUE,TRUE
V330424,DS1,0,709.129,FALSE,88.7894,702.1602,TRUE,continuous,705.6446000000001,88.7894,0.12582736408668044,TRUE,TRUE
V330424,DS3,0,709.129,FALSE,62.228966666666665,702.1602,TRUE,continuous,705.6446000000001,62.228966666666665,0.0881874057658298,TRUE,TRUE
V330424,MCV,0,709.129,FALSE,6,702.1602,TRUE,count,705.6446000000001,6,0.0011927294789153755,TRUE,TRUE
V330424,MAV,0,709.129,FALSE,3.333333333333333,702.1602,TRUE,count,705.6446000000001,3.333333333333333,6.626274882863196e-4,TRUE,TRUE
V330424,MDF,0,709.129,FALSE,2.666666666666667,702.1602,TRUE,count,705.6446000000001,2.666666666666667,5.301019906290558e-4,TRUE,TRUE
V330424,MPT,0,709.129,FALSE,2.5,702.1602,TRUE,count,705.6446000000001,2.5,4.969706162147398e-4,TRUE,TRUE
V330424,MAF,0,709.129,FALSE,2,702.1602,TRUE,count,705.6446000000001,2,3.975764929717918e-4,TRUE,TRUE
V330424,MPSP,0,709.129,FALSE,0.6666666666666667,702.1602,TRUE,count,705.6446000000001,0.6666666666666667,1.3252549765726396e-4,TRUE,TRUE
V330450,DS2,299.8666,685.6238,FALSE,0,690.2753,FALSE,continuous,687.94955,299.8666,0.4358845790363552,TRUE,FALSE
V330450,DS3,164.4384,685.6238,FALSE,0,690.2753,FALSE,continuous,687.94955,164.4384,0.23902682980169113,TRUE,FALSE
V330450,MAV,11,685.6238,FALSE,0,690.2753,FALSE,count,687.94955,11,0.002186670711344855,TRUE,FALSE
V330450,MPT,5,685.6238,FALSE,0,690.2753,FALSE,count,687.94955,5,9.939412324294797e-4,TRUE,FALSE
V330455,DS3,86.3771,692.4868,FALSE,0,702.6023,TRUE,continuous,697.5445500000001,86.3771,0.1238302270442798,TRUE,TRUE
V330455,CLE,286.2447,692.4868,FALSE,364.5339,702.6023,FALSE,continuous,697.5445500000001,78.2892,0.11223541206077803,TRUE,FALSE
V330455,MCV,15,692.4868,FALSE,0,702.6023,TRUE,count,697.5445500000001,15,0.0029818236972884386,TRUE,TRUE
V330455,MAV,14,692.4868,FALSE,0,702.6023,TRUE,count,697.5445500000001,14,0.002783035450802543,TRUE,TRUE
V330458,MCV,5.666666666666666,707.8538,TRUE,0,713.2181,FALSE,count,710.53595,5.666666666666666,0.0011264667300867435,TRUE,TRUE
