n,ID,SL,CAV,MDS1,DS1,MDS1NA,MDS2,DS2,MDS2NA,MDS3,DS3,MDS3NA,MDF,MAF,MCV,MAV,MPT,LPT,MPSP,PSP-L,PSP-R,MPSPNA,TPG,ECT,CLE,PMX,Scale_10mm
609,V330861_L529_2_P.jpg,,544.0245,0,,0,1,255,0,1,118.2244,0,0,0,0,0,4,135.8308,2,408.3748,,0,654.8664,594.2727,519.9788,182.7786,699.354
610,V330862_L530_2_P.jpg,,455.5958,1,,0,1,317.7877,0,1,168.2409,0,9,9,0,0,5,174.9286,2,340.8005,,0,,,,,714.6363
611,V330863_L531_1_C.jpg,,,0,,1,0,,1,0,,1,0,0,0,0,0,,0,,,0,,,,,
612,V330863_L531_1_P.jpg,,644.7387,0,,0,0,,0,0,,0,0,0,0,0,0,,0,,,0,768.7613,548.549,474.6641,,708.4067
613,V330866_L534_1_C.jpg,,573.651,0,,0,0,,0,0,,0,0,0,0,0,0,,0,,,0,,,,,699
614,V330866_L534_1_P.jpg,,578.2484,0,,0,0,,0,1,129.5531,0,0,0,0,0,0,,0,,,0,,,,,
615,V330866_L534_1_P.jpg,,,0,,0,0,,0,0,,0,8,7,16,10,4,137.4627,0,,,0,290.7645,555.4098,400.6794,,692.4161
616,V330867_L535_1_P.jpg,,374.5315,0,,0,0,,0,1,99.7246,0,8,8,17,11,5,125.3555,0,,,0,81.2219,,,,715.9448
617,V330868_L536_1_P.jpg,3231.6364,398.0843,0,,1,0,,1,0,,1,0,0,0,0,0,,0,,,0,,311.2636,344.5693,93.9149,705.0255
618,V330869_L537_1_P.jpg,3906.2391,518.2765,0,,0,0,,0,1,,0,0,0,0,0,0,,2,284.4503,,0,452.2831,472.4235,346.2254,80.0999,701.5412
619,V330870_L538_1_C.jpg,2790.1613,323.9322,0,,0,1,168.9083,0,0,,0,0,0,0,0,0,,0,,,0,,,,,
620,V330870_L538_1_C.jpg,,,0,,0,0,,0,1,80.4984,0,10,7,15,12,5,82.3772,0,,,0,84,380.6219,346.3019,95.2943,708.2161
621,V330870_L538_1_P.jpg,,,0,,0,0,,0,0,,0,0,0,0,0,0,,0,,,0,,,369.1951,114.0395,703.4408
622,V330871_L539_1_P.jpg,,483.9923,0,,0,0,,0,1,89.8999,0,0,0,0,0,5,143.1223,2,282.3349,241.2343,0,627.1722,392.7595,,,696.3232
623,V330872_L540_1_C.jpg,,,0,,0,0,,0,0,,0,0,0,0,0,0,,0,,,0,,,410.3121,,730.701
624,V330872_L540_1_P.jpg,,,0,,0,0,,1,0,,1,0,0,0,0,0,,0,,,0,179.9778,390.1282,,,
625,V330872_L540_1_P.jpg,,,0,,0,0,,0,0,,0,0,0,0,0,0,,0,,,0,,,379.6841,73.2393,736.2853
626,V330873_L541_1_P.jpg,,396.0942,0,,0,0,,1,0,,1,0,0,0,0,0,,0,,,0,135.8308,,300.9585,,705.4849
627,V330875_L543_1_C.jpg,,,0,,0,0,,0,1,99.2975,0,0,0,0,0,0,83.1865,0,,,0,,419.5474,,,
628,V330875_L543_1_C.jpg,,,0,,0,0,,0,0,,0,0,0,0,0,0,,0,,,0,,,,,714.1008
629,V330876_L544_1_C.jpg,3387.6977,391.2905,0,,0,0,,0,1,101.1929,0,0,0,16,11,6,84.0952,0,,,0,164.9242,472.3558,382.8316,121.4578,708.2824
630,V330876_L544_1_P.jpg,3385.9309,363.8669,0,,0,0,,0,1,107.7033,0,7,6,18,10,6,78.5875,0,,,0,167.0449,396.1818,354.1073,138.1014,716.9045
631,V330878_L546_1_C.jpg,,552.0567,0,,0,0,,0,0,,0,0,0,0,0,0,,0,,,0,,,,,
632,V330878_L546_1_C.jpg,,,0,,0,0,,0,1,114.5426,0,10,8,17,0,4,128.9961,0,,,0,213.8036,331.8795,363.8901,,717.016
633,V330879_L547_1_P.jpg,3465.5447,420.0353,0,,0,1,244,0,1,110.0545,0,9,9,17,13,5,136.9379,2,102.874,114.2781,1,493.6376,286.6047,115.7774,695.0044,
634,V330880_L548_1_P.jpg,4381.1158,,0,,0,0,,0,1,136.2351,0,0,0,0,0,5,0,1,,,0,206.9589,612.4573,461.0423,189.6523,688
635,V330882_L550_1_P.jpg,2403.9904,300.9884,0,,1,1,315.1285,0,1,126.0357,0,0,0,15,0,5,135.1333,2,354.8126,339.9544,0,389.6306,420.8777,240.1687,99.3177,705.3127
636,V330883_L551_1_P.jpg,,553.7276,1,140.5133,0,1,256.3123,0,1,113.842,0,8,6,17,12,0,,2,336.0476,,0,813.2109,569.6595,495.4352,198.7159,728.011
637,V330884_L552_2_P.jpg,4954.2164,612.8812,0,,0,0,,0,1,148.1891,0,8,5,17,0,4,180.8978,2,314.0701,,0,422.4358,384.4216,488.3646,191.3426,693.1493
638,V330885_L553_2_C.jpg,,,0,,0,0,,0,0,,0,0,0,0,0,0,,0,,,0,,392.7251,,,700.7232
639,V330885_L553_2_P.jpg,4093.2647,567.3358,0,,0,1,304.6309,0,1,177.6739,0,0,0,16,0,0,,2,356.7408,412.6403,0,694.0432,,,,691.2713
640,V330886_L554_1_C.jpg,3205.4,350.28,0,,0,0,,0,1,112.7697,0,0,0,0,0,0,,0,,,0,177.2287,376.3416,280.0304,90.05,723.703
641,V330887_L555_1_P.jpg,3200.9663,367.8436,0,,0,0,,0,1,84,0,0,0,0,0,5,132.1363,0,,,0,146.5094,370.0716,,156.5184,723.056
642,V330888_L556_1_C.jpg,,391.5331,0,,0,0,,0,1,76.4853,0,0,0,0,0,4,90.2497,0,,,0,,475.6017,379.8763,90.2497,700.3571
643,V330888_L556_1_C.jpg,,,0,,0,0,,0,0,,0,0,0,0,0,0,,0,,,0,,,,,703.6775
644,V330888_L556_1_P.jpg,,,0,,0,0,,0,0,,1,0,0,0,0,0,,0,,,0,,421.7321,423.967,72,714.2269
645,V330889_L557_1_C.jpg,,,0,,0,0,,0,0,,0,0,0,0,0,0,,0,,,0,89.1964,,,91.2414,732.4056
646,V330889_L557_1_P.jpg,,393.2481,0,,0,0,,0,1,102.528,0,0,0,0,0,0,,0,,,0,,253.5843,284.684,,711.5125
647,V330890_L558_1_P.jpg,3084.1182,369.7048,0,,0,0,,0,1,95.7183,0,9,7,19,0,4,84,2,262.7185,294.978,0,,,,,
648,V330890_L558_1_P.jpg,,,0,,0,0,,0,0,,0,0,0,0,0,0,,0,,,0,489.0092,336.1741,292.2191,123.1463,718.6049
649,V330891_L559_2_P.jpg,2755.7535,317.4944,0,,0,0,,0,1,93.4345,0,10,9,0,0,7,123.9113,0,,,0,144.7791,357.2016,,,715.599
650,V330892_L560_1_C.jpg,3162.4113,437.2736,0,,0,0,,0,0,,0,10,9,17,0,5,73.5459,0,,,0,109.2016,415.3565,354.5716,76.4853,708.2351
651,V330893_L561_1_P.jpg,,628.8637,0,,0,0,,0,0,,1,0,0,0,0,0,,0,,,0,173.6663,696.563,532.2405,222.423,710.5378
652,V330894_L562_1_C.jpg,,378.5182,0,,0,0,,0,1,110.1454,0,0,9,16,12,5,135.8308,2,229.6519,206.4558,1,399.5522,327.6049,,,702.9225
653,V330895_L563_1_P.jpg,,388.9158,0,,0,1,253.5133,0,1,120.9339,0,8,0,16,0,6,133.2216,0,,,0,178.2162,386.9884,395.1013,,726.2975
654,V330896_L564_1_C.jpg,4525.7066,517.9996,0,,0,1,248.129,0,1,142.9405,0,8,0,17,11,6,157.1751,0,,,0,,534.0861,479.4163,157.8354,680.9523
655,V330896_L565_1_P.jpg,,333.0758,0,,0,0,,0,0,,0,0,0,0,0,5,103.4456,0,,,0,140.0071,,342.1184,94.8683,690.2934
656,V330897_L566_1_P.jpg,3057.4416,351.0635,0,,0,1,219.1643,0,1,119.4362,0,0,0,17,11,5,150.3596,0,,,0,163.7681,388.4044,381.0118,99.363,721.8227
657,V330898_L567_1_C.jpg,,505.3086,0,,0,0,,0,0,,0,9,8,17,0,0,166.331,2,362.7148,417.5284,0,630.2928,,,,678.0597
658,V330900_L569_1_P.jpg,,450.4721,1,136.2351,0,1,226.4155,0,1,149.7732,0,9,6,17,13,4,138.8524,2,,,0,504.9832,485.2546,,,700.0457
659,V330901_L570_1_C.jpg,,484.0444,0,,0,0,,0,0,,0,0,0,0,0,5,148,0,,,0,124.2578,,,218.2476,678.2684
660,V330902_L571_1_P.jpg,,,0,,0,0,,1,0,,1,0,0,0,0,0,,0,,,0,177.4063,,,189.8552,682.2214
661,V330904_L573_1_C.jpg,,,0,,0,0,,0,0,,0,0,0,0,0,0,,0,,,0,350.4868,,,,674.9133
662,V330904_L573_1_P.jpg,3742.7092,417.6419,0,,0,1,202.7807,0,1,141.7604,0,6,8,16,12,5,116,0,,,0,241.197,474.4007,316.8091,131.9394,675.0407
663,V330905_L574_1_P.jpg,4608.0069,565.6583,0,,0,1,244,0,1,142.0422,0,9,7,0,9,5,168.1904,0,,,0,196.1632,614.9341,476.8731,203.2142,688.186
664,V330906_L575_1_P.jpg,4801.9833,536.3261,0,,0,0,,0,1,106.7333,0,8,7,0,0,0,,0,,,0,,,,,
665,V330906_L575_1_P.jpg,,,0,,0,0,,0,0,,0,0,0,17,13,4,97.3242,0,,,0,184.6943,611.5292,564.2269,152.3155,668.778
666,V330907_L576_1_P.jpg,4079.2548,490.0216,1,197.9899,0,1,317.5154,0,1,200.04,0,0,0,16,8,5,154.5574,2,418.2439,,0,627.2735,413.4731,377.0199,134.4619,712.0674
667,V330908_L577_1_C.jpg,,,0,,0,1,315.3569,0,1,125.1759,0,0,0,0,0,4,121.5648,0,,,0,132.8495,372.9303,321.9938,,689.0668
668,V330908_L577_1_P.jpg,,342.2289,0,,0,1,262.9677,0,1,121.6224,0,9,8,16,13,4,172.6268,0,,,0,216.9239,421.0701,345.3983,,669.4356
669,V330909_L578_1_C.jpg,,200.9963,0,,0,0,,0,0,,0,0,0,0,0,4,45.607,0,,,0,,191.4158,157.6325,,672.5385
670,V330909_L578_1_P.jpg,,,0,,0,0,,0,1,71.1552,0,0,0,0,0,0,,0,,,0,68.326,,,,676.2958
671,V330910_L579_1_C.jpg,,,0,,1,0,,1,0,,1,0,0,0,0,0,,0,,,0,,,274.8818,121.4578,675.8254
672,V330910_L579_1_P.jpg,,384.1864,0,,0,0,,0,1,81.0555,0,0,0,15,9,5,99.7246,0,,,0,122.3765,339.4775,361.7084,,694.0641
673,V330911_L580_1_C.jpg,,487.6685,0,,0,1,223.6359,0,1,,0,0,0,0,0,4,113.565,0,,,0,189.3806,489.2484,475.4787,212.4924,684.9467
674,V330911_L580_1_P.jpg,,,0,,0,0,,0,0,,0,9,6,0,0,0,,0,,,0,,,,,683.5591
675,V330912_L581_1_P.jpg,,375.0017,0,,0,0,,0,1,93.0484,0,6,6,0,0,4,,0,,,0,135.0333,355.7879,315.3569,,690.0587
676,V330913_L582_1_P.jpg,,457.0785,0,,0,0,,0,1,90.2497,0,8,6,0,0,5,81.2219,2,277.6256,,0,543.6709,396,427.3079,161.5549,673.8857
677,V330914_L583_1_P.jpg,3544.4086,,0,,0,0,,0,1,,0,0,0,0,0,4,,0,,,0,,528.7419,388.8033,,663.4938
678,V330915_L584_1_P.jpg,,,0,,0,0,,0,0,,0,0,0,0,0,0,,0,,,0,350.5382,564.5264,438.0925,86.5852,688.1061
679,V330916_L585_1_P.jpg,4495.4181,,0,,0,0,,0,1,,0,0,0,0,0,0,,2,,,0,,,,,726.1763
680,V330916_L585_1_P.jpg,,,0,,0,0,,1,0,,0,0,0,0,0,0,,0,,,0,,,,,
681,V330917_L586_1_C.jpg,,504.5255,0,,0,0,,0,0,,0,0,0,0,0,0,,0,,,0,123.2234,259.5381,342.4617,,696.046
682,V330917_L586_1_P.jpg,,,0,,0,0,,0,1,104.9571,0,0,0,0,0,5,63.6396,0,,,0,,,,138.2932,695.6896
683,V330918_L587_1_P.jpg,,509.3842,0,,0,0,,0,1,116.619,0,0,0,0,13,6,216.5179,2,342.8352,,0,628,394.9278,433.202,,664.012
684,V330919_L588_1_P.jpg,4268.2549,551.5919,0,,0,1,246.7387,0,1,128.5613,0,9,7,16,11,7,111.5706,0,,,0,,363.296,415.7692,116.2755,679.4115
685,V330920_L589_1_P.jpg,3101.81,485.6791,0,,0,0,,0,1,130.9733,0,0,0,14,11,4,189.3806,2,314.3565,295.9679,0,,,,,
686,V330920_L589_1_P.jpg,,,0,,0,0,,0,0,,0,0,0,0,0,0,,0,,,0,541.0407,277.4311,345.013,123.3288,679.697
687,V330921_L590_1_C.jpg,,,0,,0,0,,0,0,,0,0,0,0,0,0,,0,,307.2621,0,,,,,665.9865
688,V330921_L590_1_P.jpg,3748.3074,426.4657,1,265.9323,0,1,336.3807,0,1,158.2403,0,0,0,17,11,4,180.1777,2,343.1851,,0,411.1447,410.8138,357.2338,83.5225,654.0703
689,V330922_L591_1_P.jpg,,685.4677,0,,0,0,,0,0,,1,0,0,0,0,0,,0,,,0,204.7828,624.0641,,,699.7142
690,V330923_L592_1_C.jpg,,460.5019,0,,0,0,,0,1,117.0982,0,9,8,16,12,4,100.3195,0,,,0,203.9608,505.2841,425.3187,,676.757
691,V330924_L593_2_C.jpg,,509.1892,0,,0,0,,0,0,,0,0,0,0,0,0,,0,,,0,208.2787,556.8779,373.3765,,676.1923
692,V330924_L593_2_P.jpg,,,0,,0,0,,0,0,,0,0,0,0,0,5,140.3567,0,,,0,,,,146.8605,678.1622
693,V330925_L594_1_C.jpg,3033.5736,406.0544,0,,0,0,,0,1,89.4986,0,0,0,17,14,4,147.0306,0,,,0,114.9826,315.0571,288.7802,124.7798,691.5634
694,V330926_L595_1_P.jpg,,356.543,1,138.0326,0,1,,0,1,104.7855,0,7,8,16,12,6,152.4106,2,302.1672,,0,503.16,417.9055,336.4818,,669.1681
695,V330927_L596_1_P.jpg,,,0,,0,0,,0,0,,1,0,0,0,0,0,,0,,,0,112.0089,420.867,,76.4853,689.5172
696,V330928_L597_1_C.jpg,,628.8875,0,,0,1,336.2142,0,1,99.0353,0,0,0,0,0,7,121.6553,2,472.4235,,0,751.0313,699.497,462.2034,194.1958,676.6742
697,V330929_L598_1_P.jpg,3484.0451,505.2533,1,150.2698,0,1,284.684,0,1,122.5602,0,10,8,17,0,6,92.4175,2,,,0,674.5799,544.0018,343.2084,149.94,691.4919
698,V330930_L599_1_P.jpg,3456.0469,412.6266,0,,0,0,,0,1,130.2498,0,0,0,0,0,4,93.1933,0,,,0,116.8461,477.0094,452.6422,104.4844,726.3966
699,V330931_L600_2_P.jpg,4743.887,605.1901,0,,0,1,277.2724,0,1,171.8139,0,8,0,0,0,0,,0,,,0,,,,,
700,V330931_L600_2_P.jpg,,,0,,0,0,,0,0,,0,0,0,0,0,6,148.4857,0,,,0,145.9863,364.9658,342.415,,732.0109
701,V330932_L601_1_C.jpg,,295.9372,0,,0,1,252.6025,0,1,103.3228,0,0,0,0,0,5,88.3629,0,,,0,133.6598,294.8836,298.7769,58.4845,694.0536
702,V330933_L602_1_P.jpg,3262.37,363.952,0,,0,1,268.1268,0,1,127.6323,0,0,0,0,0,4,158.3193,2,,,0,605.4428,,359.4621,111.3643,681.6011
703,V330934_L603_1_C.jpg,,,0,,0,0,,0,1,93.3716,0,0,0,0,0,0,,0,,,0,,,,,691.2891
704,V330934_L603_1_P.jpg,,,0,,0,0,,0,1,80.4487,0,0,0,0,0,6,84.214,2,227.2708,214.4575,0,398.221,216.2314,297.1128,86.093,700.2314
705,V330935_L604_1_P.jpg,,444.6975,0,,0,1,228.4929,0,1,73.0548,0,0,0,0,0,5,142.6184,0,,,0,139.9428,398.5599,323.5135,114.3547,667.9498
706,V330936_L605_1_P.jpg,,462.9361,0,,0,0,,0,1,121.3796,0,0,0,0,0,0,,0,,,0,149.459,313.9554,394.8164,,706.2691
707,V330937_L606_1_C.jpg,,,0,,0,0,,0,0,,0,0,0,0,0,0,,2,345.323,,0,506.4227,,,,680.7525
708,V330937_L606_1_P.jpg,,3155.7063,0,,0,0,,0,0,,0,7,5,0,0,5,157.6642,0,,,0,,377.4043,333.054,95.3415,715.1398
709,V330938_L607_1_P.jpg,,607.1664,0,,0,0,,0,0,,0,0,0,0,0,0,,0,,,0,,,,,711.057
710,V330939_L608_1_C.jpg,,375.9919,1,107.6476,0,0,,1,1,97.2008,0,0,0,0,0,0,,0,,,0,142.6184,353.8361,,,
711,V330939_L608_1_C.jpg,,,0,,0,0,,0,0,,0,0,0,0,0,0,,0,,,0,,,,102.45,728.4641
712,V330939_L608_1_P.jpg,,397.1175,0,,0,1,,0,1,110.4536,0,0,0,0,0,0,,0,,,0,134.5362,401.1384,266.6608,,721.077
713,V330940_L609_1_P.jpg,,436.1344,0,,0,0,,1,1,108.9036,0,0,0,16,0,5,121.4907,2,222.8004,,0,519.8846,,,,712.2808
714,V330941_L610_1_C.jpg,,,0,,0,1,240.1874,0,1,144.7791,0,0,0,0,0,0,,0,,,0,,,,,701.7948
715,V330941_L610_1_P.jpg,4370.8214,523.7417,0,,0,1,282.3048,0,1,161.2452,0,0,0,16,0,4,207.1521,0,,,0,265.149,578.3425,437.9224,191.2067,731.1142
716,V330942_L611_1_C.jpg,,,0,,1,0,,1,0,,1,0,0,0,0,0,,0,,,0,,,,,726.8232
717,V330942_L611_1_P.jpg,,,0,,0,0,,0,0,,0,0,0,0,0,0,,0,,,0,180.4993,451.9558,394.6454,117.9576,747.265
718,V330943_L612_2_P.jpg,3300.9792,434.0203,0,,0,0,,0,1,132.9662,0,0,0,15,0,6,82.365,0,,,0,107.7033,492.2763,390.8759,136.7041,1112.7551
719,V330944_L613_1_C.jpg,,618.8115,0,,0,0,,0,1,130.2498,0,0,0,0,0,5,146.5094,0,,,0,,,,,732.1475
720,V330944_L613_1_P.jpg,,594.3344,0,,0,0,,0,1,153.1535,0,0,0,0,0,6,193.3287,0,,,0,,,588.5576,237.8571,690.5071
721,V330945_L614_1_C.jpg,,,0,,0,0,,0,0,,0,0,0,0,0,0,,0,,,0,,680.1323,,155.0484,725.6721
722,V330945_L614_1_P.jpg,,,0,,0,1,248.5156,0,0,,1,0,0,0,0,0,,0,,,0,168.3449,,,,
723,V330945_L614_1_P.jpg,,,0,,0,0,,0,0,,0,0,0,0,0,0,,0,,,0,,698.4125,459.0643,87.7268,710.8136
724,V330946_L615_1_C.jpg,,,1,198.0707,0,1,121.0785,0,0,,0,0,0,0,0,0,,0,,,0,,,,,731.7732
725,V330946_L615_1_P.jpg,,,0,,0,0,,0,1,99.7246,0,0,0,0,0,0,,0,,,0,,,,,712.6184
726,V330947_L616_1_C.jpg,,,0,,0,0,,0,0,,0,0,0,0,0,0,,0,,,0,,,,131.727,721.0555
727,V330947_L616_1_P.jpg,,502.9062,0,,0,1,112.0089,0,1,,0,0,0,0,0,0,,0,,,0,186.0242,518.167,,,707.7584
728,V330948_L617_1_C.jpg,,366.8546,0,,0,0,,0,1,93.3809,0,0,8,17,0,0,,0,,,0,,,,,724.4998
729,V330949_L618_1_C.jpg,,,0,,0,0,,0,0,104.7855,0,0,0,0,0,0,,0,,,0,94.1488,,,,729.8548
730,V330949_L618_1_P.jpg,1946.2996,238.6981,0,,0,0,,0,1,87.6185,0,7,7,17,12,6,77.1298,0,,,0,84.9058,271.0646,229.9848,90.05,711.0696
731,V330950_L619_1_P.jpg,,,0,,0,1,240.8423,0,1,,0,0,0,0,0,0,,2,317.164,,0,610.6235,366.786,383.308,136.6236,705.1596
732,V330951_L620_1_C.jpg,,,0,,0,0,,0,0,,0,0,0,0,0,0,,0,,,0,,676.6742,,,711.4717
733,V330952_L621_1_P.jpg,3133.9881,393.7157,1,65.2993,0,1,,0,1,102.9563,0,0,0,0,0,0,,0,,,0,,,,,
734,V330952_L621_1_P.jpg,,,0,,0,0,,0,0,,0,0,0,17,12,5,102.1763,0,,,0,107.5174,,,,726.815
735,V330953_L622_1_P.jpg,,618.5264,0,,1,1,336.3807,0,1,146.697,0,7,8,0,0,5,124.0645,2,372.3439,,0,750.3173,576.5137,484.0661,,706.4729
736,V330954_L623_1_C.jpg,,,0,,0,0,,0,1,122.4132,0,0,0,0,0,0,,0,,,0,,,,,726.3966
737,V330954_L623_1_P.jpg,3093.252,421.7636,0,,0,0,,0,1,131.2098,0,7,8,0,0,0,,0,,,0,186.7619,441.905,389.1735,164.9242,709.129
738,V330955_L624_1_P.jpg,3723.4986,504.9702,0,,0,0,,0,1,104.3072,0,0,0,0,0,0,,0,,,0,291.671,503.2057,469.553,148.6472,713.8627
739,V330956_L627_1_P.jpg,,533.7337,0,,0,1,376.1914,0,1,181.3725,0,6,9,0,0,5,88.5438,0,,,0,416.9412,361.7734,441.3797,,712.4044
740,V330957_L628_1_C.jpg,,,0,,0,0,,0,0,,0,0,0,0,0,0,,0,,,0,,,,63.5295,704.0256
741,V330957_L628_1_P.jpg,,215.5117,0,,0,0,,0,1,65.7875,0,0,0,0,0,5,46.1736,0,,,0,,,,,712.1798
742,V330959_L630_1_C.jpg,,,0,,0,0,,0,1,149.3452,0,0,0,0,0,0,,0,,364.022,0,,,,,704.284
743,V330959_L630_1_P.jpg,5582.0577,667.0367,0,,1,1,,0,1,,0,0,0,0,0,0,,2,417.8516,,0,836.6505,912.9666,643.68,217.4121,706.7022
744,V330960_L631_2_P.jpg,3446.577,520.1577,1,251.4458,0,1,350.4868,0,1,130.6981,0,0,0,16,11,6,201.8044,2,316.6386,,0,529.9141,488.7883,438.5031,115.8016,699.3154
745,V330961_L632_1_C.jpg,,,0,,0,1,185.7848,0,0,,0,0,0,17,0,0,,0,,,0,,,,,712.0253
746,V330961_L632_1_P.jpg,,313.9557,0,,0,1,163.7681,0,1,89.1964,0,0,12,0,0,0,,0,,,0,310.7571,315.913,290.4892,96.7471,724.0511
747,V330962_L633_1_P.jpg,,,0,,1,1,,0,1,112.0714,0,0,0,0,0,0,,2,292.2465,,0,,,,121.062,730.4683
748,V330963_L634_1_P.jpg,3148.4854,405.2967,0,,0,0,,0,1,134.4024,0,0,0,16,0,4,153.3101,0,,,0,108.2959,458.9553,338.3253,137.4627,686.9876
749,V330964_L635_1_C.jpg,,400.0076,0,,0,0,,0,1,100.5783,0,0,0,0,0,5,173.9224,2,,,0,,,,,717.3075
750,V330964_L635_1_P.jpg,3116.0124,377.1958,0,,0,0,,0,1,129.5569,0,7,7,16,13,5,181.2457,2,,,0,,,,,
751,V330964_L635_1_P.jpg,,,0,,0,0,,0,0,,0,0,0,0,0,0,,0,232.1659,252.1607,0,,,,,
752,V330964_L635_1_P.jpg,,,0,,0,0,,0,0,,0,0,0,0,0,0,,0,,,0,495.2545,455.773,371.8306,128.2653,701.2624
753,V330965_L636_1_P.jpg,4665.2983,599.2338,1,152.8398,0,1,334.2813,0,1,164.9242,0,8,8,16,11,5,227.0154,2,418.7792,357.8156,0,842.4441,537.5649,676.7452,170.8801,706.2804
754,V330966_L637_1_C.jpg,,,0,,0,1,,0,1,,0,0,0,0,0,0,,0,,,0,94.2019,551.5841,386.6626,,716.2716
755,V330968_L639A_1_C.jpg,3988.2247,533.1168,0,,0,0,,0,1,162.0864,0,8,7,18,0,5,76,0,,,0,186.7619,560.357,,,713.6161
756,V330968_L639B_1_P.jpg,5030.4785,618.64,0,,0,1,233.6835,0,1,134.4619,0,9,7,16,11,4,144.2221,0,,,0,204,648.6047,,120.0666,727.5713
757,V330969_L640_1_P.jpg,,382.7734,0,,0,0,,0,0,,1,0,0,0,0,0,,0,,,0,,,,,718.2291
758,V330970_L641_1_P.jpg,3744.0167,486.8254,0,,0,1,246.0894,0,1,147.0782,0,0,0,0,0,0,,2,318.8228,,0,478.8319,,406.6842,93.2952,716.4021
759,V330971_L643A_1_P.jpg,,468.394,0,,0,0,,0,1,148.9765,0,8,6,15,10,4,126.0357,2,319.2006,,0,630.0357,465.0387,563.6488,115.8016,708.3114
760,V330971_L643B_1_C.jpg,3112.7915,490.4019,0,,0,0,,0,1,102.45,0,0,0,0,0,4,177.1327,0,,,0,520.4613,,377.4652,105.603,695.402
761,V330972_L644_1_C.jpg,,400.3276,0,,0,1,256.0312,0,1,94.8262,0,0,0,0,0,5,142.0422,0,,,0,,,,,701.3815
762,V330973_L645_1_P.jpg,,512.8578,1,227.684,0,1,328.9012,0,1,150.3596,0,0,0,17,13,5,173.6663,2,,403.227,0,741.7277,405.0876,356.6287,109.252,712.0112
763,V330975_L647_1_P.jpg,3373.3918,390.6833,0,,0,1,175.391,0,1,112.9292,0,0,0,0,0,5,156.1153,0,,,0,,,,,
764,V330975_L647_1_P.jpg,,,0,,0,0,,0,0,,0,0,0,0,0,0,,0,,,0,,432.4685,321.014,116.4989,729.617
765,V330977_L649_1_P.jpg,,746.8258,0,,1,0,,1,0,,1,0,0,0,0,0,,0,,,0,330.1909,,,,708.6671
766,V330978_L650_1_P.jpg,3215.8532,414.972,0,,0,0,,0,0,,0,0,0,0,0,2,170.0823,0,,,0,130.292,,316.8091,125.6025,723.7679
767,V330979_L651_1_P.jpg,,,0,,0,1,133.2216,0,1,,0,0,0,0,0,0,,0,,,0,215.4159,456.2072,,,717.0251
768,V330981_L653_1_P.jpg,,,0,,1,0,,1,0,,1,0,0,0,0,0,,2,342.2105,432.0104,1,439.2414,,,141.3825,707.4468
769,V330982_L654_1_P.jpg,4794.6458,649.3249,1,239.7186,0,1,355.0282,0,1,140.5845,0,8,8,0,0,0,,0,,,0,,,,,
770,V330982_L654_1_P.jpg,,,0,,0,0,,0,0,,0,0,0,16,10,6,192.0937,2,434.4099,435.1655,0,841.0493,405.2222,573.1256,254.4347,709.3716
771,V330983_L655_1_P.jpg,,429.6014,1,184.2281,0,1,276.1159,0,1,115.9483,0,0,0,0,0,0,,0,,,0,,,,,700.4456
772,V330984_L656B_1_P.jpg,2854.1465,,0,,0,1,179.4241,0,0,,1,0,0,0,0,0,,0,,,0,,,,,
773,V330984_L656B_1_P.jpg,,,0,,0,0,,0,0,,0,0,0,0,0,0,,0,,,0,,,,,713.3253
774,V330985_L657_1_P.jpg,,543.9979,0,,0,0,,0,0,,0,0,0,0,0,6,102.0441,0,,,0,306.4702,556.7567,362.4045,216.7487,714.4347
775,V330986_L658_1_C.jpg,,,0,,0,0,,0,0,,0,0,0,0,0,0,,0,,,0,,,,118.7266,703.7272
776,V330986_L658_1_P.jpg,4189.3675,530.626,1,131.2098,0,1,301.8874,0,1,115.1694,0,0,0,0,0,4,161.2452,2,392.3264,,0,618.9669,547.7518,418.1866,,703.7386
777,V330988_L660_1_P.jpg,,,0,,1,0,,1,0,,1,0,0,0,0,0,,0,,,0,,,468.615,,
778,V330988_L660_1_P.jpg,,,0,,0,0,,0,0,,0,0,0,0,0,0,,0,,,0,,521.9052,,,721.804
779,V330989_L661_1_P.jpg,3160.7944,,0,,0,1,185.5398,0,1,76.896,0,0,0,0,0,4,129.5222,0,,,0,177.7104,383.2727,333.0135,88.6397,711.6326
780,V330990_L662_1_P.jpg,3801.4229,480.4632,1,235.491,0,1,383.8541,0,1,211.6979,0,7,4,16,12,6,164.4384,2,492.7961,487.7048,0,605.0058,413.6279,510.3097,132.0606,698.9363
781,V330991_L663_1_C.jpg,,398.808,0,,0,0,,0,1,61.5549,0,8,0,0,0,4,67.082,0,,,0,303.0594,207.9543,412.7045,,710.2591
782,V330991_L663_1_P.jpg,,398.4256,0,,0,0,,0,1,89.1964,0,8,7,0,0,4,100.8464,0,,,0,159.424,439.6101,415.3131,,708.3114
783,V330992_L664_1_P.jpg,,,0,,1,1,206.7849,0,1,,0,0,0,0,0,0,,0,,,0,,,333.6345,55.3173,727.1699
784,V330993_L665_1_P.jpg,4077.2775,521.4503,0,,0,0,,0,0,,1,8,7,0,0,0,,0,,,0,,,,,
785,V330993_L665_1_P.jpg,,,0,,0,0,,0,0,,0,0,0,17,0,4,154.2595,2,405.2777,435.7442,0,426.0951,302.1523,292.2499,158.4045,702.6984
