"","LSPEC","CSTRAT","ISTRAT","YEAR","INT"
"1","L0002",119.85,667.4,21753.827,22000
"2","L0004",139.55,647.7,21115.884,21250
"3","L0025",411.8,375.45,12299.639,12500
"4","L0030",458.45,328.8,10788.976,11000
"5","L0031",469.85,317.4,10419.811,10500
"6","L0032",463.95,323.3,10610.87,10750
"7","L0033",477.2,310.05,10181.797,10250
"8","L0035",486.7,300.55,9874.159,10000
"9","L0036",NA,NA,NA,NA
"10","L0037",498.5,288.75,9492.041,9500
"11","L0039",498.8,288.45,9482.326,9500
"12","L0040",497.2,290.05,9534.139,9750
"13","L0044",510.9,276.35,9090.493,9250
"14","L0045",508.4,278.85,9171.45,9250
"15","L0047",526,261.25,8601.511,8750
"16","L0051",534.8,252.45,8316.542,8500
"17","L0064",606.15,181.1,6006.022,6250
"18","L0065",605.95,181.3,6012.498,6250
"19","L0078",656.8,130.45,4365.828,4500
"20","L0090",733.1,54.15,1895.012,2000
"21","L0095",787.25,0,141.478,250
"22","L0098",245.9,541.35,17671.962,17750
"23","L0101",247.5,539.75,17620.15,17750
"24","L0102",241.85,545.4,17803.113,18000
"25","L0104",248.15,539.1,17599.101,17750
"26","L0106",251.85,535.4,17479.284,17500
"27","L0108",348.2,439.05,14359.191,14500
"28","L0110",464.15,323.1,10604.394,10750
"29","L0113",412.6,374.65,12273.732,12500
"30","L0114",337.8,449.45,14695.974,14750
"31","L0116",437.4,349.85,11470.637,11500
"32","L0120",411.6,375.65,12306.115,12500
"33","L0121",410.3,376.95,12348.213,12500
"34","L0122",409.9,377.35,12361.166,12500
"35","L0124",418.05,369.2,12097.246,12250
"36","L0125",409.4,377.85,12377.358,12500
"37","L0126",400.4,386.85,12668.804,12750
"38","L0130",427.85,359.4,11779.893,12000
"39","L0131",351.5,435.75,14252.328,14500
"40","L0132",428.65,358.6,11753.987,12000
"41","L0134",413.5,373.75,12244.588,12250
"42","L0135",413.5,373.75,12244.588,12250
"43","L0136",352.4,434.85,14223.183,14250
"44","L0137",352.9,434.35,14206.992,14250
"45","L0138",352.9,434.35,14206.992,14250
"46","L0141",413.4,373.85,12247.826,12250
"47","L0142",355.8,431.45,14113.081,14250
"48","L0144",332.6,454.65,14864.365,15000
"49","L0145",327.8,459.45,15019.803,15250
"50","L0146",323.3,463.95,15165.526,15250
"51","L0149",339.1,448.15,14653.876,14750
"52","L0151",325.5,461.75,15094.283,15250
"53","L0152",326.8,460.45,15052.185,15250
"54","L0153",343.4,443.85,14514.629,14750
"55","L0155",136.55,650.7,21213.033,21250
"56","L0158",341.4,445.85,14579.395,14750
"57","L0160",308.25,479,15652.888,15750
"58","L0161",316.9,470.35,15372.776,15500
"59","L0162",316.9,470.35,15372.776,15500
"60","L0163",326.5,460.75,15061.9,15250
"61","L0164",325.7,461.55,15087.807,15250
"62","L0165",331.6,455.65,14896.748,15000
"63","L0166",325.9,461.35,15081.33,15250
"64","L0167",335.8,451.45,14760.739,15000
"65","L0168",319.2,468.05,15298.296,15500
"66","L0169",320,467.25,15272.389,15500
"67","L0170",328,459.25,15013.326,15250
"68","L0171",336.4,450.85,14741.31,14750
"69","L0172",335.8,451.45,14760.739,15000
"70","L0174",330.6,456.65,14929.13,15000
"71","L0175",330.6,456.65,14929.13,15000
"72","L0176",329.9,457.35,14951.798,15000
"73","L0177",329.4,457.85,14967.99,15000
"74","L0178",329.6,457.65,14961.513,15000
"75","L0179",329.5,457.75,14964.752,15000
"76","L0180",331.5,455.75,14899.986,15000
"77","L0181",330.3,456.95,14938.845,15000
"78","L0182",418.85,368.4,12071.339,12250
"79","L0183",329.6,457.65,14961.513,15000
"80","L0184",351.2,436.05,14262.043,14500
"81","L0186",375.65,411.6,13470.281,13500
"82","L0187",331,456.25,14916.177,15000
"83","L0188",82.35,704.9,22968.186,23000
"84","L0190",330.3,456.95,14938.845,15000
"85","L0191",80.55,706.7,23026.475,23250
"86","L0192",351.2,436.05,14262.043,14500
"87","L0193",332,455.25,14883.794,15000
"88","L0194",347.3,439.95,14388.336,14500
"89","L0198",80.45,706.8,23029.713,23250
"90","L0199",80.35,706.9,23032.952,23250
"91","L0200",350.6,436.65,14281.472,14500
"92","L0201",349.1,438.15,14330.047,14500
"93","L0202",350.1,437.15,14297.664,14500
"94","L0203",352,435.25,14236.136,14250
"95","L0204",345.4,441.85,14449.863,14500
"96","L0205",345,442.25,14462.817,14500
"97","L0206",345,442.25,14462.817,14500
"98","L0207",343.7,443.55,14504.914,14750
"99","L0208",345,442.25,14462.817,14500
"100","L0209",350.2,437.05,14294.426,14500
"101","L0210",338.6,448.65,14670.067,14750
"102","L0211",83.55,703.7,22929.326,23000
"103","L0212",83.25,704,22939.041,23000
"104","L0213",345.9,441.35,14433.672,14500
"105","L0214",349.7,437.55,14310.617,14500
"106","L0215",95.45,691.8,22543.97,22750
"107","L0216",354.5,432.75,14155.179,14250
"108","L0217",351.8,435.45,14242.613,14250
"109","L0218",352.2,435.05,14229.66,14250
"110","L0219",351.1,436.15,14265.281,14500
"111","L0220",351.1,436.15,14265.281,14500
"112","L0221",354.3,432.95,14161.656,14250
"113","L0222",96.15,691.1,22521.302,22750
"114","L0223",93.45,693.8,22608.736,22750
"115","L0224",356.7,430.55,14083.937,14250
"116","L0225",96.35,690.9,22514.825,22750
"117","L0226",334.1,453.15,14815.79,15000
"118","L0227",95.55,691.7,22540.732,22750
"119","L0228",97.35,689.9,22482.442,22500
"120","L0229",359.6,427.65,13990.026,14000
"121","L0230",344.8,442.45,14469.293,14500
"122","L0231",95.75,691.5,22534.255,22750
"123","L0232",355.2,432.05,14132.511,14250
"124","L0233",97.85,689.4,22466.251,22500
"125","L0234",351.8,435.45,14242.613,14250
"126","L0235",89.85,697.4,22725.314,22750
"127","L0236",100.85,686.4,22369.102,22500
"128","L0237",93.85,693.4,22595.782,22750
"129","L0238",345,442.25,14462.817,14500
"130","L0239",344.9,442.35,14466.055,14500
"131","L0240",97.85,689.4,22466.251,22500
"132","L0241",342.3,444.95,14550.25,14750
"133","L0242",344.3,442.95,14485.485,14500
"134","L0243",100.85,686.4,22369.102,22500
"135","L0244",90.85,696.4,22692.931,22750
"136","L0245",108.25,679,22129.469,22250
"137","L0246",99.85,687.4,22401.485,22500
"138","L0247",100.05,687.2,22395.008,22500
"139","L0248",340.5,446.75,14608.54,14750
"140","L0249",353.1,434.15,14200.515,14250
"141","L0250",109.25,678,22097.086,22250
"142","L0251",99.55,687.7,22411.2,22500
"143","L0252",338.5,448.75,14673.306,14750
"144","L0253",111.85,675.4,22012.89,22250
"145","L0254",92.85,694.4,22628.165,22750
"146","L0255",360.9,426.35,13947.929,14000
"147","L0256",94.05,693.2,22589.306,22750
"148","L0257",94.55,692.7,22573.114,22750
"149","L0258",98.55,688.7,22443.583,22500
"150","L0259",100.85,686.4,22369.102,22500
"151","L0260",358.6,428.65,14022.409,14250
"152","L0261",358.6,428.65,14022.409,14250
"153","L0262",99.45,687.8,22414.438,22500
"154","L0263",343.5,443.75,14511.391,14750
"155","L0264",99.85,687.4,22401.485,22500
"156","L0265",351.2,436.05,14262.043,14500
"157","L0266",106.95,680.3,22171.566,22250
"158","L0267",109.55,677.7,22087.371,22250
"159","L0268",107.85,679.4,22142.422,22250
"160","L0269",351.9,435.35,14239.375,14250
"161","L0270",353.9,433.35,14174.609,14250
"162","L0271",109.75,677.5,22080.894,22250
"163","L0272",356.9,430.35,14077.46,14250
"164","L0273",99.15,688.1,22424.153,22500
"165","L0274",109.45,677.8,22090.609,22250
"166","L0275",92.55,694.7,22637.88,22750
"167","L0276",109.45,677.8,22090.609,22250
"168","L0277",91.05,696.2,22686.455,22750
"169","L0278",92.75,694.5,22631.404,22750
"170","L0279",92.75,694.5,22631.404,22750
"171","L0280",92.75,694.5,22631.404,22750
"172","L0281",91.65,695.6,22667.025,22750
"173","L0282",351.5,435.75,14252.328,14500
"174","L0283",351.6,435.65,14249.089,14250
"175","L0284",90.05,697.2,22718.837,22750
"176","L0285",97.05,690.2,22492.157,22500
"177","L0286",88.95,698.3,22754.459,23000
"178","L0287",356.7,430.55,14083.937,14250
"179","L0288",109.45,677.8,22090.609,22250
"180","L0289",346.1,441.15,14427.195,14500
"181","L0290",338.1,449.15,14686.259,14750
"182","L0291",340.5,446.75,14608.54,14750
"183","L0292",348.1,439.15,14362.43,14500
"184","L0293",349.5,437.75,14317.094,14500
"185","L0294",89.75,697.5,22728.552,22750
"186","L0295",89.15,698.1,22747.982,22750
"187","L0296",94.05,693.2,22589.306,22750
"188","L0297",89.65,697.6,22731.791,22750
"189","L0298",98.15,689.1,22456.536,22500
"190","L0299",93.65,693.6,22602.259,22750
"191","L0300",89.75,697.5,22728.552,22750
"192","L0301",89.75,697.5,22728.552,22750
"193","L0302",93.05,694.2,22621.689,22750
"194","L0303",345.3,441.95,14453.102,14500
"195","L0304",341,446.25,14592.348,14750
"196","L0305",95.35,691.9,22547.208,22750
"197","L0306",92.35,694.9,22644.357,22750
"198","L0307",350.9,436.35,14271.758,14500
"199","L0308",95.95,691.3,22527.778,22750
"200","L0309",346.9,440.35,14401.289,14500
"201","L0310",345.5,441.75,14446.625,14500
"202","L0311",346.9,440.35,14401.289,14500
"203","L0312",348.6,438.65,14346.238,14500
"204","L0313",336.3,450.95,14744.548,14750
"205","L0314",336.5,450.75,14738.071,14750
"206","L0315",334.4,452.85,14806.075,15000
"207","L0316",361.1,426.15,13941.452,14000
"208","L0317",86.95,700.3,22819.224,23000
"209","L0318",361.5,425.75,13928.499,14000
"210","L0319",99.95,687.3,22398.247,22500
"211","L0320",100.45,686.8,22382.055,22500
"212","L0321",108.05,679.2,22135.945,22250
"213","L0322",362.85,424.4,13884.782,14000
"214","L0323",336.7,450.55,14731.595,14750
"215","L0324",127.05,660.2,21520.67,21750
"216","L0325",344.7,442.55,14472.532,14500
"217","L0326",96.85,690.4,22498.634,22500
"218","L0327",340.5,446.75,14608.54,14750
"219","L0328",99.95,687.3,22398.247,22500
"220","L0329",346.2,441.05,14423.957,14500
"221","L0330",347.5,439.75,14381.859,14500
"222","L0331",349,438.25,14333.285,14500
"223","L0332",98.45,688.8,22446.821,22500
"224","L0333",361.8,425.45,13918.784,14000
"225","L0334",95.65,691.6,22537.493,22750
"226","L0335",101.25,686,22356.149,22500
"227","L0336",347.6,439.65,14378.621,14500
"228","L0337",352.9,434.35,14206.992,14250
"229","L0338",104.95,682.3,22236.332,22250
"230","L0339",104.95,682.3,22236.332,22250
"231","L0340",103.25,684,22291.383,22500
"232","L0341",103.95,683.3,22268.715,22500
"233","L0342",347.1,440.15,14394.813,14500
"234","L0343",333.9,453.35,14822.267,15000
"235","L0344",348.9,438.35,14336.523,14500
"236","L0345",99.45,687.8,22414.438,22500
"237","L0346",375.75,411.5,13467.042,13500
"238","L0347",105.15,682.1,22229.856,22250
"239","L0348",106.85,680.4,22174.805,22250
"240","L0349",104.85,682.4,22239.571,22250
"241","L0350",347.3,439.95,14388.336,14500
"242","L0351",349.4,437.85,14320.332,14500
"243","L0352",349.4,437.85,14320.332,14500
"244","L0353",347.8,439.45,14372.145,14500
"245","L0354",107.35,679.9,22158.613,22250
"246","L0355",99.65,687.6,22407.962,22500
"247","L0356",351.4,435.85,14255.566,14500
"248","L0357",107.25,680,22161.852,22250
"249","L0358",350.9,436.35,14271.758,14500
"250","L0359",112.05,675.2,22006.414,22250
"251","L0360",343.8,443.45,14501.676,14750
"252","L0361",344,443.25,14495.2,14500
"253","L0362",364.85,422.4,13820.016,14000
"254","L0363",92.75,694.5,22631.404,22750
"255","L0364",93.25,694,22615.212,22750
"256","L0365",369.55,417.7,13667.816,13750
"257","L0366",347.3,439.95,14388.336,14500
"258","L0367",347.6,439.65,14378.621,14500
"259","L0368",341.7,445.55,14569.68,14750
"260","L0369",340.8,446.45,14598.825,14750
"261","L0370",351.4,435.85,14255.566,14500
"262","L0371",351.1,436.15,14265.281,14500
"263","L0372",345.9,441.35,14433.672,14500
"264","L0373",336.3,450.95,14744.548,14750
"265","L0374",348.4,438.85,14352.715,14500
"266","L0375",335.6,451.65,14767.216,15000
"267","L0376",339.1,448.15,14653.876,14750
"268","L0377",349.9,437.35,14304.14,14500
"269","L0378",339.9,447.35,14627.969,14750
"270","L0379",338.1,449.15,14686.259,14750
"271","L0380",350.9,436.35,14271.758,14500
"272","L0381",91.35,695.9,22676.74,22750
"273","L0382",114.55,672.7,21925.456,22000
"274","L0383",115.35,671.9,21899.55,22000
"275","L0384",329.3,457.95,14971.228,15000
"276","L0385",116.65,670.6,21857.452,22000
"277","L0386",334.1,453.15,14815.79,15000
"278","L0387",415.55,371.7,12178.203,12250
"279","L0388",113.95,673.3,21944.886,22000
"280","L0389",334.3,452.95,14809.314,15000
"281","L0390",115.45,671.8,21896.312,22000
"282","L0391",115.95,671.3,21880.12,22000
"283","L0392",94.05,693.2,22589.306,22750
"284","L0393",334.7,452.55,14796.361,15000
"285","L0394",272.75,514.5,16802.481,17000
"286","L0395",107.55,679.7,22152.137,22250
"287","L0396",113.55,673.7,21957.839,22000
"288","L0397",415.35,371.9,12184.68,12250
"289","L0398",363.25,424,13871.829,14000
"290","L0399",338,449.25,14689.497,14750
"291","L0400",97.45,689.8,22479.204,22500
"292","L0401",96.85,690.4,22498.634,22500
"293","L0402",116.35,670.9,21867.167,22000
"294","L0403",366.05,421.2,13781.157,14000
"295","L0404",97.95,689.3,22463.013,22500
"296","L0405",100.55,686.7,22378.817,22500
"297","L0406",363.65,423.6,13858.876,14000
"298","L0407",348.5,438.75,14349.476,14500
"299","L0408",99.55,687.7,22411.2,22500
"300","L0409",117.55,669.7,21828.308,22000
"301","L0410",117.35,669.9,21834.784,22000
"302","L0411",350.7,436.55,14278.234,14500
"303","L0412",346.5,440.75,14414.242,14500
"304","L0413",105.25,682,22226.617,22250
"305","L0414",119.35,667.9,21770.018,22000
"306","L0415",101.25,686,22356.149,22500
"307","L0416",367.85,419.4,13722.867,13750
"308","L0417",119.35,667.9,21770.018,22000
"309","L0418",336.3,450.95,14744.548,14750
"310","L0419",348.8,438.45,14339.762,14500
"311","L0420",417.35,369.9,12119.914,12250
"312","L0421",122.15,665.1,21679.346,21750
"313","L0422",92.15,695.1,22650.833,22750
"314","L0423",93.25,694,22615.212,22750
"315","L0424",354.7,432.55,14148.703,14250
"316","L0425",339.4,447.85,14644.161,14750
"317","L0426",340,447.25,14624.731,14750
"318","L0427",347.4,439.85,14385.098,14500
"319","L0428",339.4,447.85,14644.161,14750
"320","L0429",419.45,367.8,12051.91,12250
"321","L0430",374.95,412.3,13492.949,13500
"322","L0431",91.45,695.8,22673.501,22750
"323","L0432",299.05,488.2,15950.811,16000
"324","L0433",368.75,418.5,13693.723,13750
"325","L0434",371.95,415.3,13590.097,13750
"326","L0435",368.35,418.9,13706.676,13750
"327","L0436",342.2,445.05,14553.489,14750
"328","L0437",368.55,418.7,13700.199,13750
"329","L0438",371.15,416.1,13616.004,13750
"330","L0439",369.85,417.4,13658.102,13750
"331","L0440",369.85,417.4,13658.102,13750
"332","L0441",370.85,416.4,13625.719,13750
"333","L0442",95.55,691.7,22540.732,22750
"334","L0443",419.35,367.9,12055.148,12250
"335","L0444",373.55,413.7,13538.285,13750
"336","L0445",92.95,694.3,22624.927,22750
"337","L0446",332.1,455.15,14880.556,15000
"338","L0447",348.6,438.65,14346.238,14500
"339","L0448",374.45,412.8,13509.14,13750
"340","L0449",95.05,692.2,22556.923,22750
"341","L0450",370.05,417.2,13651.625,13750
"342","L0451",419.05,368.2,12064.863,12250
"343","L0452",94.55,692.7,22573.114,22750
"344","L0453",368.05,419.2,13716.391,13750
"345","L0454",368.55,418.7,13700.199,13750
"346","L0455",368.85,418.4,13690.484,13750
"347","L0456",369.25,418,13677.531,13750
"348","L0457",95.75,691.5,22534.255,22750
"349","L0458",369.45,417.8,13671.055,13750
"350","L0459",419.25,368,12058.386,12250
"351","L0460",97.35,689.9,22482.442,22500
"352","L0461",418.25,369,12090.769,12250
"353","L0462",351.3,435.95,14258.804,14500
"354","L0463",351.6,435.65,14249.089,14250
"355","L0464",350.5,436.75,14284.711,14500
"356","L0465",351.2,436.05,14262.043,14500
"357","L0466",351.2,436.05,14262.043,14500
"358","L0467",475,312.25,10253.039,10500
"359","L0468",338.8,448.45,14663.591,14750
"360","L0469",415.25,372,12187.918,12250
"361","L0470",378.45,408.8,13379.609,13500
"362","L0472",353.2,434.05,14197.277,14250
"363","L0473",353.9,433.35,14174.609,14250
"364","L0474",477.3,309.95,10178.559,10250
"365","L0475",371.55,415.7,13603.051,13750
"366","L0476",353,434.25,14203.753,14250
"367","L0477",421.75,365.5,11977.429,12000
"368","L0478",408.5,378.75,12406.502,12500
"369","L0479",488.8,298.45,9806.155,10000
"370","L0480",408.4,378.85,12409.741,12500
"371","L0481",375.15,412.1,13486.472,13500
"372","L0482",455.45,331.8,10886.125,11000
"373","L0483",489.7,297.55,9777.011,10000
"374","L0484",354.1,433.15,14168.132,14250
"375","L0485",370.45,416.8,13638.672,13750
"376","L0486",453.25,334,10957.368,11000
"377","L0487",351.8,435.45,14242.613,14250
"378","L0488",353.7,433.55,14181.085,14250
"379","L0489",353.8,433.45,14177.847,14250
"380","L0490",453.45,333.8,10950.891,11000
"381","L0491",495.7,291.55,9582.713,9750
"382","L0492",412.5,374.75,12276.971,12500
"383","L0493",495.7,291.55,9582.713,9750
"384","L0494",492.7,294.55,9679.862,9750
"385","L0495",356.2,431.05,14100.128,14250
"386","L0496",452.85,334.4,10970.321,11000
"387","L0497",453.65,333.6,10944.414,11000
"388","L0498",421.85,365.4,11974.191,12000
"389","L0499",359.4,427.85,13996.503,14000
"390","L0500",355.4,431.85,14126.034,14250
"391","L0501",555.5,231.75,7646.216,7750
"392","L0502",454.25,333,10924.985,11000
"393","L0503",558.7,228.55,7542.591,7750
"394","L0504",561,226.25,7468.11,7500
"395","L0505",358.8,428.45,14015.933,14250
"396","L0506",560,227.25,7500.493,7750
"397","L0507",373.05,414.2,13554.476,13750
"398","L0508",411,376.25,12325.545,12500
"399","L0509",560,227.25,7500.493,7750
"400","L0510",562,225.25,7435.727,7500
"401","L0511",562,225.25,7435.727,7500
"402","L0512",460.55,326.7,10720.972,10750
"403","L0513",562.9,224.35,7406.582,7500
"404","L0514",359.3,427.95,13999.741,14000
"405","L0515",563.6,223.65,7383.914,7500
"406","L0516",460.25,327,10730.687,10750
"407","L0517",371.05,416.2,13619.242,13750
"408","L0518",363.05,424.2,13878.305,14000
"409","L0519",414.2,373.05,12221.92,12250
"410","L0520",459.35,327.9,10759.832,11000
"411","L0521",360.7,426.55,13954.405,14000
"412","L0522",459.35,327.9,10759.832,11000
"413","L0523",460.55,326.7,10720.972,10750
"414","L0524",359.3,427.95,13999.741,14000
"415","L0525",437.7,349.55,11460.922,11500
"416","L0526",564.2,223.05,7364.485,7500
"417","L0527",564.1,223.15,7367.723,7500
"418","L0528",460.55,326.7,10720.972,10750
"419","L0529",460.55,326.7,10720.972,10750
"420","L0530",563.8,223.45,7377.438,7500
"421","L0531",460.55,326.7,10720.972,10750
"422","L0532",454.95,332.3,10902.317,11000
"423","L0533",355.7,431.55,14116.32,14250
"424","L0534",460.55,326.7,10720.972,10750
"425","L0535",359.7,427.55,13986.788,14000
"426","L0536",570.1,217.15,7173.425,7250
"427","L0537",528.8,258.45,8510.839,8750
"428","L0538",356.6,430.65,14087.175,14250
"429","L0539",460.55,326.7,10720.972,10750
"430","L0540",356,431.25,14106.605,14250
"431","L0541",357.8,429.45,14048.316,14250
"432","L0542",379.45,407.8,13347.226,13500
"433","L0543",353,434.25,14203.753,14250
"434","L0544",379.35,407.9,13350.464,13500
"435","L0545",360.2,427.05,13970.597,14000
"436","L0546",360.6,426.65,13957.643,14000
"437","L0547",491.9,295.35,9705.768,9750
"438","L0548",379.75,407.5,13337.511,13500
"439","L0549",360,427.25,13977.073,14000
"440","L0550",571.2,216.05,7137.804,7250
"441","L0551",493.7,293.55,9647.479,9750
"442","L0552",460.15,327.1,10733.925,10750
"443","L0553",570.9,216.35,7147.519,7250
"444","L0554",383.75,403.5,13207.979,13250
"445","L0555",383.75,403.5,13207.979,13250
"446","L0556",383.15,404.1,13227.409,13250
"447","L0557",381.85,405.4,13269.507,13500
"448","L0558",381.95,405.3,13266.268,13500
"449","L0559",381.95,405.3,13266.268,13500
"450","L0560",379.55,407.7,13343.987,13500
"451","L0561",354.3,432.95,14161.656,14250
"452","L0562",355.9,431.35,14109.843,14250
"453","L0563",360.6,426.65,13957.643,14000
"454","L0564",359.5,427.75,13993.265,14000
"455","L0565",358.4,428.85,14028.886,14250
"456","L0566",360.5,426.75,13960.882,14000
"457","L0567",513.3,273.95,9012.774,9250
"458","L0568",531.8,255.45,8413.691,8500
"459","L0569",362,425.25,13912.307,14000
"460","L0570",423.55,363.7,11919.14,12000
"461","L0571",355.2,432.05,14132.511,14250
"462","L0572",467.95,319.3,10481.339,10500
"463","L0573",423.95,363.3,11906.187,12000
"464","L0574",384.45,402.8,13185.311,13250
"465","L0575",422.85,364.4,11941.808,12000
"466","L0576",576.3,210.95,6972.651,7000
"467","L0577",356.9,430.35,14077.46,14250
"468","L0578",380.25,407,13321.319,13500
"469","L0579",356.2,431.05,14100.128,14250
"470","L0580",356.2,431.05,14100.128,14250
"471","L0581",357.3,429.95,14064.507,14250
"472","L0582",517.9,269.35,8863.813,9000
"473","L0583",538.4,248.85,8199.963,8250
"474","L0584",383.45,403.8,13217.694,13250
"475","L0585",576.3,210.95,6972.651,7000
"476","L0586",359.7,427.55,13986.788,14000
"477","L0587",576.3,210.95,6972.651,7000
"478","L0588",362,425.25,13912.307,14000
"479","L0589",535.2,252.05,8303.589,8500
"480","L0590",576.3,210.95,6972.651,7000
"481","L0591",467.25,320,10504.007,10750
"482","L0592",424.45,362.8,11889.995,12000
"483","L0593",465.75,321.5,10552.581,10750
"484","L0594",383.45,403.8,13217.694,13250
"485","L0595",572.3,214.95,7102.183,7250
"486","L0596",352.1,435.15,14232.898,14250
"487","L0597",572.3,214.95,7102.183,7250
"488","L0598",579.1,208.15,6881.979,7000
"489","L0599",353.5,433.75,14187.562,14250
"490","L0600",353.6,433.65,14184.324,14250
"491","L0601",352.7,434.55,14213.468,14250
"492","L0602",571.8,215.45,7118.375,7250
"493","L0603",356.1,431.15,14103.366,14250
"494","L0604",469.15,318.1,10442.479,10500
"495","L0605",353.9,433.35,14174.609,14250
"496","L0606",579.4,207.85,6872.264,7000
"497","L0607",578.4,208.85,6904.647,7000
"498","L0608",353.9,433.35,14174.609,14250
"499","L0609",579.5,207.75,6869.026,7000
"500","L0610",469.15,318.1,10442.479,10500
"501","L0611",377.95,409.3,13395.8,13500
"502","L0612",380.85,406.4,13301.89,13500
"503","L0613",465.25,322,10568.773,10750
"504","L0614",353.3,433.95,14194.039,14250
"505","L0615",380.95,406.3,13298.651,13500
"506","L0616",426.15,361.1,11834.944,12000
"507","L0617",380.45,406.8,13314.843,13500
"508","L0618",356.1,431.15,14103.366,14250
"509","L0619",576,211.25,6982.366,7000
"510","L0620",469.45,317.8,10432.765,10500
"511","L0621",383.55,403.7,13214.456,13250
"512","L0622",533.4,253.85,8361.878,8500
"513","L0623",351.3,435.95,14258.804,14500
"514","L0624",426.75,360.5,11815.514,12000
"515","L0625",469.35,317.9,10436.003,10500
"516","L0626",537.5,249.75,8229.108,8250
"517","L0627",381.95,405.3,13266.268,13500
"518","L0628",356,431.25,14106.605,14250
"519","L0629",357.2,430.05,14067.745,14250
"520","L0630",470,317.25,10414.954,10500
"521","L0631",576.7,210.55,6959.698,7000
"522","L0632",378.45,408.8,13379.609,13500
"523","L0633",358.2,429.05,14035.362,14250
"524","L0634",470.2,317.05,10408.477,10500
"525","L0635",447.2,340.05,11153.284,11250
"526","L0636",577,210.25,6949.983,7000
"527","L0637",358.9,428.35,14012.694,14250
"528","L0638",470.05,317.2,10413.335,10500
"529","L0639",358.9,428.35,14012.694,14250
"530","L0640",360.7,426.55,13954.405,14000
"531","L0641",578.3,208.95,6907.886,7000
"532","L0642",381.45,405.8,13282.46,13500
"533","L0643",534.7,252.55,8319.78,8500
"534","L0644",470.4,316.85,10402.001,10500
"535","L0645",577.7,209.55,6927.315,7000
"536","L0646",355.5,431.75,14122.796,14250
"537","L0647",NA,NA,NA,NA
"538","L0648",537.7,249.55,8222.631,8250
"539","L0649",384.15,403.1,13195.026,13250
"540","L0650",427.85,359.4,11779.893,12000
"541","L0651",360,427.25,13977.073,14000
"542","L0652",469.55,317.7,10429.526,10500
"543","L0653",578,209.25,6917.601,7000
"544","L0654",577.7,209.55,6927.315,7000
"545","L0655",383.45,403.8,13217.694,13250
"546","L0656",364.65,422.6,13826.493,14000
"547","L0657",363.85,423.4,13852.399,14000
"548","L0658",579.5,207.75,6869.026,7000
"549","L0659",477.4,309.85,10175.32,10250
"550","L0660",365.25,422,13807.063,14000
"551","L0661",363.75,423.5,13855.637,14000
"552","L0662",475.9,311.35,10223.895,10250
"553","L0663",379.45,407.8,13347.226,13500
"554","L0664",377.95,409.3,13395.8,13500
"555","L0665",537.4,249.85,8232.346,8250
"556","L0666",562.4,224.85,7422.774,7500
"557","L0667",470.1,317.15,10411.716,10500
"558","L0668",430.7,356.55,11687.602,11750
"559","L0669",561.7,225.55,7445.442,7500
"560","L0670",538.9,248.35,8183.772,8250
"561","L0671",561.7,225.55,7445.442,7500
"562","L0672",384.15,403.1,13195.026,13250
"563","L0673",364.35,422.9,13836.207,14000
"564","L0674",364.05,423.2,13845.922,14000
"565","L0675",380.95,406.3,13298.651,13500
"566","L0676",540.4,246.85,8135.198,8250
"567","L0677",540.4,246.85,8135.198,8250
"568","L0678",538,249.25,8212.917,8250
"569","L0679",380.25,407,13321.319,13500
"570","L0680",538.7,248.55,8190.249,8250
"571","L0681",384.35,402.9,13188.549,13250
"572","L0682",363.25,424,13871.829,14000
"573","L0683",539,248.25,8180.534,8250
"574","L0684",469.85,317.4,10419.811,10500
"575","L0685",579.8,207.45,6859.311,7000
"576","L0686",570.9,216.35,7147.519,7250
"577","L0687",379.45,407.8,13347.226,13500
"578","L0688",470.1,317.15,10411.716,10500
"579","L0689",363.85,423.4,13852.399,14000
"580","L0690",362.95,424.3,13881.544,14000
"581","L0691",470.3,316.95,10405.239,10500
"582","L0692",538.7,248.55,8190.249,8250
"583","L0693",539,248.25,8180.534,8250
"584","L0694",363.05,424.2,13878.305,14000
"585","L0695",383.25,404,13224.171,13250
"586","L0696",469.65,317.6,10426.288,10500
"587","L0697",380.25,407,13321.319,13500
"588","L0698",513.7,273.55,8999.821,9000
"589","L0699",469.65,317.6,10426.288,10500
"590","L0700",363.05,424.2,13878.305,14000
"591","L0701",365.25,422,13807.063,14000
"592","L0702",382.25,405,13256.554,13500
"593","L0703",428.65,358.6,11753.987,12000
"594","L0704",470.2,317.05,10408.477,10500
"595","L0705",568.9,218.35,7212.285,7250
"596","L0706",569.7,217.55,7186.379,7250
"597","L0707",469.95,317.3,10416.573,10500
"598","L0708",569.2,218.05,7202.57,7250
"599","L0709",470.05,317.2,10413.335,10500
"600","L0710",570,217.25,7176.664,7250
"601","L0711",469.75,317.5,10423.05,10500
"602","L0712",363.75,423.5,13855.637,14000
"603","L0713",365.15,422.1,13810.301,14000
"604","L0714",516.7,270.55,8902.672,9000
"605","L0715",517.7,269.55,8870.289,9000
"606","L0716",364.05,423.2,13845.922,14000
"607","L0717",362.3,424.95,13902.592,14000
"608","L0718",386.25,401,13127.022,13250
"609","L0719",517.2,270.05,8886.481,9000
"610","L0720",569.7,217.55,7186.379,7250
"611","L0721",469.65,317.6,10426.288,10500
"612","L0722",518.1,269.15,8857.336,9000
"613","L0723",470.5,316.75,10398.762,10500
