"","LSPEC","CSTRAT","ISTRAT","YEAR","INT"
"3799","L4056",273.75,513.5,16770.098,17000
"3800","L4057",277.05,510.2,16663.235,16750
"3801","L4058",267.1,520.15,16985.445,17000
"3802","L4059",277.65,509.6,16643.805,16750
"3803","L4060",277.45,509.8,16650.282,16750
"3804","L4061",261.2,526.05,17176.504,17250
"3805","L4062",701.75,85.5,2910.216,3000
"3806","L4063",721.8,65.45,2260.939,2500
"3807","L4064",277.25,510,16656.758,16750
"3808","L4065",701.75,85.5,2910.216,3000
"3809","L4066",261.4,525.85,17170.027,17250
"3810","L4067",261.5,525.75,17166.789,17250
"3811","L4068",724.6,62.65,2170.267,2250
"3812","L4069",293.65,493.6,16125.679,16250
"3813","L4070",709.3,77.95,2665.725,2750
"3814","L4071",272.45,514.8,16812.196,17000
"3815","L4072",723.7,63.55,2199.412,2250
"3816","L4073",703.55,83.7,2851.927,3000
"3817","L4074",703.25,84,2861.642,3000
"3818","L4075",723.1,64.15,2218.841,2250
"3819","L4076",701.85,85.4,2906.978,3000
"3820","L4077",703.15,84.1,2864.88,3000
"3821","L4078",703.95,83.3,2838.974,3000
"3822","L4079",702.65,84.6,2881.072,3000
"3823","L4080",723,64.25,2222.08,2250
"3824","L4081",698.35,88.9,3020.318,3250
"3825","L4082",701.75,85.5,2910.216,3000
"3826","L4083",277.8,509.45,16638.948,16750
"3827","L4084",280.4,506.85,16554.752,16750
"3828","L4085",705.95,81.3,2774.208,3000
"3829","L4086",703.55,83.7,2851.927,3000
"3830","L4087",272.65,514.6,16805.72,17000
"3831","L4088",723.6,63.65,2202.65,2250
"3832","L4089",724,63.25,2189.697,2250
"3833","L4090",706.05,81.2,2770.97,3000
"3834","L4091",280.4,506.85,16554.752,16750
"3835","L4092",280.4,506.85,16554.752,16750
"3836","L4093",280.4,506.85,16554.752,16750
"3837","L4094",280.4,506.85,16554.752,16750
"3838","L4095",281.6,505.65,16515.893,16750
"3839","L4096",281.6,505.65,16515.893,16750
"3840","L4097",705.45,81.8,2790.4,3000
"3841","L4098",703.45,83.8,2855.165,3000
"3842","L4099",704.75,82.5,2813.068,3000
"3843","L4100",281.6,505.65,16515.893,16750
"3844","L4101",282.6,504.65,16483.51,16500
"3845","L4102",704.75,82.5,2813.068,3000
"3846","L4103",308.75,478.5,15636.697,15750
"3847","L4104",724.2,63.05,2183.22,2250
"3848","L4105",705.85,81.4,2777.447,3000
"3849","L4106",705.75,81.5,2780.685,3000
"3850","L4107",704.55,82.7,2819.544,3000
"3851","L4108",306.65,480.6,15704.701,15750
"3852","L4109",725.3,61.95,2147.599,2250
"3853","L4110",705.55,81.7,2787.161,3000
"3854","L4111",280.4,506.85,16554.752,16750
"3855","L4112",280.7,506.55,16545.037,16750
"3856","L4113",280.4,506.85,16554.752,16750
"3857","L4114",280.4,506.85,16554.752,16750
"3858","L4115",280.4,506.85,16554.752,16750
"3859","L4116",724.5,62.75,2173.505,2250
"3860","L4117",705.65,81.6,2783.923,3000
"3861","L4118",724.6,62.65,2170.267,2250
"3862","L4119",302.05,485.2,15853.662,16000
"3863","L4120",724.6,62.65,2170.267,2250
"3864","L4121",706.35,80.9,2761.255,3000
"3865","L4122",724.8,62.45,2163.791,2250
"3866","L4123",724.8,62.45,2163.791,2250
"3867","L4124",298.35,488.9,15973.479,16000
"3868","L4125",280.5,506.75,16551.514,16750
"3869","L4126",301.15,486.1,15882.807,16000
"3870","L4127",281,506.25,16535.322,16750
"3871","L4128",705.85,81.4,2777.447,3000
"3872","L4129",302.25,485,15847.186,16000
"3873","L4130",299.75,487.5,15928.143,16000
"3874","L4131",299.45,487.8,15937.858,16000
"3875","L4132",300.65,486.6,15898.998,16000
"3876","L4133",704.85,82.4,2809.829,3000
"3877","L4134",281.6,505.65,16515.893,16750
"3878","L4135",281.6,505.65,16515.893,16750
"3879","L4136",281.6,505.65,16515.893,16750
"3880","L4137",281.6,505.65,16515.893,16750
"3881","L4138",281.6,505.65,16515.893,16750
"3882","L4139",281.6,505.65,16515.893,16750
"3883","L4140",281.6,505.65,16515.893,16750
"3884","L4141",303.95,483.3,15792.135,16000
"3885","L4142",277.9,509.35,16635.709,16750
"3886","L4143",725.8,61.45,2131.408,2250
"3887","L4144",304.95,482.3,15759.752,16000
"3888","L4145",704.15,83.1,2832.497,3000
"3889","L4146",306.05,481.2,15724.131,15750
"3890","L4147",306.05,481.2,15724.131,15750
"3891","L4148",725.2,62.05,2150.837,2250
"3892","L4149",278.2,509.05,16625.994,16750
"3893","L4150",278.4,508.85,16619.518,16750
"3894","L4151",279.4,507.85,16587.135,16750
"3895","L4152",282.2,505.05,16496.463,16500
"3896","L4153",278.7,508.55,16609.803,16750
"3897","L4154",285.15,502.1,16400.933,16500
"3898","L4155",277.2,510.05,16658.377,16750
"3899","L4156",280.5,506.75,16551.514,16750
"3900","L4157",280.5,506.75,16551.514,16750
"3901","L4158",282,505.25,16502.939,16750
"3902","L4159",282.1,505.15,16499.701,16500
"3903","L4160",707.8,79.45,2714.3,2750
"3904","L4161",277.5,509.75,16648.663,16750
"3905","L4162",277.5,509.75,16648.663,16750
"3906","L4163",284.1,503.15,16434.935,16500
"3907","L4164",280.6,506.65,16548.276,16750
"3908","L4165",280.6,506.65,16548.276,16750
"3909","L4166",280.9,506.35,16538.561,16750
"3910","L4167",280.7,506.55,16545.037,16750
"3911","L4168",280.6,506.65,16548.276,16750
"3912","L4169",285.15,502.1,16400.933,16500
"3913","L4170",279.7,507.55,16577.42,16750
"3914","L4171",278.6,508.65,16613.041,16750
"3915","L4172",281,506.25,16535.322,16750
"3916","L4173",280.8,506.45,16541.799,16750
"3917","L4174",277.6,509.65,16645.424,16750
"3918","L4175",277.9,509.35,16635.709,16750
"3919","L4176",284.6,502.65,16418.744,16500
"3920","L4177",279.9,507.35,16570.944,16750
"3921","L4178",279.9,507.35,16570.944,16750
"3922","L4179",279.9,507.35,16570.944,16750
"3923","L4180",282.6,504.65,16483.51,16500
"3924","L4181",279.2,508.05,16593.612,16750
"3925","L4182",283.6,503.65,16451.127,16500
"3926","L4183",283.5,503.75,16454.365,16500
"3927","L4184",283.6,503.65,16451.127,16500
"3928","L4185",707.4,79.85,2727.253,2750
"3929","L4186",707.4,79.85,2727.253,2750
"3930","L4187",278.9,508.35,16603.326,16750
"3931","L4188",280.2,507.05,16561.229,16750
"3932","L4189",278.7,508.55,16609.803,16750
"3933","L4190",708.2,79.05,2701.347,2750
"3934","L4191",708.6,78.65,2688.394,2750
"3935","L4192",283.5,503.75,16454.365,16500
"3936","L4193",284.3,502.95,16428.459,16500
"3937","L4194",709.4,77.85,2662.487,2750
"3938","L4195",708.6,78.65,2688.394,2750
"3939","L4196",280.1,507.15,16564.467,16750
"3940","L4197",283.5,503.75,16454.365,16500
"3941","L4198",279.8,507.45,16574.182,16750
"3942","L4199",279.1,508.15,16596.85,16750
"3943","L4200",283.4,503.85,16457.603,16500
"3944","L4201",279.8,507.45,16574.182,16750
"3945","L4202",279.3,507.95,16590.373,16750
"3946","L4203",278.9,508.35,16603.326,16750
"3947","L4204",705.85,81.4,2777.447,3000
"3948","L4205",278.9,508.35,16603.326,16750
"3949","L4206",278.4,508.85,16619.518,16750
"3950","L4207",278.9,508.35,16603.326,16750
"3951","L4208",279.8,507.45,16574.182,16750
"3952","L4209",279.2,508.05,16593.612,16750
"3953","L4210",261.7,525.55,17160.312,17250
"3954","L4211",709.3,77.95,2665.725,2750
"3955","L4212",707.4,79.85,2727.253,2750
"3956","L4213",284.2,503.05,16431.697,16500
"3957","L4214",278.5,508.75,16616.28,16750
"3958","L4215",277.8,509.45,16638.948,16750
"3959","L4216",282.9,504.35,16473.795,16500
"3960","L4217",277.8,509.45,16638.948,16750
"3961","L4218",278.5,508.75,16616.28,16750
"3962","L4219",278.5,508.75,16616.28,16750
"3963","L4220",256.9,530.35,17315.75,17500
"3964","L4221",260.2,527.05,17208.887,17250
"3965","L4222",261.2,526.05,17176.504,17250
"3966","L4223",710.6,76.65,2623.628,2750
"3967","L4224",284.7,502.55,16415.506,16500
"3968","L4225",285,502.25,16405.791,16500
"3969","L4226",710.9,76.35,2613.913,2750
"3970","L4227",280.4,506.85,16554.752,16750
"3971","L4228",257.3,529.95,17302.797,17500
"3972","L4229",277.9,509.35,16635.709,16750
"3973","L4230",710.2,77.05,2636.581,2750
"3974","L4231",280.4,506.85,16554.752,16750
"3975","L4232",280.4,506.85,16554.752,16750
"3976","L4233",258,529.25,17280.129,17500
"3977","L4234",285,502.25,16405.791,16500
"3978","L4235",278.7,508.55,16609.803,16750
"3979","L4236",262.8,524.45,17124.691,17250
"3980","L4237",283.3,503.95,16460.842,16500
"3981","L4238",283.3,503.95,16460.842,16500
"3982","L4239",281.8,505.45,16509.416,16750
"3983","L4240",280.4,506.85,16554.752,16750
"3984","L4241",282.8,504.45,16477.033,16500
"3985","L4242",259.2,528.05,17241.27,17250
"3986","L4243",259.2,528.05,17241.27,17250
"3987","L4244",707.4,79.85,2727.253,2750
"3988","L4245",707.4,79.85,2727.253,2750
"3989","L4246",278.3,508.95,16622.756,16750
"3990","L4247",281.7,505.55,16512.654,16750
"3991","L4248",260,527.25,17215.363,17250
