"LSPEC","CSTRAT","ISTRAT","YEAR","INT"
"L0437",368.55,418.7,13700.199,13750
"L0438",371.15,416.1,13616.004,13750
"L0439",369.85,417.4,13658.102,13750
"L0440",369.85,417.4,13658.102,13750
"L0441",370.85,416.4,13625.719,13750
"L0442",95.55,691.7,22540.732,22750
"L0443",419.35,367.9,12055.148,12250
"L0444",373.55,413.7,13538.285,13750
"L0445",92.95,694.3,22624.927,22750
"L0446",332.1,455.15,14880.556,15000
"L0447",348.6,438.65,14346.238,14500
"L0448",374.45,412.8,13509.14,13750
"L0449",95.05,692.2,22556.923,22750
"L0450",370.05,417.2,13651.625,13750
"L0451",419.05,368.2,12064.863,12250
"L0452",94.55,692.7,22573.114,22750
"L0453",368.05,419.2,13716.391,13750
"L0454",368.55,418.7,13700.199,13750
"L0455",368.85,418.4,13690.484,13750
"L0456",369.25,418,13677.531,13750
"L0457",95.75,691.5,22534.255,22750
"L0458",369.45,417.8,13671.055,13750
"L0459",419.25,368,12058.386,12250
"L0460",97.35,689.9,22482.442,22500
"L0461",418.25,369,12090.769,12250
"L0462",351.3,435.95,14258.804,14500
"L0463",351.6,435.65,14249.089,14250
"L0464",350.5,436.75,14284.711,14500
"L0465",351.2,436.05,14262.043,14500
"L0466",351.2,436.05,14262.043,14500
"L0467",475,312.25,10253.039,10500
"L0468",338.8,448.45,14663.591,14750
"L0469",415.25,372,12187.918,12250
"L0470",378.45,408.8,13379.609,13500
"L0472",353.2,434.05,14197.277,14250
"L0473",353.9,433.35,14174.609,14250
"L0474",477.3,309.95,10178.559,10250
"L0475",371.55,415.7,13603.051,13750
"L0476",353,434.25,14203.753,14250
"L0477",421.75,365.5,11977.429,12000
"L0478",408.5,378.75,12406.502,12500
"L0479",488.8,298.45,9806.155,10000
"L0480",408.4,378.85,12409.741,12500
"L0481",375.15,412.1,13486.472,13500
"L0482",455.45,331.8,10886.125,11000
"L0483",489.7,297.55,9777.011,10000
"L0484",354.1,433.15,14168.132,14250
"L0485",370.45,416.8,13638.672,13750
"L0486",453.25,334,10957.368,11000
"L0487",351.8,435.45,14242.613,14250
"L0488",353.7,433.55,14181.085,14250
"L0489",353.8,433.45,14177.847,14250
"L0490",453.45,333.8,10950.891,11000
"L0491",495.7,291.55,9582.713,9750
"L0492",412.5,374.75,12276.971,12500
"L0493",495.7,291.55,9582.713,9750
