"LSPEC","CSTRAT","ISTRAT","YEAR","INT"
"L0928",532.5,254.75,8391.023,8500
"L0929",478.6,308.65,10136.461,10250
"L0930",375.25,412,13483.234,13500
"L0931",532.5,254.75,8391.023,8500
"L0932",392.6,394.65,12921.391,13000
"L0933",560.2,227.05,7494.016,7500
"L0934",391.6,395.65,12953.773,13000
"L0935",536,251.25,8277.682,8500
"L0936",536,251.25,8277.682,8500
"L0937",476.2,311.05,10214.18,10250
"L0938",536,251.25,8277.682,8500
"L0939",438.2,349.05,11444.73,11500
"L0940",436.4,350.85,11503.019,11750
"L0941",374.75,412.5,13499.425,13500
"L0942",374.75,412.5,13499.425,13500
"L0943",374.55,412.7,13505.902,13750
"L0944",536,251.25,8277.682,8500
"L0945",480.3,306.95,10081.41,10250
"L0946",394.8,392.45,12850.148,13000
"L0947",535.1,252.15,8306.827,8500
"L0948",370.35,416.9,13641.91,13750
"L0949",370.95,416.3,13622.48,13750
"L0950",395.4,391.85,12830.718,13000
"L0951",535.1,252.15,8306.827,8500
"L0952",536,251.25,8277.682,8500
"L0953",395.1,392.15,12840.433,13000
"L0954",395.1,392.15,12840.433,13000
"L0955",558.8,228.45,7539.352,7750
"L0956",536,251.25,8277.682,8500
"L0957",480,307.25,10091.125,10250
"L0958",557.8,229.45,7571.735,7750
"L0959",399.5,387.75,12697.948,12750
"L0960",558.6,228.65,7545.829,7750
"L0961",369.65,417.6,13664.578,13750
"L0962",479.4,307.85,10110.555,10250
"L0963",535.1,252.15,8306.827,8500
"L0964",535.1,252.15,8306.827,8500
"L0965",557.9,229.35,7568.497,7750
"L0966",370.95,416.3,13622.48,13750
"L0967",478.9,308.35,10126.746,10250
"L0968",535.1,252.15,8306.827,8500
"L0969",401.2,386.05,12642.898,12750
"L0970",558.6,228.65,7545.829,7750
"L0971",535.1,252.15,8306.827,8500
"L0972",535.1,252.15,8306.827,8500
"L0973",479.5,307.75,10107.316,10250
"L0974",402.1,385.15,12613.753,12750
"L0975",474.9,312.35,10256.278,10500
"L0976",371.15,416.1,13616.004,13750
"L0977",370.65,416.6,13632.195,13750
"L0978",370.65,416.6,13632.195,13750
"L0979",538.1,249.15,8209.678,8250
"L0980",538.3,248.95,8203.202,8250
"L0981",474.9,312.35,10256.278,10500
"L0982",558.2,229.05,7558.782,7750
"L0983",558.2,229.05,7558.782,7750
"L0984",538.2,249.05,8206.44,8250
"L0985",538.2,249.05,8206.44,8250
"L0986",538.2,249.05,8206.44,8250
"L0987",538.2,249.05,8206.44,8250
"L0988",538.2,249.05,8206.44,8250
"L0989",558.6,228.65,7545.829,7750
"L0990",538.1,249.15,8209.678,8250
"L0991",537.1,250.15,8242.061,8250
"L0992",391.7,395.55,12950.535,13000
"L0993",391.2,396.05,12966.727,13000
"L0994",537.1,250.15,8242.061,8250
"L0995",391.6,395.65,12953.773,13000
"L0996",537.6,249.65,8225.87,8250
"L0997",539.2,248.05,8174.057,8250
"L0998",391.3,395.95,12963.488,13000
"L0999",556.2,231.05,7623.548,7750
"L1000",538.1,249.15,8209.678,8250
"L1001",390.7,396.55,12982.918,13000
"L1002",391.7,395.55,12950.535,13000
"L1003",391.3,395.95,12963.488,13000
"L1004",440.6,346.65,11367.011,11500
"L1005",562,225.25,7435.727,7500
"L1006",474.3,312.95,10275.707,10500
"L1007",394.4,392.85,12863.101,13000
"L1008",392,395.25,12940.82,13000
"L1009",389.55,397.7,13020.158,13250
"L1010",389.55,397.7,13020.158,13250
"L1011",540.2,247.05,8141.674,8250
"L1012",540.2,247.05,8141.674,8250
"L1013",369.75,417.5,13661.34,13750
"L1014",394.4,392.85,12863.101,13000
"L1015",475.6,311.65,10233.61,10250
"L1016",394.6,392.65,12856.625,13000
"L1017",370.35,416.9,13641.91,13750
"L1018",563.9,223.35,7374.199,7500
"L1019",527.7,259.55,8546.46,8750
"L1020",536,251.25,8277.682,8500
"L1021",537.1,250.15,8242.061,8250
"L1022",537.1,250.15,8242.061,8250
"L1023",476,311.25,10220.657,10250
"L1024",370.05,417.2,13651.625,13750
"L1025",561,226.25,7468.11,7500
"L1026",474.7,312.55,10262.754,10500
"L1027",537.2,250.05,8238.823,8250
"L1028",370.75,416.5,13628.957,13750
"L1029",474.9,312.35,10256.278,10500
"L1030",395.3,391.95,12833.957,13000
"L1031",373.05,414.2,13554.476,13750
"L1032",474.8,312.45,10259.516,10500
"L1033",395.3,391.95,12833.957,13000
"L1034",371.15,416.1,13616.004,13750
"L1035",537.9,249.35,8216.155,8250
"L1036",538.5,248.75,8196.725,8250
"L1037",538.5,248.75,8196.725,8250
"L1038",392.1,395.15,12937.582,13000
"L1039",474.7,312.55,10262.754,10500
"L1040",554.1,233.15,7691.552,7750
"L1041",538.3,248.95,8203.202,8250
"L1042",538.3,248.95,8203.202,8250
"L1043",391.5,395.75,12957.012,13000
"L1044",437.6,349.65,11464.16,11500
"L1045",374.15,413.1,13518.855,13750
"L1046",372.75,414.5,13564.191,13750
"L1047",438.1,349.15,11447.968,11500
"L1048",538.2,249.05,8206.44,8250
"L1049",538.2,249.05,8206.44,8250
"L1050",372.85,414.4,13560.953,13750
"L1051",553.9,233.35,7698.028,7750
"L1052",476.9,310.35,10191.512,10250
"L1053",552.1,235.15,7756.318,8000
"L1054",477.1,310.15,10185.035,10250
"L1055",370.65,416.6,13632.195,13750
"L1056",565.9,221.35,7309.434,7500
"L1057",373.85,413.4,13528.57,13750
"L1058",395.3,391.95,12833.957,13000
"L1059",518.7,268.55,8837.907,9000
"L1060",518.7,268.55,8837.907,9000
"L1061",373.05,414.2,13554.476,13750
"L1062",395.3,391.95,12833.957,13000
"L1063",518.9,268.35,8831.43,9000
"L1064",519.1,268.15,8824.953,9000
"L1065",393.9,393.35,12879.293,13000
"L1066",442.2,345.05,11315.199,11500
"L1067",394.9,392.35,12846.91,13000
"L1068",394,393.25,12876.054,13000
"L1069",374.85,412.4,13496.187,13500
"L1070",515.7,271.55,8935.055,9000
"L1071",515.7,271.55,8935.055,9000
"L1072",515.7,271.55,8935.055,9000
"L1073",515.7,271.55,8935.055,9000
"L1074",395.9,391.35,12814.527,13000
"L1075",376.55,410.7,13441.136,13500
"L1076",515.7,271.55,8935.055,9000
"L1077",378.25,409,13386.085,13500
"L1078",395.4,391.85,12830.718,13000
"L1079",390.6,396.65,12986.156,13000
"L1080",554.7,232.55,7672.122,7750
"L1081",377.05,410.2,13424.945,13500
"L1082",394.8,392.45,12850.148,13000
"L1083",518.7,268.55,8837.907,9000
"L1084",555.5,231.75,7646.216,7750
"L1085",376.55,410.7,13441.136,13500
"L1086",394.6,392.65,12856.625,13000
"L1087",440.8,346.45,11360.535,11500
"L1088",554.5,232.75,7678.599,7750
"L1089",482.5,304.75,10010.168,10250
"L1090",425.05,362.2,11870.565,12000
"L1091",554.6,232.65,7675.36,7750
"L1092",444.4,342.85,11243.956,11250
"L1093",518.7,268.55,8837.907,9000
"L1094",395.3,391.95,12833.957,13000
"L1095",554.7,232.55,7672.122,7750
"L1096",382.65,404.6,13243.6,13250
"L1097",381.65,405.6,13275.983,13500
"L1098",393.1,394.15,12905.199,13000
"L1099",382.65,404.6,13243.6,13250
"L1100",444.1,343.15,11253.671,11500
"L1101",485.9,301.35,9900.066,10000
"L1102",534.5,252.75,8326.257,8500
"L1103",518.7,268.55,8837.907,9000
"L1104",392.9,394.35,12911.676,13000
"L1105",518.7,268.55,8837.907,9000
"L1106",392.9,394.35,12911.676,13000
"L1107",485.9,301.35,9900.066,10000
"L1108",518.7,268.55,8837.907,9000
"L1109",518.7,268.55,8837.907,9000
"L1110",396.8,390.45,12785.382,13000
"L1111",580.5,206.75,6836.643,7000
"L1112",380.35,406.9,13318.081,13500
"L1113",381.75,405.5,13272.745,13500
"L1114",579.7,207.55,6862.55,7000
"L1115",476.5,310.75,10204.465,10250
"L1116",476.5,310.75,10204.465,10250
"L1117",397.2,390.05,12772.429,13000
"L1118",476.5,310.75,10204.465,10250
"L1119",518.7,268.55,8837.907,9000
"L1120",397.5,389.75,12762.714,13000
"L1121",379.65,407.6,13340.749,13500
"L1122",476.5,310.75,10204.465,10250
"L1123",398.7,388.55,12723.855,12750
"L1124",398.9,388.35,12717.378,12750
"L1125",397.9,389.35,12749.761,12750
"L1126",398,389.25,12746.523,12750
"L1127",398.4,388.85,12733.57,12750
"L1128",398.1,389.15,12743.285,12750
"L1129",396.7,390.55,12788.621,13000
"L1130",444.2,343.05,11250.433,11500
"L1131",443.9,343.35,11260.148,11500
"L1132",441.5,345.75,11337.867,11500
"L1133",397,390.25,12778.906,13000
"L1134",396.6,390.65,12791.859,13000
"L1135",396.4,390.85,12798.335,13000
"L1136",444.2,343.05,11250.433,11500
"L1137",445.1,342.15,11221.288,11250
"L1138",443.1,344.15,11286.054,11500
"L1139",397.3,389.95,12769.191,13000
"L1140",396,391.25,12811.289,13000
"L1141",442.9,344.35,11292.531,11500
"L1142",398.5,388.75,12730.331,12750
"L1143",443.9,343.35,11260.148,11500
"L1144",396.4,390.85,12798.335,13000
"L1145",396.3,390.95,12801.574,13000
"L1146",443.9,343.35,11260.148,11500
"L1147",396.5,390.75,12795.097,13000
"L1148",397.8,389.45,12752.999,13000
"L1149",398.1,389.15,12743.285,12750
"L1150",443.9,343.35,11260.148,11500
"L1151",399.8,387.45,12688.234,12750
"L1152",399.9,387.35,12684.995,12750
"L1153",398,389.25,12746.523,12750
"L1154",398.5,388.75,12730.331,12750
"L1155",397.8,389.45,12752.999,13000
"L1156",399.1,388.15,12710.902,12750
"L1157",399.6,387.65,12694.71,12750
"L1158",440.9,346.35,11357.296,11500
"L1159",443.9,343.35,11260.148,11500
"L1160",399.3,387.95,12704.425,12750
"L1161",398.3,388.95,12736.808,12750
"L1162",398.3,388.95,12736.808,12750
"L1163",398.5,388.75,12730.331,12750
"L1164",398.2,389.05,12740.046,12750
"L1165",399.6,387.65,12694.71,12750
"L1166",399.5,387.75,12697.948,12750
"L1167",440.3,346.95,11376.726,11500
"L1168",399.4,387.85,12701.187,12750
"L1169",404.2,383.05,12545.749,12750
"L1170",399.2,388.05,12707.663,12750
"L1171",399.6,387.65,12694.71,12750
"L1172",399.6,387.65,12694.71,12750
"L1173",399.6,387.65,12694.71,12750
"L1174",399.6,387.65,12694.71,12750
"L1175",399.6,387.65,12694.71,12750
"L1176",399.3,387.95,12704.425,12750
"L1177",399.6,387.65,12694.71,12750
"L1178",444.4,342.85,11243.956,11250
"L1179",443.3,343.95,11279.577,11500
"L1180",444.1,343.15,11253.671,11500
"L1181",446.1,341.15,11188.905,11250
"L1182",405.7,381.55,12497.175,12500
"L1183",450.7,336.55,11039.944,11250
"L1184",401.1,386.15,12646.136,12750
"L1185",445.8,341.45,11198.62,11250
"L1186",451.7,335.55,11007.561,11250
"L1187",451.2,336.05,11023.752,11250
"L1188",400.3,386.95,12672.042,12750
"L1189",400.3,386.95,12672.042,12750
"L1190",451.4,335.85,11017.276,11250
"L1191",399.6,387.65,12694.71,12750
"L1192",446.9,340.35,11162.999,11250
"L1193",449.6,337.65,11075.565,11250
"L1194",452.15,335.1,10992.989,11000
"L1195",400.1,387.15,12678.519,12750
"L1196",450.7,336.55,11039.944,11250
"L1197",401.2,386.05,12642.898,12750
"L1198",401.1,386.15,12646.136,12750
"L1199",450.6,336.65,11043.182,11250
"L1200",402.4,384.85,12604.038,12750
"L1201",403,384.25,12584.608,12750
"L1202",450.9,336.35,11033.467,11250
"L1203",402.2,385.05,12610.515,12750
"L1204",402.2,385.05,12610.515,12750
"L1205",451.1,336.15,11026.991,11250
"L1206",449.5,337.75,11078.803,11250
"L1207",402.3,384.95,12607.276,12750
"L1208",402.4,384.85,12604.038,12750
"L1209",451.2,336.05,11023.752,11250
"L1210",402,385.25,12616.991,12750
"L1211",402.1,385.15,12613.753,12750
"L1212",403.3,383.95,12574.893,12750
"L1213",401.9,385.35,12620.23,12750
"L1214",402.8,384.45,12591.085,12750
"L1215",402.8,384.45,12591.085,12750
"L1216",402.8,384.45,12591.085,12750
"L1217",403.6,383.65,12565.179,12750
"L1218",402.4,384.85,12604.038,12750
"L1219",403.5,383.75,12568.417,12750
"L1220",403.5,383.75,12568.417,12750
"L1221",403.5,383.75,12568.417,12750
"L1222",446.1,341.15,11188.905,11250
"L1223",404.1,383.15,12548.987,12750
"L1224",449.7,337.55,11072.327,11250
"L1225",448.2,339.05,11120.901,11250
"L1226",401.7,385.55,12626.706,12750
"L1227",402.9,384.35,12587.847,12750
"L1228",403.4,383.85,12571.655,12750
"L1229",451.2,336.05,11023.752,11250
"L1230",451.2,336.05,11023.752,11250
"L1231",403,384.25,12584.608,12750
"L1232",401.5,385.75,12633.183,12750
"L1233",401.5,385.75,12633.183,12750
"L1234",401.5,385.75,12633.183,12750
"L1235",401.6,385.65,12629.944,12750
"L1236",476.3,310.95,10210.942,10250
"L1237",451.2,336.05,11023.752,11250
"L1238",403.9,383.35,12555.464,12750
"L1239",451.2,336.05,11023.752,11250
"L1240",403.7,383.55,12561.94,12750
"L1241",412.7,374.55,12270.494,12500
"L1242",472.9,314.35,10321.043,10500
"L1243",403.5,383.75,12568.417,12750
"L1244",403,384.25,12584.608,12750
"L1245",403,384.25,12584.608,12750
"L1246",404.2,383.05,12545.749,12750
"L1247",404.2,383.05,12545.749,12750
"L1248",404.2,383.05,12545.749,12750
"L1249",404.3,382.95,12542.511,12750
"L1250",404.3,382.95,12542.511,12750
"L1251",402.4,384.85,12604.038,12750
"L1252",402.4,384.85,12604.038,12750
"L1253",479.3,307.95,10113.793,10250
"L1254",451.3,335.95,11020.514,11250
"L1255",450.7,336.55,11039.944,11250
"L1256",404,383.25,12552.225,12750
"L1257",404,383.25,12552.225,12750
"L1258",403.8,383.45,12558.702,12750
"L1259",481.3,305.95,10049.027,10250
"L1260",404.3,382.95,12542.511,12750
"L1261",480.1,307.15,10087.887,10250
"L1262",405.1,382.15,12516.604,12750
"L1263",480.8,306.45,10065.219,10250
"L1264",405.3,381.95,12510.128,12750
"L1265",405.4,381.85,12506.889,12750
"L1266",402.7,384.55,12594.323,12750
"L1267",402.7,384.55,12594.323,12750
"L1268",402.9,384.35,12587.847,12750
"L1269",453.95,333.3,10934.699,11000
"L1270",454.25,333,10924.985,11000
"L1271",454.25,333,10924.985,11000
"L1272",454.25,333,10924.985,11000
"L1273",480.3,306.95,10081.41,10250
"L1274",405.1,382.15,12516.604,12750
"L1275",404.6,382.65,12532.796,12750
"L1276",456.85,330.4,10840.789,11000
"L1277",456.55,330.7,10850.504,11000
"L1278",404.6,382.65,12532.796,12750
"L1279",403,384.25,12584.608,12750
"L1280",453.55,333.7,10947.653,11000
"L1281",477.9,309.35,10159.129,10250
"L1282",404,383.25,12552.225,12750
"L1283",453.45,333.8,10950.891,11000
"L1285",405.4,381.85,12506.889,12750
"L1286",455.35,331.9,10889.363,11000
"L1287",692.25,95,3217.854,3250
"L1288",405.3,381.95,12510.128,12750
"L1289",404.2,383.05,12545.749,12750
"L1290",404.7,382.55,12529.557,12750
"L1291",481.9,305.35,10029.597,10250
"L1292",456.65,330.6,10847.266,11000
"L1293",455.85,331.4,10873.172,11000
"L1294",486.3,300.95,9887.113,10000
"L1295",453.85,333.4,10937.938,11000
"L1296",455.45,331.8,10886.125,11000
"L1297",406.7,380.55,12464.792,12500
"L1298",404.4,382.85,12539.272,12750
"L1299",405.4,381.85,12506.889,12750
"L1300",405.7,381.55,12497.175,12500
"L1301",406.5,380.75,12471.268,12500
"L1302",404.9,382.35,12523.081,12750
"L1303",405.4,381.85,12506.889,12750
"L1304",483.7,303.55,9971.308,10000
"L1305",455.25,332,10892.602,11000
"L1306",456.75,330.5,10844.027,11000
"L1307",405.7,381.55,12497.175,12500
"L1308",455.15,332.1,10895.84,11000
"L1309",407.5,379.75,12438.885,12500
"L1310",455.35,331.9,10889.363,11000
"L1311",407.2,380.05,12448.6,12500
"L1312",484.8,302.45,9935.687,10000
"L1313",486.3,300.95,9887.113,10000
"L1314",455.75,331.5,10876.41,11000
"L1315",456.15,331.1,10863.457,11000
"L1316",407.2,380.05,12448.6,12500
"L1317",485.1,302.15,9925.972,10000
"L1318",406.1,381.15,12484.221,12500
"L1319",405.3,381.95,12510.128,12750
"L1320",485.8,301.45,9903.304,10000
"L1321",578.6,208.65,6898.171,7000
"L1322",485.8,301.45,9903.304,10000
"L1323",578.3,208.95,6907.886,7000
"L1324",406.9,380.35,12458.315,12500
"L1325",579.3,207.95,6875.503,7000
"L1326",405.5,381.75,12503.651,12750
"L1327",405.4,381.85,12506.889,12750
"L1328",406.6,380.65,12468.03,12500
"L1329",579.6,207.65,6865.788,7000
"L1330",483.2,304.05,9987.5,10000
"L1331",482.6,304.65,10006.929,10250
"L1332",578.9,208.35,6888.456,7000
"L1333",408.6,378.65,12403.264,12500
"L1334",408.5,378.75,12406.502,12500
"L1335",408.5,378.75,12406.502,12500
"L1336",486.6,300.65,9877.398,10000
"L1337",569.8,217.45,7183.14,7250
"L1338",408.9,378.35,12393.549,12500
"L1339",569.6,217.65,7189.617,7250
"L1340",570.5,216.75,7160.472,7250
"L1341",486.6,300.65,9877.398,10000
"L1342",486.6,300.65,9877.398,10000
"L1343",570.7,216.55,7153.996,7250
"L1344",408.1,379.15,12419.456,12500
"L1345",570.2,217.05,7170.187,7250
"L1346",408.1,379.15,12419.456,12500
"L1347",458.85,328.4,10776.023,11000
"L1348",408.1,379.15,12419.456,12500
"L1349",569.8,217.45,7183.14,7250
"L1350",486.6,300.65,9877.398,10000
"L1351",570.5,216.75,7160.472,7250
"L1352",407.9,379.35,12425.932,12500
"L1353",457.65,329.6,10814.883,11000
"L1354",458.85,328.4,10776.023,11000
"L1355",459.45,327.8,10756.594,11000
"L1356",407.7,379.55,12432.409,12500
"L1357",407.8,379.45,12429.17,12500
"L1358",408.1,379.15,12419.456,12500
"L1359",407.5,379.75,12438.885,12500
"L1360",486.6,300.65,9877.398,10000
"L1361",408.8,378.45,12396.788,12500
"L1362",457.35,329.9,10824.598,11000
"L1363",458.05,329.2,10801.93,11000
"L1364",453.95,333.3,10934.699,11000
"L1365",408.4,378.85,12409.741,12500
"L1366",408.1,379.15,12419.456,12500
"L1367",408.7,378.55,12400.026,12500
"L1368",408.6,378.65,12403.264,12500
"L1369",408.7,378.55,12400.026,12500
"L1370",484.9,302.35,9932.449,10000
"L1371",408.1,379.15,12419.456,12500
"L1372",408.1,379.15,12419.456,12500
"L1373",407.9,379.35,12425.932,12500
"L1374",486.6,300.65,9877.398,10000
"L1375",486.7,300.55,9874.159,10000
"L1376",408.9,378.35,12393.549,12500
"L1377",409,378.25,12390.311,12500
"L1378",486.6,300.65,9877.398,10000
"L1379",486.6,300.65,9877.398,10000
"L1380",409,378.25,12390.311,12500
"L1381",408.9,378.35,12393.549,12500
"L1382",577.2,210.05,6943.507,7000
"L1383",578.2,209.05,6911.124,7000
"L1384",570.7,216.55,7153.996,7250
"L1385",573.3,213.95,7069.8,7250
"L1386",577.2,210.05,6943.507,7000
"L1387",572.3,214.95,7102.183,7250
"L1388",486.6,300.65,9877.398,10000
"L1389",486.7,300.55,9874.159,10000
"L1391",451.5,335.75,11014.038,11250
"L1392",486.6,300.65,9877.398,10000
"L1393",476.8,310.45,10194.75,10250
"L1394",411,376.25,12325.545,12500
"L1395",410.3,376.95,12348.213,12500
"L1396",577.1,210.15,6946.745,7000
"L1397",483.7,303.55,9971.308,10000
"L1398",410.9,376.35,12328.783,12500
"L1399",411.2,376.05,12319.069,12500
"L1400",410.9,376.35,12328.783,12500
"L1401",411,376.25,12325.545,12500
"L1402",410.8,376.45,12332.022,12500
"L1403",409.2,378.05,12383.834,12500
"L1404",578.2,209.05,6911.124,7000
"L1405",577.9,209.35,6920.839,7000
"L1406",577.2,210.05,6943.507,7000
"L1407",577.9,209.35,6920.839,7000
"L1408",578.3,208.95,6907.886,7000
"L1409",578,209.25,6917.601,7000
"L1410",459.05,328.2,10769.547,11000
"L1411",486.6,300.65,9877.398,10000
"L1412",411.2,376.05,12319.069,12500
"L1413",485,302.25,9929.21,10000
"L1414",484.1,303.15,9958.355,10000
"L1415",577.7,209.55,6927.315,7000
"L1416",577.4,209.85,6937.03,7000
"L1417",577.4,209.85,6937.03,7000
"L1418",459.35,327.9,10759.832,11000
"L1419",459.35,327.9,10759.832,11000
"L1420",482.3,304.95,10016.644,10250
"L1421",577.9,209.35,6920.839,7000
"L1422",577.2,210.05,6943.507,7000
"L1423",482.5,304.75,10010.168,10250
"L1424",458.85,328.4,10776.023,11000
"L1425",458.85,328.4,10776.023,11000
"L1426",578.9,208.35,6888.456,7000
"L1427",578.9,208.35,6888.456,7000
"L1428",578.9,208.35,6888.456,7000
"L1429",580.5,206.75,6836.643,7000
"L1430",411.5,375.75,12309.354,12500
"L1431",411.3,375.95,12315.83,12500
"L1432",411.5,375.75,12309.354,12500
"L1433",411.5,375.75,12309.354,12500
"L1434",579.8,207.45,6859.311,7000
"L1435",579.4,207.85,6872.264,7000
"L1436",411.5,375.75,12309.354,12500
"L1437",412,375.25,12293.162,12500
"L1438",458.75,328.5,10779.262,11000
"L1439",412.2,375.05,12286.686,12500
"L1440",412.2,375.05,12286.686,12500
"L1441",413,374.25,12260.779,12500
"L1442",413,374.25,12260.779,12500
"L1443",484.6,302.65,9942.164,10000
"L1444",412.7,374.55,12270.494,12500
"L1445",459.05,328.2,10769.547,11000
"L1446",581.5,205.75,6804.26,7000
"L1447",580.4,206.85,6839.882,7000
"L1448",580.7,206.55,6830.167,7000
"L1449",580.7,206.55,6830.167,7000
"L1450",412.3,374.95,12283.447,12500
"L1451",412.6,374.65,12273.732,12500
"L1452",460.25,327,10730.687,10750
"L1453",411.4,375.85,12312.592,12500
"L1454",412,375.25,12293.162,12500
"L1455",411.2,376.05,12319.069,12500
"L1456",413.2,374.05,12254.303,12500
"L1457",411.8,375.45,12299.639,12500
"L1458",413,374.25,12260.779,12500
"L1459",489.6,297.65,9780.249,10000
"L1460",580.5,206.75,6836.643,7000
"L1461",412.4,374.85,12280.209,12500
"L1462",412.6,374.65,12273.732,12500
"L1463",490.8,296.45,9741.39,9750
"L1464",413,374.25,12260.779,12500
"L1465",491.7,295.55,9712.245,9750
"L1466",460.75,326.5,10714.496,10750
"L1467",460.75,326.5,10714.496,10750
"L1468",460.75,326.5,10714.496,10750
"L1469",490.4,296.85,9754.343,10000
"L1470",582.2,205.05,6781.592,7000
"L1471",418.45,368.8,12084.293,12250
"L1472",460.75,326.5,10714.496,10750
"L1473",583.6,203.65,6736.256,6750
"L1474",460.85,326.4,10711.257,10750
"L1475",417.35,369.9,12119.914,12250
"L1476",413.3,373.95,12251.064,12500
"L1477",413.3,373.95,12251.064,12500
"L1478",413.3,373.95,12251.064,12500
"L1479",493.8,293.45,9644.241,9750
"L1480",493,294.25,9670.147,9750
"L1481",460.75,326.5,10714.496,10750
"L1482",460.75,326.5,10714.496,10750
"L1483",460.75,326.5,10714.496,10750
"L1484",493,294.25,9670.147,9750
"L1485",493,294.25,9670.147,9750
"L1486",413.9,373.35,12231.635,12250
"L1487",413.9,373.35,12231.635,12250
"L1488",413.8,373.45,12234.873,12250
"L1489",413.9,373.35,12231.635,12250
"L1490",413.7,373.55,12238.111,12250
"L1491",586.3,200.95,6648.822,6750
"L1492",491,296.25,9734.913,9750
"L1493",490.7,296.55,9744.628,9750
"L1494",495.9,291.35,9576.237,9750
"L1495",421.35,365.9,11990.382,12000
"L1496",413.4,373.85,12247.826,12250
"L1497",417.05,370.2,12129.629,12250
"L1498",416.95,370.3,12132.867,12250
"L1499",416.75,370.5,12139.343,12250
"L1500",412,375.25,12293.162,12500
"L1501",413.1,374.15,12257.541,12500
"L1502",584.3,202.95,6713.588,6750
"L1503",584.5,202.75,6707.112,6750
"L1504",584.5,202.75,6707.112,6750
"L1505",418.65,368.6,12077.816,12250
"L1506",496.9,290.35,9543.854,9750
"L1507",495.3,291.95,9595.666,9750
"L1508",495.4,291.85,9592.428,9750
"L1509",460.75,326.5,10714.496,10750
"L1510",460.75,326.5,10714.496,10750
"L1511",460.75,326.5,10714.496,10750
"L1512",460.75,326.5,10714.496,10750
"L1513",419.75,367.5,12042.195,12250
"L1514",417.35,369.9,12119.914,12250
"L1515",419.45,367.8,12051.91,12250
"L1516",417.35,369.9,12119.914,12250
"L1517",417.35,369.9,12119.914,12250
"L1518",460.75,326.5,10714.496,10750
"L1519",460.75,326.5,10714.496,10750
"L1520",460.75,326.5,10714.496,10750
"L1521",585.6,201.65,6671.49,6750
"L1522",588.3,198.95,6584.057,6750
"L1523",587.4,199.85,6613.201,6750
"L1524",496.9,290.35,9543.854,9750
"L1525",497,290.25,9540.616,9750
"L1526",497,290.25,9540.616,9750
"L1527",419.85,367.4,12038.956,12250
"L1528",420.15,367.1,12029.242,12250
"L1529",460.75,326.5,10714.496,10750
"L1530",460.75,326.5,10714.496,10750
"L1531",417.05,370.2,12129.629,12250
"L1532",412.9,374.35,12264.018,12500
"L1533",413.4,373.85,12247.826,12250
"L1534",413.4,373.85,12247.826,12250
"L1535",496.1,291.15,9569.76,9750
"L1536",498.2,289.05,9501.756,9750
"L1537",498.4,288.85,9495.28,9500
"L1538",419.85,367.4,12038.956,12250
"L1539",419.95,367.3,12035.718,12250
"L1540",419.75,367.5,12042.195,12250
"L1541",414.2,373.05,12221.92,12250
"L1542",420.15,367.1,12029.242,12250
"L1543",420.15,367.1,12029.242,12250
"L1544",420.15,367.1,12029.242,12250
"L1545",420.15,367.1,12029.242,12250
"L1546",587.3,199.95,6616.44,6750
"L1547",461.55,325.7,10688.589,10750
"L1548",591.15,196.1,6491.765,6500
"L1549",590.35,196.9,6517.672,6750
"L1550",417.45,369.8,12116.675,12250
"L1551",418.85,368.4,12071.339,12250
"L1552",590.05,197.2,6527.387,6750
"L1553",589.75,197.5,6537.101,6750
"L1554",497.5,289.75,9524.424,9750
"L1555",497.1,290.15,9537.377,9750
"L1556",497.1,290.15,9537.377,9750
"L1557",420.75,366.5,12009.812,12250
"L1558",420.35,366.9,12022.765,12250
"L1559",420.15,367.1,12029.242,12250
"L1560",462.95,324.3,10643.253,10750
"L1561",497.6,289.65,9521.186,9750
"L1562",420.95,366.3,12003.335,12250
"L1563",497.8,289.45,9514.709,9750
"L1564",418.25,369,12090.769,12250
"L1565",417.95,369.3,12100.484,12250
"L1566",417.55,369.7,12113.437,12250
"L1567",417.45,369.8,12116.675,12250
"L1568",422.45,364.8,11954.761,12000
"L1569",422.45,364.8,11954.761,12000
"L1570",591.45,195.8,6482.05,6500
"L1571",590.35,196.9,6517.672,6750
"L1572",591.45,195.8,6482.05,6500
"L1573",591.45,195.8,6482.05,6500
"L1574",497.8,289.45,9514.709,9750
"L1575",498.6,288.65,9488.803,9500
"L1576",590.85,196.4,6501.48,6750
"L1577",422.25,365,11961.237,12000
"L1578",422.15,365.1,11964.476,12000
"L1579",463.15,324.1,10636.777,10750
"L1580",498.6,288.65,9488.803,9500
"L1581",464.05,323.2,10607.632,10750
"L1582",417.55,369.7,12113.437,12250
"L1583",420.55,366.7,12016.288,12250
"L1584",591.45,195.8,6482.05,6500
"L1585",590.35,196.9,6517.672,6750
"L1586",589.35,197.9,6550.055,6750
"L1587",591.15,196.1,6491.765,6500
"L1588",420.85,366.4,12006.574,12250
"L1589",499.6,287.65,9456.42,9500
"L1590",420.85,366.4,12006.574,12250
"L1591",420.95,366.3,12003.335,12250
"L1592",420.45,366.8,12019.527,12250
"L1593",463.75,323.5,10617.347,10750
"L1594",418.15,369.1,12094.007,12250
"L1595",417.85,369.4,12103.722,12250
"L1596",417.55,369.7,12113.437,12250
"L1597",418.05,369.2,12097.246,12250
"L1598",421.15,366.1,11996.859,12000
"L1599",420.85,366.4,12006.574,12250
